billing_month	imsi	iccid	product_name	cycle_start_date	cycle_end_date	new_activation_date	offstock_date	charge_type	status	new_card_imsi_replacement	old_card_imsi_replaced	final_start_date	final_end_date	active_days	usage_days	usage_days_alt	usage_days_gt_active	final_days	monthly_rate	final_charge	transferred_to_wing_simbank	note	source_file	rn
2025-09	083901144004491727	89014104334409632554	60011993|ATT 300GB Plan DI 1A (WA)	2025-09-23 00:00:00	2025-10-22 23:59:59			Full Rate				2025-09-23 00:00:00	2025-10-22 00:00:00	30	-		-	30	62	62			006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	1
2025-09	083901144004696834	89014104334409632604	60011993|ATT 300GB Plan DI 1A (WA)	2025-09-23 00:00:00	2025-10-22 23:59:59			Full Rate				2025-09-23 00:00:00	2025-10-22 00:00:00	30	-		-	30	62	62			006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2
2025-09	083901144004897746	89014104334409632612	60011993|ATT 300GB Plan DI 1A (WA)	2025-09-23 00:00:00	2025-10-22 23:59:59			Full Rate				2025-09-23 00:00:00	2025-10-22 00:00:00	30	-		-	30	62	62			006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	3
2025-09	083901144012070041	89014103334216981609	60011828|ATT 300GB Plan AX (WA)	2025-09-22 00:00:00	2025-10-21 23:59:59			Full Rate				2025-09-22 00:00:00	2025-10-21 00:00:00	30	-		-	30	62	62			006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	4
2025-09	083901144012070388	89014103334216983712	60011828|ATT 300GB Plan AX (WA)	2025-09-22 00:00:00	2025-10-21 23:59:59			Full Rate				2025-09-22 00:00:00	2025-10-21 00:00:00	30	-		-	30	62	62			006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	5
2025-09	083901143008538676	89014103273803568678	60011856|ATT 300GB Plan JM (WA)	2025-08-17 00:00:00	2025-09-16 23:59:59			Partial Charge (Activated AUG)				2025-09-01 00:00:00	2025-09-09 00:00:00	7	-		-	7	62	14			006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	1
2025-09	083901143008920501	89014103273802950109	60011856|ATT 300GB Plan JM (WA)	2025-08-17 00:00:00	2025-09-16 23:59:59			Partial Charge (Activated AUG)				2025-09-01 00:00:00	2025-09-09 00:00:00	7	-		-	7	62	14			006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2
2025-09	083901143008920503	89014103273802950307	60011856|ATT 300GB Plan JM (WA)	2025-08-17 00:00:00	2025-09-16 23:59:59			Partial Charge (Activated AUG)				2025-09-01 00:00:00	2025-09-09 00:00:00	7	-		-	7	62	14			006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	3
2025-09	083901143008920516	89014103273802950612	60011856|ATT 300GB Plan JM (WA)	2025-08-17 00:00:00	2025-09-16 23:59:59			Partial Charge (Activated AUG)				2025-09-01 00:00:00	2025-09-09 00:00:00	7	-		-	7	62	14			006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	4
2025-09	083901143008920517	89014103273802950711	60011856|ATT 300GB Plan JM (WA)	2025-08-17 00:00:00	2025-09-16 23:59:59			Partial Charge (Activated AUG)				2025-09-01 00:00:00	2025-09-09 00:00:00	7	-		-	7	62	14			006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	5
2025-09	083901144026123097	89014104334622169962	60011437|ATT 300GB Plan VS PP (WA)	2025-08-30 00:00:00	2025-09-29 23:59:59			Prorated-in Charge (Activated SEPT)				2025-09-26 00:00:00	2025-09-29 00:00:00	4	2		False	4	62	8.2666667			006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	1
