billing_month	imsi	presence_days	first_seen_d	last_seen_d	base_presence_days	min_cycle_start_ts_raw	max_cycle_start_ts_raw	min_cycle_end_ts_raw	max_cycle_end_ts_raw	min_cycle_start_after_month_start	max_cycle_end_d	distinct_product_id_count	wa_product_id_count	missing_product_id_count	distinct_wa_package_price_count	wa_package_prices_observed	wa_product_ids_observed	platform_scope_status	platform_price_if_unique	cycle_event_count_all_window	cycle_event_count_in_month	cycle_start_d5	offstock_event_count_in_month	offstock_d5	activation_d5	activation_event_count_in_window
2025-10	082903300029091809	31	2025-10-01	2025-10-31	31							1	0	0	0			NON_WA_OR_UNMAPPED		0	0		0			0
2025-10	082903300029091829	31	2025-10-01	2025-10-31	31							1	0	0	0			NON_WA_OR_UNMAPPED		0	0		0			0
2025-10	082903300029091848	31	2025-10-01	2025-10-31	31							1	0	0	0			NON_WA_OR_UNMAPPED		0	0		0			0
2025-10	082903300029091849	31	2025-10-01	2025-10-31	31							1	0	0	0			NON_WA_OR_UNMAPPED		0	0		0			0
2025-10	082903300029091858	31	2025-10-01	2025-10-31	31							1	0	0	0			NON_WA_OR_UNMAPPED		0	0		0			0
2025-10	082903300029091859	31	2025-10-01	2025-10-31	31							1	0	0	0			NON_WA_OR_UNMAPPED		0	0		0			0
2025-10	082903300029091868	31	2025-10-01	2025-10-31	31							1	0	0	0			NON_WA_OR_UNMAPPED		0	0		0			0
2025-10	082903300029091869	31	2025-10-01	2025-10-31	31							1	0	0	0			NON_WA_OR_UNMAPPED		0	0		0			0
2025-10	082903300029091879	31	2025-10-01	2025-10-31	31							1	0	0	0			NON_WA_OR_UNMAPPED		0	0		0			0
2025-10	082903300029091889	31	2025-10-01	2025-10-31	31							1	0	0	0			NON_WA_OR_UNMAPPED		0	0		0			0
2025-10	082903300029091898	31	2025-10-01	2025-10-31	31							1	0	0	0			NON_WA_OR_UNMAPPED		0	0		0			0
2025-10	082903300029091899	31	2025-10-01	2025-10-31	31							1	0	0	0			NON_WA_OR_UNMAPPED		0	0		0			0
