billing_month	imsi	invoice_rows_per_card_month	charge_type_count	charge_types_observed
2025-09	083901144004491727	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144004696834	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144004897746	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012070041	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012070388	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012070803	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012071007	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012071025	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012071038	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012071441	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012071454	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012071676	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012071798	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012071871	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012071922	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012072386	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012072489	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012072493	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012072858	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012073163	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012073281	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012073363	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012073710	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012074329	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012074389	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012074497	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012074542	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012074599	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012074639	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012074784	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012075014	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012075062	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012075511	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012075585	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012075625	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012075665	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012075858	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012075895	2	2	["Full Rate","Partial Charge (Activated AUG)"]
2025-09	083901144012076033	2	2	["Full Rate","Partial Charge (Activated AUG)"]
