billing_month	imsi	iccid	excel_product_id	excel_product_name	charge_type	xl_start_d	xl_end_d	xl_days	xl_rate	xl_charge	excel_days_in_month	excel_calculated_amount	excel_amount_difference	platform_calculated_days	platform_calculated_price	platform_calculated_amount	days_difference	price_difference	amount_difference	reconciliation_status	platform_scope_status	source_file
2025-09	083901143008538676	89014103273803568678		60011856|ATT 300GB Plan JM (WA)	Partial Charge (Activated AUG)	2025-09-01	2025-09-09	7.0	62.0	14.0	30	14.4667	0.4667							MISSING_DATA_PLATFORM_SNAPSHOT	MISSING_MAPPING_PLATFORM_CARD_SET	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx
2025-09	083901143008920501	89014103273802950109		60011856|ATT 300GB Plan JM (WA)	Partial Charge (Activated AUG)	2025-09-01	2025-09-09	7.0	62.0	14.0	30	14.4667	0.4667							MISSING_DATA_PLATFORM_SNAPSHOT	MISSING_MAPPING_PLATFORM_CARD_SET	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx
2025-09	083901143008920503	89014103273802950307		60011856|ATT 300GB Plan JM (WA)	Partial Charge (Activated AUG)	2025-09-01	2025-09-09	7.0	62.0	14.0	30	14.4667	0.4667							MISSING_DATA_PLATFORM_SNAPSHOT	MISSING_MAPPING_PLATFORM_CARD_SET	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx
2025-09	083901143008920516	89014103273802950612		60011856|ATT 300GB Plan JM (WA)	Partial Charge (Activated AUG)	2025-09-01	2025-09-09	7.0	62.0	14.0	30	14.4667	0.4667							MISSING_DATA_PLATFORM_SNAPSHOT	MISSING_MAPPING_PLATFORM_CARD_SET	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx
2025-09	083901143008920517	89014103273802950711		60011856|ATT 300GB Plan JM (WA)	Partial Charge (Activated AUG)	2025-09-01	2025-09-09	7.0	62.0	14.0	30	14.4667	0.4667							MISSING_DATA_PLATFORM_SNAPSHOT	MISSING_MAPPING_PLATFORM_CARD_SET	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx
2025-09	083901143008920520	89014103273802950026		60011856|ATT 300GB Plan JM (WA)	Partial Charge (Activated AUG)	2025-09-01	2025-09-09	7.0	62.0	14.0	30	14.4667	0.4667							MISSING_DATA_PLATFORM_SNAPSHOT	MISSING_MAPPING_PLATFORM_CARD_SET	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx
2025-09	083901143008920525	89014103273802950521		60011856|ATT 300GB Plan JM (WA)	Partial Charge (Activated AUG)	2025-09-01	2025-09-09	7.0	62.0	14.0	30	14.4667	0.4667							MISSING_DATA_PLATFORM_SNAPSHOT	MISSING_MAPPING_PLATFORM_CARD_SET	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx
2025-09	083901143008920531	89014103273802950133		60011856|ATT 300GB Plan JM (WA)	Partial Charge (Activated AUG)	2025-09-01	2025-09-09	7.0	62.0	14.0	30	14.4667	0.4667							MISSING_DATA_PLATFORM_SNAPSHOT	MISSING_MAPPING_PLATFORM_CARD_SET	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx
2025-09	083901143008920536	89014103273802950638		60011856|ATT 300GB Plan JM (WA)	Partial Charge (Activated AUG)	2025-09-01	2025-09-09	7.0	62.0	14.0	30	14.4667	0.4667							MISSING_DATA_PLATFORM_SNAPSHOT	MISSING_MAPPING_PLATFORM_CARD_SET	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx
2025-09	083901143008920543	89014103273802950349		60011856|ATT 300GB Plan JM (WA)	Partial Charge (Activated AUG)	2025-09-01	2025-09-09	7.0	62.0	14.0	30	14.4667	0.4667							MISSING_DATA_PLATFORM_SNAPSHOT	MISSING_MAPPING_PLATFORM_CARD_SET	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx
