billing_month	imsi	charge_type	join_status	xl_days	xl_rate	xl_charge	candidate_rule	candidate_start_d	candidate_end_d	candidate_days	platform_calculated_days	platform_calculated_price	platform_calculated_amount	days_difference	price_difference	amount_difference	candidate_window_status	wa_product_ids_observed	wa_product_names_observed	wa_package_prices_observed	day_validation_status	price_validation_status	issue_class
2025-10	083901144055958464	New Activation: Prorated-in Charge	MATCHED	27.0	62.0	54.0	E_ACTIVATION_TO_CYCLE_END	2025-10-24	2025-11-15	23	23	62.0	46.0	-4.0	0.0	-8.0	CANDIDATE_WINDOW_VALID	60011444	ATT 300GB Plan DI JL (PI)	62.0	DAY_MISMATCH	PRICE_MATCH_OBSERVED	DAY_MISMATCH
2025-10	083901144085167784	New Activation: Prorated-in Charge	MATCHED	4.0	62.0	8.266666666666666	E_ACTIVATION_TO_CYCLE_END	2025-10-06	2025-11-09	35	35	62.0	70.0	31.0	0.0	61.7333	CANDIDATE_WINDOW_VALID	60011860	ATT 300GB Plan DI SG (PI)	62.0	DAY_MISMATCH	PRICE_MATCH_OBSERVED	DAY_MISMATCH
2025-10	083901516060363798	Prorated-out Charge (Activated OCT)	MATCHED	5.0	62.0	10.0	C_CYCLE_START_TO_OFFSTOCK	2025-10-27	2025-10-28	2	2	62.0	4.0	-3.0	0.0	-6.0	CANDIDATE_WINDOW_VALID	60011859	ATT 300GB Plan PVP 3 (WA)	62.0	DAY_MISMATCH	PRICE_MATCH_OBSERVED	DAY_MISMATCH
2025-10	083901516060369388	Prorated-out Charge (Activated OCT)	MATCHED	5.0	62.0	10.0	C_CYCLE_START_TO_OFFSTOCK	2025-10-27	2025-10-28	2	2	62.0	4.0	-3.0	0.0	-6.0	CANDIDATE_WINDOW_VALID	60011859	ATT 300GB Plan PVP 3 (WA)	62.0	DAY_MISMATCH	PRICE_MATCH_OBSERVED	DAY_MISMATCH
2025-10	083901516060953219	Prorated-out Charge (Activated OCT)	MATCHED	5.0	62.0	10.0	C_CYCLE_START_TO_OFFSTOCK	2025-10-27	2025-10-28	2	2	62.0	4.0	-3.0	0.0	-6.0	CANDIDATE_WINDOW_VALID	60011859	ATT 300GB Plan PVP 3 (WA)	62.0	DAY_MISMATCH	PRICE_MATCH_OBSERVED	DAY_MISMATCH
2025-10	083901624041487896	New Activation: Prorated-in Charge	MATCHED	4.0	62.0	8.266666666666666	E_ACTIVATION_TO_CYCLE_END	2025-10-14	2025-11-17	35	35	62.0	70.0	31.0	0.0	61.7333	CANDIDATE_WINDOW_VALID	60011891	TMO 500GB DI BU MG (PI)	62.0	DAY_MISMATCH	PRICE_MATCH_OBSERVED	DAY_MISMATCH
2025-10	083901627029761425	Prorated-out Charge (Activated OCT)	MATCHED	30.0	62.0	60.0	C_CYCLE_START_TO_OFFSTOCK	2025-10-01	2025-10-28	28	28	62.0	56.0	-2.0	0.0	-4.0	CANDIDATE_WINDOW_VALID	60011892	TMO 300GB Plan DF MTR (WA)	62.0	DAY_MISMATCH	PRICE_MATCH_OBSERVED	DAY_MISMATCH
2025-10	083901627029764433	Prorated-out Charge (Activated OCT)	MATCHED	30.0	62.0	60.0	C_CYCLE_START_TO_OFFSTOCK	2025-10-01	2025-10-28	28	28	62.0	56.0	-2.0	0.0	-4.0	CANDIDATE_WINDOW_VALID	60011892	TMO 300GB Plan DF MTR (WA)	62.0	DAY_MISMATCH	PRICE_MATCH_OBSERVED	DAY_MISMATCH
2025-10	083901627029764442	Prorated-out Charge (Activated OCT)	MATCHED	30.0	62.0	60.0	C_CYCLE_START_TO_OFFSTOCK	2025-10-01	2025-10-28	28	28	62.0	56.0	-2.0	0.0	-4.0	CANDIDATE_WINDOW_VALID	60011892	TMO 300GB Plan DF MTR (WA)	62.0	DAY_MISMATCH	PRICE_MATCH_OBSERVED	DAY_MISMATCH
2025-10	083901627029766165	Prorated-out Charge (Activated OCT)	MATCHED	30.0	62.0	60.0	C_CYCLE_START_TO_OFFSTOCK	2025-10-01	2025-10-28	28	28	62.0	56.0	-2.0	0.0	-4.0	CANDIDATE_WINDOW_VALID	60011892	TMO 300GB Plan DF MTR (WA)	62.0	DAY_MISMATCH	PRICE_MATCH_OBSERVED	DAY_MISMATCH
2025-10	083901627029766166	Prorated-out Charge (Activated OCT)	MATCHED	30.0	62.0	60.0	C_CYCLE_START_TO_OFFSTOCK	2025-10-01	2025-10-28	28	28	62.0	56.0	-2.0	0.0	-4.0	CANDIDATE_WINDOW_VALID	60011892	TMO 300GB Plan DF MTR (WA)	62.0	DAY_MISMATCH	PRICE_MATCH_OBSERVED	DAY_MISMATCH
2025-10	083901627029766168	Prorated-out Charge (Activated OCT)	MATCHED	30.0	62.0	60.0	C_CYCLE_START_TO_OFFSTOCK	2025-10-01	2025-10-28	28	28	62.0	56.0	-2.0	0.0	-4.0	CANDIDATE_WINDOW_VALID	60011892	TMO 300GB Plan DF MTR (WA)	62.0	DAY_MISMATCH	PRICE_MATCH_OBSERVED	DAY_MISMATCH
