billing_month	imsi	charge_type	join_status	xl_days	xl_rate	xl_charge	candidate_rule	candidate_start_d	candidate_end_d	candidate_days	platform_calculated_days	platform_calculated_price	platform_calculated_amount	days_difference	price_difference	amount_difference	candidate_window_status	wa_product_ids_observed	wa_product_names_observed	wa_package_prices_observed	day_validation_status	price_validation_status	issue_class
2025-11	083901144064706280	New Activation: Prorated-in Charge	MATCHED	5.0	62.0	10.0	E_ACTIVATION_TO_CYCLE_END	2025-11-05	2025-12-04	30	30	43.0	43.0	25.0	-19.0	33.0	CANDIDATE_WINDOW_VALID	60011690	ATT 100GB Plan AT TB T (WA)	43.0	DAY_MISMATCH	PRICE_MISMATCH_OBSERVED	DAY_MISMATCH
2025-11	083901622016180630	New Activation: Prorated-in Charge	MATCHED	14.0	43.0	19.419354838709676	E_ACTIVATION_TO_CYCLE_END	2025-11-05	2025-12-11	37	37	43.0	53.0333	23.0	0.0	33.614	CANDIDATE_WINDOW_VALID	60011878	TMO 100GB Plan AT (3) (WA)	43.0	DAY_MISMATCH	PRICE_MATCH_OBSERVED	DAY_MISMATCH
2025-11	083901622016180640	New Activation: Prorated-in Charge	MATCHED	16.0	43.0	22.193548387096772	E_ACTIVATION_TO_CYCLE_END	2025-11-05	2025-12-11	37	37	43.0	53.0333	21.0	0.0	30.8398	CANDIDATE_WINDOW_VALID	60011878	TMO 100GB Plan AT (3) (WA)	43.0	DAY_MISMATCH	PRICE_MATCH_OBSERVED	DAY_MISMATCH
2025-11	083901622016185702	New Activation: Prorated-in Charge	MATCHED	15.0	43.0	20.806451612903228	E_ACTIVATION_TO_CYCLE_END	2025-11-05	2025-12-11	37	37	43.0	53.0333	22.0	0.0	32.2269	CANDIDATE_WINDOW_VALID	60011878	TMO 100GB Plan AT (3) (WA)	43.0	DAY_MISMATCH	PRICE_MATCH_OBSERVED	DAY_MISMATCH
2025-11	083901622016185791	New Activation: Prorated-in Charge	MATCHED	15.0	43.0	20.806451612903228	E_ACTIVATION_TO_CYCLE_END	2025-11-05	2025-12-11	37	37	43.0	53.0333	22.0	0.0	32.2269	CANDIDATE_WINDOW_VALID	60011878	TMO 100GB Plan AT (3) (WA)	43.0	DAY_MISMATCH	PRICE_MATCH_OBSERVED	DAY_MISMATCH
2025-11	083901622016186703	New Activation: Prorated-in Charge	MATCHED	13.0	43.0	18.032258064516128	E_ACTIVATION_TO_CYCLE_END	2025-11-05	2025-12-11	37	37	43.0	53.0333	24.0	0.0	35.0011	CANDIDATE_WINDOW_VALID	60011878	TMO 100GB Plan AT (3) (WA)	43.0	DAY_MISMATCH	PRICE_MATCH_OBSERVED	DAY_MISMATCH
2025-11	083901622016186762	New Activation: Prorated-in Charge	MATCHED	7.0	43.0	9.709677419354838	E_ACTIVATION_TO_CYCLE_END	2025-11-05	2025-12-11	37	37	43.0	53.0333	30.0	0.0	43.3237	CANDIDATE_WINDOW_VALID	60011878	TMO 100GB Plan AT (3) (WA)	43.0	DAY_MISMATCH	PRICE_MATCH_OBSERVED	DAY_MISMATCH
2025-11	083901622016189528	New Activation: Prorated-in Charge	MATCHED	7.0	43.0	9.709677419354838	E_ACTIVATION_TO_CYCLE_END	2025-11-05	2025-12-11	37	37	43.0	53.0333	30.0	0.0	43.3237	CANDIDATE_WINDOW_VALID	60011878	TMO 100GB Plan AT (3) (WA)	43.0	DAY_MISMATCH	PRICE_MATCH_OBSERVED	DAY_MISMATCH
2025-11	083901622016189549	New Activation: Prorated-in Charge	MATCHED	7.0	43.0	9.709677419354838	E_ACTIVATION_TO_CYCLE_END	2025-11-05	2025-12-11	37	37	43.0	53.0333	30.0	0.0	43.3237	CANDIDATE_WINDOW_VALID	60011878	TMO 100GB Plan AT (3) (WA)	43.0	DAY_MISMATCH	PRICE_MATCH_OBSERVED	DAY_MISMATCH
2025-11	083901622016189569	New Activation: Prorated-in Charge	MATCHED	10.0	43.0	13.870967741935484	E_ACTIVATION_TO_CYCLE_END	2025-11-05	2025-12-11	37	37	43.0	53.0333	27.0	0.0	39.1624	CANDIDATE_WINDOW_VALID	60011878	TMO 100GB Plan AT (3) (WA)	43.0	DAY_MISMATCH	PRICE_MATCH_OBSERVED	DAY_MISMATCH
2025-11	083901143008430841		PLATFORM_ONLY				UNRESOLVED_CHARGE_TYPE					43.0					UNRESOLVED_MISSING_LIFECYCLE_FIELD	600111094	Unassigned(WA)	43.0	NOT_APPLICABLE	NOT_APPLICABLE	PLATFORM_ONLY
