result_type	source_file	invoice_batch_label	observed_start_month	record_count	distinct_imsi_count	total_final_charge	total_monthly_rate_sum	charge_type_count	product_count	min_final_start_date	max_final_start_date	min_final_end_date	max_final_end_date	null_final_start_rows	row_sum_amount_diff	amount_semantics
CHARGE_TYPE	SIMO Data Purchase Invoice Details - DEC 2025.xlsx	2025-12		11437	11437	689429.000000000000										charge_type diagnostic; still detail.final_charge only
CHARGE_TYPE	SIMO Data Purchase Invoice Details - DEC 2025.xlsx	2025-12		748	748	15410.353763440731										charge_type diagnostic; still detail.final_charge only
CHARGE_TYPE	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026-02		4	4	154.999999999999										charge_type diagnostic; still detail.final_charge only
CHARGE_TYPE	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026-02		91	91											charge_type diagnostic; still detail.final_charge only
CHARGE_TYPE	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026-02		729	729	22741.723502304136										charge_type diagnostic; still detail.final_charge only
CHARGE_TYPE	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026-02		11748	11748	667676.000000000000										charge_type diagnostic; still detail.final_charge only
OFFICIAL_BATCH_ZERO_CHECK		2025-12	2025-12	12185	12110	704839.353763440731	723265.000000000000	2	74	2025-12-01	2025-12-31	2025-12-23	2026-01-29	0		official source_file CASE label; no prorated/credit union
OFFICIAL_BATCH_ZERO_CHECK		2026-02	2026-02	12572	12309	690572.723502304135	712418.000000000000	4	82	2026-02-01	2026-02-28	2026-02-06	2026-03-29	1		official source_file CASE label; no prorated/credit union
SOURCE_FILE	SIMO Data Purchase Invoice Details - DEC 2025.xlsx	2025-12	2025-12	12185	12110	704839.353763440731	723265.000000000000	2	74	2025-12-01	2025-12-31	2025-12-23	2026-01-29	0	0E-11	wa_invoice_detail.final_charge; official Excel invoice truth
SOURCE_FILE	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026-02	2026-02	12572	12309	690572.723502304135	712418.000000000000	4	82	2026-02-01	2026-02-28	2026-02-06	2026-03-29	1	0E-11	wa_invoice_detail.final_charge; official Excel invoice truth
