result_type	grain	source_table	source_file	official_excel_billing_month	observed_start_month	charge_type	numeric_match_status	formal_match_status	formal_match_status	row_count	distinct_imsi_count	excel_amount	platform_calculated_amount_known	platform_total	amount_diff	days_exact_count	price_exact_count	amount_exact_count	numeric_match_row_count	formal_match_row_count	unknown_platform_amount_row_count	unresolved_or_unproven_excel_amount	difference_reason
IMSI_STATUS	distinct_imsi_card	simo_prod.mysql_cdc_sync.wa_invoice_detail	SIMO Data Purchase Invoice Details - DEC 2025.xlsx	2025-12			AMBIGUOUS_PLATFORM_CANDIDATE	UNRESOLVED	UNRESOLVED	11553	11553	692902.903225806433			-28423.99999080625	11530	10057	10057				692902.903225806433	distinct IMSI grain; row_count is represented invoice rows
IMSI_STATUS	distinct_imsi_card	simo_prod.mysql_cdc_sync.wa_invoice_detail	SIMO Data Purchase Invoice Details - DEC 2025.xlsx	2025-12			MATCHED	MATCHED	MATCHED	544	544	10747.483870967643	10747.483864000000		-0.00000696752	544	544	544				0E-12	distinct IMSI grain; row_count is represented invoice rows
IMSI_STATUS	distinct_imsi_card	simo_prod.mysql_cdc_sync.wa_invoice_detail	SIMO Data Purchase Invoice Details - DEC 2025.xlsx	2025-12			NO_PLATFORM	MISSING_MAPPING	MISSING_MAPPING	11	11	473.000000000000				0	0	0				473.000000000000	distinct IMSI grain; row_count is represented invoice rows
IMSI_STATUS	distinct_imsi_card	simo_prod.mysql_cdc_sync.wa_invoice_detail	SIMO Data Purchase Invoice Details - DEC 2025.xlsx	2025-12			NUMERIC_MISMATCH	UNRESOLVED	UNRESOLVED	77	77	715.966666666655	692.709665000000		-23.25700166655	73	77	2				715.966666666655	distinct IMSI grain; row_count is represented invoice rows
IMSI_STATUS	distinct_imsi_card	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026-02			AMBIGUOUS_PLATFORM_CANDIDATE	UNRESOLVED	UNRESOLVED	11997	11997	670258.964285714263			-25508.28575771390	11663	10680	10528				670258.964285714263	distinct IMSI grain; row_count is represented invoice rows
IMSI_STATUS	distinct_imsi_card	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026-02			MATCHED	MATCHED	MATCHED	195	195	7936.964285714298	7936.964298000000		0.00001228569	195	195	195				0E-12	distinct IMSI grain; row_count is represented invoice rows
IMSI_STATUS	distinct_imsi_card	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026-02			NO_PLATFORM	MISSING_MAPPING	MISSING_MAPPING	3	3	61.428571428572				0	0	0				61.428571428572	distinct IMSI grain; row_count is represented invoice rows
IMSI_STATUS	distinct_imsi_card	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026-02			NUMERIC_MISMATCH	UNRESOLVED	UNRESOLVED	377	377	12315.366359447002	8060.142828000000		-4255.22353144694	133	279	0				12315.366359447002	distinct IMSI grain; row_count is represented invoice rows
MONTH_RECONCILIATION	official_month	simo_prod.mysql_cdc_sync.wa_invoice_detail	SIMO Data Purchase Invoice Details - DEC 2025.xlsx	2025-12	2025-12		N/A	EXCEL_TRUTH	EXCEL_TRUTH	12185	12110	704839.353763440731	11440.193529000000		-28447.25699944032	12147	10678	10603	544	544	11564	694091.869892473088	platform_total is NULL unless every detail row is formally MATCHED
MONTH_RECONCILIATION	official_month	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026-02	2026-02		N/A	EXCEL_TRUTH	EXCEL_TRUTH	12572	12309	690572.723502304135	15997.107126000000		-29763.50927687515	11991	11154	10723	195	195	12000	682635.759216589837	platform_total is NULL unless every detail row is formally MATCHED
