result_type	grain	official_excel_billing_month	source_file	charge_type	rule_id	row_count	distinct_imsi_count	excel_amount	platform_calculated_amount_known	days_exact_row_count	price_exact_row_count	amount_exact_row_count	numeric_match_row_count	formal_match_row_count	missing_mapping_imsi_count	unresolved_imsi_count	wa_only_imsi_count	missing_data_imsi_count	unknown_platform_amount_row_count	unresolved_or_unproven_excel_amount	days_exact_rate	price_exact_rate	amount_exact_rate	numeric_match_rate	formal_match_rate
CHARGE_TYPE_IMSI_METRICS	distinct_imsi_card	2025-12	SIMO Data Purchase Invoice Details - DEC 2025.xlsx	Full Cycle Charge	R_FULL_CYCLE_PRICE	11437	11437			11401	9930	9930	0	0	11	11426	0	0			0.996852321412958	0.8682346769257673	0.8682346769257673	0.0	0.0
CHARGE_TYPE_IMSI_METRICS	distinct_imsi_card	2025-12	SIMO Data Purchase Invoice Details - DEC 2025.xlsx	New Activation: Prorated-in Charge	R_PRORATED_LIFECYCLE_DAYS_ACTIVATION_MONTH	748	748			746	748	673	544	544	0	204	0	0			0.9973262032085561	1.0	0.8997326203208557	0.7272727272727273	0.7272727272727273
CHARGE_TYPE_IMSI_METRICS	distinct_imsi_card	2026-02	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	Full Cycle Charge	R_FULL_CYCLE_PRICE	11748	11748			11566	10431	10431	0	0	0	11748	0	0			0.984508001361934	0.8878958120531154	0.8878958120531154	0.0	0.0
CHARGE_TYPE_IMSI_METRICS	distinct_imsi_card	2026-02	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	R_PRORATED_LIFECYCLE_DAYS_ACTIVATION_MONTH	729	729			421	629	288	195	195	2	532	0	0			0.5775034293552812	0.8628257887517147	0.3950617283950617	0.2674897119341564	0.2674897119341564
CHARGE_TYPE_IMSI_METRICS	distinct_imsi_card	2026-02	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	Offstocked before cycle start	R_UNMAPPED_CHARGE_TYPE	91	91			0	90	0	0	0	1	90	0	0			0.0	0.989010989010989	0.0	0.0	0.0
CHARGE_TYPE_IMSI_METRICS	distinct_imsi_card	2026-02	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	Partial Charge - Card Replaced Mid Cycle	R_PARTIAL_LIFECYCLE_DAYS_ACTIVATION_MONTH	4	4			4	4	4	0	0	0	4	0	0			1.0	1.0	1.0	0.0	0.0
CHARGE_TYPE_ROW_METRICS	invoice_row	2025-12	SIMO Data Purchase Invoice Details - DEC 2025.xlsx	Full Cycle Charge	R_FULL_CYCLE_PRICE	11437	11437	689429.000000000000	124.000000000000	11401	9930	9930	0	0	11	11426	0	0	11435	689429.000000000000	0.996852321412958	0.8682346769257673	0.8682346769257673	0.0	0.0
CHARGE_TYPE_ROW_METRICS	invoice_row	2025-12	SIMO Data Purchase Invoice Details - DEC 2025.xlsx	New Activation: Prorated-in Charge	R_PRORATED_LIFECYCLE_DAYS_ACTIVATION_MONTH	748	748	15410.353763440731	11316.193529000000	746	748	673	544	544	0	204	0	0	129	4662.869892473088	0.9973262032085561	1.0	0.8997326203208557	0.7272727272727273	0.7272727272727273
CHARGE_TYPE_ROW_METRICS	invoice_row	2026-02	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	Full Cycle Charge	R_FULL_CYCLE_PRICE	11748	11748	667676.000000000000		11566	10431	10431	0	0	0	11748	0	0	11748	667676.000000000000	0.984508001361934	0.8878958120531154	0.8878958120531154	0.0	0.0
CHARGE_TYPE_ROW_METRICS	invoice_row	2026-02	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	R_PRORATED_LIFECYCLE_DAYS_ACTIVATION_MONTH	729	729	22741.723502304136	15997.107126000000	421	629	288	195	195	2	532	0	0	157	14804.759216589838	0.5775034293552812	0.8628257887517147	0.3950617283950617	0.2674897119341564	0.2674897119341564
CHARGE_TYPE_ROW_METRICS	invoice_row	2026-02	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	Offstocked before cycle start	R_UNMAPPED_CHARGE_TYPE	91	91			0	90	0	0	0	1	90	0	0	91		0.0	0.989010989010989	0.0	0.0	0.0
CHARGE_TYPE_ROW_METRICS	invoice_row	2026-02	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	Partial Charge - Card Replaced Mid Cycle	R_PARTIAL_LIFECYCLE_DAYS_ACTIVATION_MONTH	4	4	154.999999999999		4	4	4	0	0	0	4	0	0	4	154.999999999999	1.0	1.0	1.0	0.0	0.0
