invoice_batch_label	bridge_reason	platform_card_window_count	platform_distinct_imsi_count	excel_row_count	excel_distinct_imsi_count	bridge_amount
2025-12	CHARGE_TYPE	0	0	617	617	15222.01612903263
2025-12	DAYS	0	0	4	4	74.53333333333
2025-12	PLATFORM_ONLY	2651	2323	0	0	145169.00000000000
2025-12	PRODUCT	0	0	11530	11530	-25294.90322580623
2025-12	UNRESOLVED_CANDIDATE_NOT_SELECTED	9654	9089	0	0	566191.00000000000
2025-12	WA_ONLY	0	0	11	11	-473.00000000000
2026-02	CHARGE_TYPE	0	0	287	287	5818.10023041472
2026-02	DAYS	0	0	187	187	3265.85483870976
2026-02	PLATFORM_ONLY	1578	1235	0	0	83131.00000000000
2026-02	PRODUCT	0	0	11994	11994	-15168.24999999961
2026-02	RATE	0	0	98	98	902.71428571427
2026-02	UNRESOLVED_CANDIDATE_NOT_SELECTED	9323	9307	0	0	510926.00000000000
2026-02	WA_ONLY	0	0	3	3	-61.42857142857
