result_type	invoice_batch_label	excel_row_count	excel_distinct_imsi_count	excel_total	platform_card_window_count	platform_distinct_imsi_count	platform_source_row_count	unproven_platform_card_count	platform_amount_candidate_sum	platform_total	platform_total_minus_excel_total	platform_only_card_count	platform_only_distinct_imsi_count	platform_only_amount	wa_only_row_count	wa_only_distinct_imsi_count	wa_only_excel_amount	bridge_bucket_sum	bridge_residual
BRIDGE_BUCKET	2025-12	0	0	-473.00000000000											11	11			
BRIDGE_BUCKET	2025-12	2651	2323	145169.00000000000											0	0			
BRIDGE_BUCKET	2025-12	0	0	74.53333333333											4	4			
BRIDGE_BUCKET	2025-12	0	0	-25294.90322580623											11530	11530			
BRIDGE_BUCKET	2025-12	9654	9089	566191.00000000000											0	0			
BRIDGE_BUCKET	2025-12	0	0	15222.01612903263											617	617			
BRIDGE_BUCKET	2026-02	0	0	-61.42857142857											3	3			
BRIDGE_BUCKET	2026-02	0	0	902.71428571427											98	98			
BRIDGE_BUCKET	2026-02	0	0	5818.10023041472											287	287			
BRIDGE_BUCKET	2026-02	0	0	-15168.24999999961											11994	11994			
BRIDGE_BUCKET	2026-02	0	0	3265.85483870976											187	187			
BRIDGE_BUCKET	2026-02	1578	1235	83131.00000000000											0	0			
BRIDGE_BUCKET	2026-02	9323	9307	510926.00000000000											0	0			
BRIDGE_SUMMARY	2025-12	12185	12110	704839.35376344073	24456	14399	24456	0	1404302.000000000000	1404302.000000000000	699462.64623655927	2651	2323	145169.000000000000	11	11	473.000000000000	700888.64623655973	-1426.0000000005
BRIDGE_SUMMARY	2026-02	12572	12309	690572.72350230414	23467	13383	23467	0	1279313.000000000000	1279313.000000000000	588740.27649769587	1578	1235	83131.000000000000	3	3	61.428571428572	588813.99078341057	-73.7142857147
