source_table	source_file	invoice_batch_label	observed_start_month	imsi	charge_type	excel_days	excel_days_values	excel_price	excel_price_values	excel_amount	source_row_count	amount_semantics	excel_days_field	excel_price_field	credit_cycle_start_month	credit_cycle_end_month
wa_invoice_credit	01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx		083901516001070251		2.0	2.0	62.0	62.0	4.14	1	credit.credit_owed; auxiliary credit amount, cycle_start/cycle_end retained, no final_start_month	days_without_service	final_price	2025-11	2025-12
wa_invoice_credit	01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx		083901516001070384		2.0	2.0	62.0	62.0	0.0	1	credit.credit_owed; auxiliary credit amount, cycle_start/cycle_end retained, no final_start_month	days_without_service	final_price	2025-11	2025-12
wa_invoice_credit	01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx		083901516001070485		2.0	2.0	62.0	62.0	0.0	1	credit.credit_owed; auxiliary credit amount, cycle_start/cycle_end retained, no final_start_month	days_without_service	final_price	2025-11	2025-12
wa_invoice_credit	01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx		083901516001070589		2.0	2.0	62.0	62.0	0.0	1	credit.credit_owed; auxiliary credit amount, cycle_start/cycle_end retained, no final_start_month	days_without_service	final_price	2025-11	2025-12
wa_invoice_credit	01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx		083901516001070630		2.0	2.0	62.0	62.0	4.14	1	credit.credit_owed; auxiliary credit amount, cycle_start/cycle_end retained, no final_start_month	days_without_service	final_price	2025-11	2025-12
wa_invoice_credit	01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx		083901516001071483		2.0	2.0	62.0	62.0	0.0	1	credit.credit_owed; auxiliary credit amount, cycle_start/cycle_end retained, no final_start_month	days_without_service	final_price	2025-11	2025-12
wa_invoice_credit	01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx		083901516001071899		2.0	2.0	62.0	62.0	0.0	1	credit.credit_owed; auxiliary credit amount, cycle_start/cycle_end retained, no final_start_month	days_without_service	final_price	2025-11	2025-12
wa_invoice_credit	01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx		083901516001072383		2.0	2.0	62.0	62.0	0.0	1	credit.credit_owed; auxiliary credit amount, cycle_start/cycle_end retained, no final_start_month	days_without_service	final_price	2025-11	2025-12
wa_invoice_credit	01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx		083901516001073174		2.0	2.0	62.0	62.0	0.0	1	credit.credit_owed; auxiliary credit amount, cycle_start/cycle_end retained, no final_start_month	days_without_service	final_price	2025-11	2025-12
wa_invoice_credit	01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx		083901516001073723		2.0	2.0	62.0	62.0	0.0	1	credit.credit_owed; auxiliary credit amount, cycle_start/cycle_end retained, no final_start_month	days_without_service	final_price	2025-11	2025-12
