source_table	source_file	invoice_batch_label	observed_start_month	imsi	charge_type	excel_days	excel_days_values	excel_price	excel_price_values	excel_amount	source_row_count	amount_semantics	excel_days_field	excel_price_field	pending_charge_diagnostic
wa_invoice_prorated	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v2)	2025-10	083901144055160839		23.0	23.0	62.0	62.0	62.0	1	prorated.final_charge_for_usage_days; auxiliary prorated amount, not official detail invoice truth	active_days	monthly_rate	16.0
wa_invoice_prorated	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v2)	2025-10	083901144055264931		23.0	23.0	62.0	62.0	54.0	1	prorated.final_charge_for_usage_days; auxiliary prorated amount, not official detail invoice truth	active_days	monthly_rate	8.0
wa_invoice_prorated	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v2)	2025-10	083901144055269476		23.0	23.0	62.0	62.0	54.0	1	prorated.final_charge_for_usage_days; auxiliary prorated amount, not official detail invoice truth	active_days	monthly_rate	8.0
wa_invoice_prorated	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v2)	2025-10	083901144055858410		23.0	23.0	62.0	62.0	62.0	1	prorated.final_charge_for_usage_days; auxiliary prorated amount, not official detail invoice truth	active_days	monthly_rate	16.0
wa_invoice_prorated	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v2)	2025-10	083901144055958464		23.0	23.0	62.0	62.0	62.0	1	prorated.final_charge_for_usage_days; auxiliary prorated amount, not official detail invoice truth	active_days	monthly_rate	8.0
wa_invoice_prorated	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v1)	2025-09	083901144064112704		14.0	14.0	62.0	62.0	53.733333333333334	1	prorated.final_charge_for_usage_days; auxiliary prorated amount, not official detail invoice truth	active_days	monthly_rate	24.800000033333333
wa_invoice_prorated	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v1)	2025-09	083901144064116846		14.0	14.0	62.0	62.0	39.266666666666666	1	prorated.final_charge_for_usage_days; auxiliary prorated amount, not official detail invoice truth	active_days	monthly_rate	10.333333366666665
wa_invoice_prorated	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v1)	2025-09	083901144064213896		14.0	14.0	62.0	62.0	31.0	1	prorated.final_charge_for_usage_days; auxiliary prorated amount, not official detail invoice truth	active_days	monthly_rate	2.066666699999999
wa_invoice_prorated	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v1)	2025-09	083901144064314919		14.0	14.0	62.0	62.0	39.266666666666666	1	prorated.final_charge_for_usage_days; auxiliary prorated amount, not official detail invoice truth	active_days	monthly_rate	10.333333366666665
wa_invoice_prorated	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v1)	2025-09	083901144064318369		14.0	14.0	62.0	62.0	39.266666666666666	1	prorated.final_charge_for_usage_days; auxiliary prorated amount, not official detail invoice truth	active_days	monthly_rate	10.333333366666665
wa_invoice_prorated	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v1)	2025-09	083901144064410233		14.0	14.0	62.0	62.0	39.266666666666666	1	prorated.final_charge_for_usage_days; auxiliary prorated amount, not official detail invoice truth	active_days	monthly_rate	10.333333366666665
