source_table	source_file	invoice_batch_label	observed_start_month	observed_start_month_values	credit_cycle_start_month	credit_cycle_end_month	record_count	imsi_count	excel_amount	total_monthly_rate_sum	charge_type_count	product_count	amount_semantics
wa_invoice_credit	01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx			2025-11	2025-11,2025-12	393	393	585.45			7	credit.credit_owed; auxiliary credit amount, no observed_start_month
wa_invoice_detail	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09	2025-09	2025-09			25237	14793	1139393.524729	1544554.0	4	63	detail.final_charge; candidate Excel invoice truth
wa_invoice_detail	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v2)	2025-11	2025-11			12663	12641	773737.83871	774276.0	2	61	detail.final_charge; candidate Excel invoice truth
wa_invoice_detail	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v1)	2025-10	2025-10			12714	12712	772285.533333	778198.0	4	66	detail.final_charge; candidate Excel invoice truth
wa_invoice_detail	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	2026-04	2026-04			7780	7317	372289.307527	398011.0	3	52	detail.final_charge; candidate Excel invoice truth
wa_invoice_detail	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026-02	2026-02	2026-02			12572	12309	690572.723502	712418.0	4	82	detail.final_charge; candidate Excel invoice truth
wa_invoice_detail	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2025-01	MULTIPLE	2026-01,2026-02			13661	13253	703606.290323	778622.0	5	87	detail.final_charge; candidate Excel invoice truth
wa_invoice_detail	01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	2026-07	2026-07	2026-07			7537	7472	373918.313978	375953.0	3	39	detail.final_charge; candidate Excel invoice truth
wa_invoice_detail	01-SIMO Data Purchase Invoice Details - JUNE 2026.xlsx	2026-06	2026-06	2026-06			7598	7469	382329.72043	388076.0	3	41	detail.final_charge; candidate Excel invoice truth
wa_invoice_detail	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026-03	MULTIPLE	2026-02,2026-03			13082	12763	578406.306452	724024.0	8	85	detail.final_charge; candidate Excel invoice truth
wa_invoice_detail	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	2026-05	MULTIPLE	2026-04,2026-05			7887	7494	389800.952688	407115.0	6	49	detail.final_charge; candidate Excel invoice truth
wa_invoice_detail	SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	2026-08	2026-08	2026-08			7536	7508	364846.612903	375967.0	4	40	detail.final_charge; candidate Excel invoice truth
wa_invoice_detail	SIMO Data Purchase Invoice Details - DEC 2025.xlsx	2025-12	2025-12	2025-12			12185	12110	704839.353763	723265.0	2	74	detail.final_charge; candidate Excel invoice truth
wa_invoice_prorated	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v2)	2025-10	2025-10			5	5	294.0			1	prorated.final_charge_for_usage_days; auxiliary prorated amount, not invoice truth
wa_invoice_prorated	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v1)	2025-09	2025-09			36	36	1521.066667			1	prorated.final_charge_for_usage_days; auxiliary prorated amount, not invoice truth
wa_invoice_prorated	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	2026-03	2026-03			284	284	9827.387097			6	prorated.final_charge_for_usage_days; auxiliary prorated amount, not invoice truth
wa_invoice_prorated	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026-02	2026-01	2026-01			359	359	14688.096774			5	prorated.final_charge_for_usage_days; auxiliary prorated amount, not invoice truth
wa_invoice_prorated	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2025-01	2025-12	2025-12			1	1	34.0			1	prorated.final_charge_for_usage_days; auxiliary prorated amount, not invoice truth
wa_invoice_prorated	01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	2026-07	2026-06	2026-06			4	4	141.9			1	prorated.final_charge_for_usage_days; auxiliary prorated amount, not invoice truth
wa_invoice_prorated	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026-03	2026-02	2026-02			127	127	3686.928571			5	prorated.final_charge_for_usage_days; auxiliary prorated amount, not invoice truth
wa_invoice_prorated	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	2026-05	2026-04	2026-04			9	9	298.766667			3	prorated.final_charge_for_usage_days; auxiliary prorated amount, not invoice truth
wa_invoice_prorated	SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	2026-08	2026-07	2026-07			3	3	127.612903			1	prorated.final_charge_for_usage_days; auxiliary prorated amount, not invoice truth
