sample_no	sample_type	sample_key_fields	base_key_fields	full_lifecycle_key_fields	common_fields_key_fields	imsi	detail_source_file	prorated_source_file	detail_product_name	prorated_product_name	detail_cycle_start	prorated_cycle_start	detail_cycle_end	prorated_cycle_end	detail_final_start	prorated_final_start	detail_final_end	prorated_final_end	detail_charge_type	detail_final_days	prorated_usage_days	detail_monthly_rate	prorated_monthly_rate	detail_final_charge	prorated_final_charge_for_usage_days	prorated_pending_charge	source_file_equal	cycle_window_equal	final_window_equal	product_equal	monthly_rate_equal	detail_minus_prorated_amount	detail_minus_prorated_plus_pending	record_context_classification	amount_semantics_note
1	IMSI_ONLY_OVERLAP_SAMPLE	imsi	source_file|imsi|cycle_start|cycle_end	source_file|imsi|cycle_start|cycle_end|final_start|final_end	source_file|imsi|product_name|cycle_start|cycle_end|final_start|final_end|monthly_rate	083901143008430841	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	AT&T 125GB Plan ATM RA (WA)	AT&T 125GB Plan ATM RA (WA)	2026-04-04	2026-02-04	2026-05-03	2026-03-03	2026-04-04	2026-02-19	2026-05-03	2026-03-03	Full Cycle Charge	30.000000000000	18.000000000000	43.000000000000	43.000000000000	43.000000000000	27.642857142857	6.142857142857	DIFFERENT	DIFFERENT	DIFFERENT	EQUAL	EQUAL	15.357143	9.214286	IMSI_ONLY_OVERLAP_DIFFERENT_RECORD_CONTEXT	detail.final_charge and prorated.final_charge_for_usage_days are different amount semantics; pending_charge is prorated auxiliary amount. Do not union or deduplicate by IMSI alone.
2	IMSI_ONLY_OVERLAP_SAMPLE	imsi	source_file|imsi|cycle_start|cycle_end	source_file|imsi|cycle_start|cycle_end|final_start|final_end	source_file|imsi|product_name|cycle_start|cycle_end|final_start|final_end|monthly_rate	083901143008438757	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	AT&T 125GB Plan ATM RA (WA)	AT&T 125GB Plan ATM RA (WA)	2026-04-04	2026-02-04	2026-05-03	2026-03-03	2026-04-04	2026-02-19	2026-05-03	2026-03-03	Full Cycle Charge	30.000000000000	22.000000000000	43.000000000000	43.000000000000	43.000000000000	33.785714285714	7.675714285714	DIFFERENT	DIFFERENT	DIFFERENT	EQUAL	EQUAL	9.214286	1.538571	IMSI_ONLY_OVERLAP_DIFFERENT_RECORD_CONTEXT	detail.final_charge and prorated.final_charge_for_usage_days are different amount semantics; pending_charge is prorated auxiliary amount. Do not union or deduplicate by IMSI alone.
3	IMSI_ONLY_OVERLAP_SAMPLE	imsi	source_file|imsi|cycle_start|cycle_end	source_file|imsi|cycle_start|cycle_end|final_start|final_end	source_file|imsi|product_name|cycle_start|cycle_end|final_start|final_end|monthly_rate	083901143008439712	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	AT&T 125GB Plan ATM RA (WA)	AT&T 125GB Plan ATM RA (WA)	2026-04-04	2026-02-04	2026-05-03	2026-03-03	2026-04-04	2026-02-19	2026-05-03	2026-03-03	Full Cycle Charge	30.000000000000	18.000000000000	43.000000000000	43.000000000000	43.000000000000	27.642857142857	1.532857142857	DIFFERENT	DIFFERENT	DIFFERENT	EQUAL	EQUAL	15.357143	13.824286	IMSI_ONLY_OVERLAP_DIFFERENT_RECORD_CONTEXT	detail.final_charge and prorated.final_charge_for_usage_days are different amount semantics; pending_charge is prorated auxiliary amount. Do not union or deduplicate by IMSI alone.
4	IMSI_ONLY_OVERLAP_SAMPLE	imsi	source_file|imsi|cycle_start|cycle_end	source_file|imsi|cycle_start|cycle_end|final_start|final_end	source_file|imsi|product_name|cycle_start|cycle_end|final_start|final_end|monthly_rate	083901143008439722	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	AT&T 125GB Plan ATM RA (WA)	AT&T 125GB Plan ATM RA (WA)	2026-04-04	2026-02-04	2026-05-03	2026-03-03	2026-04-04	2026-02-19	2026-05-03	2026-03-03	Full Cycle Charge	30.000000000000	28.000000000000	43.000000000000	43.000000000000	43.000000000000	43.000000000000	13.820000000000	DIFFERENT	DIFFERENT	DIFFERENT	EQUAL	EQUAL	0.000000	-13.820000	IMSI_ONLY_OVERLAP_DIFFERENT_RECORD_CONTEXT	detail.final_charge and prorated.final_charge_for_usage_days are different amount semantics; pending_charge is prorated auxiliary amount. Do not union or deduplicate by IMSI alone.
5	IMSI_ONLY_OVERLAP_SAMPLE	imsi	source_file|imsi|cycle_start|cycle_end	source_file|imsi|cycle_start|cycle_end|final_start|final_end	source_file|imsi|product_name|cycle_start|cycle_end|final_start|final_end|monthly_rate	083901143008439731	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	AT&T 125GB Plan ATM RA (WA)	AT&T 125GB Plan ATM RA (WA)	2026-04-04	2026-02-04	2026-05-03	2026-03-03	2026-04-04	2026-02-19	2026-05-03	2026-03-03	Full Cycle Charge	30.000000000000	24.000000000000	43.000000000000	43.000000000000	43.000000000000	36.857142857143	3.067142857143	DIFFERENT	DIFFERENT	DIFFERENT	EQUAL	EQUAL	6.142857	3.075714	IMSI_ONLY_OVERLAP_DIFFERENT_RECORD_CONTEXT	detail.final_charge and prorated.final_charge_for_usage_days are different amount semantics; pending_charge is prorated auxiliary amount. Do not union or deduplicate by IMSI alone.
6	IMSI_ONLY_OVERLAP_SAMPLE	imsi	source_file|imsi|cycle_start|cycle_end	source_file|imsi|cycle_start|cycle_end|final_start|final_end	source_file|imsi|product_name|cycle_start|cycle_end|final_start|final_end|monthly_rate	083901143008439741	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	AT&T 125GB Plan ATM RA (WA)	AT&T 125GB Plan ATM RA (WA)	2026-04-04	2026-02-04	2026-05-03	2026-03-03	2026-04-04	2026-02-19	2026-05-03	2026-03-03	Full Cycle Charge	30.000000000000	14.000000000000	43.000000000000	43.000000000000	43.000000000000	21.500000000000	1.540000000000	DIFFERENT	DIFFERENT	DIFFERENT	EQUAL	EQUAL	21.500000	19.960000	IMSI_ONLY_OVERLAP_DIFFERENT_RECORD_CONTEXT	detail.final_charge and prorated.final_charge_for_usage_days are different amount semantics; pending_charge is prorated auxiliary amount. Do not union or deduplicate by IMSI alone.
7	IMSI_ONLY_OVERLAP_SAMPLE	imsi	source_file|imsi|cycle_start|cycle_end	source_file|imsi|cycle_start|cycle_end|final_start|final_end	source_file|imsi|product_name|cycle_start|cycle_end|final_start|final_end|monthly_rate	083901144006265895	01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	AT&T 150GB Plan ATM RA (WA)	AT&T 150GB Plan ATM RA (WA)	2026-07-04	2026-07-04	2026-08-03	2026-08-03	2026-07-06	2026-07-06	2026-08-03	2026-08-03	Partial Charge - New Card Used as Replacement Mid Cycle	30.000000000000	31.000000000000	43.000000000000	43.000000000000	41.612903225806	43.000000000000	1.390000000000	DIFFERENT	EQUAL	EQUAL	EQUAL	EQUAL	-1.387097	-2.777097	IMSI_ONLY_OVERLAP_DIFFERENT_RECORD_CONTEXT	detail.final_charge and prorated.final_charge_for_usage_days are different amount semantics; pending_charge is prorated auxiliary amount. Do not union or deduplicate by IMSI alone.
8	IMSI_ONLY_OVERLAP_SAMPLE	imsi	source_file|imsi|cycle_start|cycle_end	source_file|imsi|cycle_start|cycle_end|final_start|final_end	source_file|imsi|product_name|cycle_start|cycle_end|final_start|final_end|monthly_rate	083901144006950406	01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	AT&T 150GB Plan ATM RA (WA)	AT&T 150GB Plan ATM RA (WA)	2026-07-04	2026-07-04	2026-08-03	2026-08-03	2026-07-06	2026-07-06	2026-08-03	2026-08-03	Partial Charge - New Card Used as Replacement Mid Cycle	30.000000000000	31.000000000000	43.000000000000	43.000000000000	41.612903225806	43.000000000000	1.390000000000	DIFFERENT	EQUAL	EQUAL	EQUAL	EQUAL	-1.387097	-2.777097	IMSI_ONLY_OVERLAP_DIFFERENT_RECORD_CONTEXT	detail.final_charge and prorated.final_charge_for_usage_days are different amount semantics; pending_charge is prorated auxiliary amount. Do not union or deduplicate by IMSI alone.
9	IMSI_ONLY_OVERLAP_SAMPLE	imsi	source_file|imsi|cycle_start|cycle_end	source_file|imsi|cycle_start|cycle_end|final_start|final_end	source_file|imsi|product_name|cycle_start|cycle_end|final_start|final_end|monthly_rate	083901144012174367	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	AT&T 125GB Plan ATM RA (WA)	AT&T 125GB Plan ATM RA (WA)	2026-04-04	2026-02-04	2026-05-03	2026-03-03	2026-04-04	2026-02-24	2026-05-03	2026-03-03	Full Cycle Charge	30.000000000000	10.000000000000	43.000000000000	43.000000000000	43.000000000000	15.357142857143	3.067142857143	DIFFERENT	DIFFERENT	DIFFERENT	EQUAL	EQUAL	27.642857	24.575714	IMSI_ONLY_OVERLAP_DIFFERENT_RECORD_CONTEXT	detail.final_charge and prorated.final_charge_for_usage_days are different amount semantics; pending_charge is prorated auxiliary amount. Do not union or deduplicate by IMSI alone.
10	IMSI_ONLY_OVERLAP_SAMPLE	imsi	source_file|imsi|cycle_start|cycle_end	source_file|imsi|cycle_start|cycle_end|final_start|final_end	source_file|imsi|product_name|cycle_start|cycle_end|final_start|final_end|monthly_rate	083901144025199730	01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	AT&T 150GB Plan ATM RA (WA)	AT&T 150GB Plan ATM RA (WA)	2026-07-04	2026-07-04	2026-08-03	2026-08-03	2026-07-06	2026-07-06	2026-08-03	2026-08-03	Partial Charge - New Card Used as Replacement Mid Cycle	29.000000000000	30.000000000000	43.000000000000	43.000000000000	40.225806451613	41.612903225806	1.382903226000	DIFFERENT	EQUAL	EQUAL	EQUAL	EQUAL	-1.387097	-2.770000	IMSI_ONLY_OVERLAP_DIFFERENT_RECORD_CONTEXT	detail.final_charge and prorated.final_charge_for_usage_days are different amount semantics; pending_charge is prorated auxiliary amount. Do not union or deduplicate by IMSI alone.
