sample_no	imsi_std	source_file_std	cycle_start_std	cycle_end_std	charge_type_std	duplicate_row_count	distinct_non_key_fingerprint_count	distinct_final_start_count	distinct_final_end_count	distinct_final_days_count	distinct_monthly_rate_count	distinct_final_amount_count	detail_amount_sum	non_key_fingerprint_samples	duplicate_classification	retain_multirow_recommendation
1	083901144035616472	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2026-01-05	2026-02-04	Partial Charge - Product Transfer Mid Cycle	2	2	2	2	2	2	2	39.806452	<NULL>||ATT 100GB Plan EC (WA)||42.327507256530||490.000000000000||0.086382667870||<NULL>||<NULL>||2026-01-14||2026-02-04||22.000000000000||<NULL>||<NULL>||<NULL>||22.000000000000||43.000000000000||30.516129032258||<NULL>||Product Transfer Mid Cycle (from 50GB to 100GB) - Partial Charge for 100GB AFTER Transfer||<NULL>||<NULL>||<NULL> || <NULL>||ATT 50GB Plan AT (WA)||42.327507256530||49.000000000000||0.863826678705||<NULL>||<NULL>||2026-01-05||2026-01-13||9.000000000000||<NULL>||<NULL>||<NULL>||9.000000000000||32.000000000000||9.290322580645||<NULL>||Product Transfer Mid Cycle (from 50GB to 100GB) - Partial Charge for 50GB BEFORE Transfer||<NULL>||<NULL>||<NULL>	MULTIPLE_DETAIL_ROWS_SAME_CYCLE_CHARGE_TYPE_DIFFERENT_FIELDS	KEEP_MULTIPLE_UNTIL_BUSINESS_RULE_PROVES_DUPLICATE
2	083901516060070015	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2026-01-23	2026-02-22	Partial Charge - Product Transfer Mid Cycle	2	2	2	2	2	2	2	58.516129	<NULL>||ATT 125GB Plan DF ET (43) (WA)||174.537011926062||125.000000000000||1.396296095408||<NULL>||<NULL>||2026-02-01||2026-02-22||22.000000000000||<NULL>||<NULL>||<NULL>||22.000000000000||43.000000000000||30.516129032258||<NULL>||Product Transfer Mid Cycle (from 300GB to 125GB) - Partial Charge for 125GB AFTER Transfer||<NULL>||<NULL>||<NULL> || <NULL>||ATT 300GB Plan DF ET (43) (WA)||174.537011926062||397.000000000000||0.439639828529||<NULL>||<NULL>||2026-01-23||2026-01-31||9.000000000000||14.000000000000||<NULL>||<NULL>||14.000000000000||62.000000000000||28.000000000000||<NULL>||Product Transfer Mid Cycle (from 300GB to 125GB) - Partial Charge for 300GB BEFORE Transfer||<NULL>||<NULL>||<NULL>	MULTIPLE_DETAIL_ROWS_SAME_CYCLE_CHARGE_TYPE_DIFFERENT_FIELDS	KEEP_MULTIPLE_UNTIL_BUSINESS_RULE_PROVES_DUPLICATE
3	083901516060074992	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2026-01-26	2026-02-25	Partial Charge - Product Transfer Mid Cycle	2	2	2	2	2	2	2	46.677419	<NULL>||ATT 125GB Plan DF ET (43) (WA)||2.358145703562||125.000000000000||0.018865165628||<NULL>||<NULL>||2026-02-01||2026-02-25||25.000000000000||<NULL>||<NULL>||<NULL>||25.000000000000||43.000000000000||34.677419354839||<NULL>||Product Transfer Mid Cycle (from 300GB to 125GB) - Partial Charge for 125GB AFTER Transfer||<NULL>||<NULL>||<NULL> || <NULL>||ATT 300GB Plan DF ET (43) (WA)||2.358145703562||397.000000000000||0.005939913611||<NULL>||<NULL>||2026-01-26||2026-01-31||6.000000000000||1.000000000000||<NULL>||<NULL>||6.000000000000||62.000000000000||12.000000000000||<NULL>||Product Transfer Mid Cycle (from 300GB to 125GB) - Partial Charge for 300GB BEFORE Transfer||<NULL>||<NULL>||<NULL>	MULTIPLE_DETAIL_ROWS_SAME_CYCLE_CHARGE_TYPE_DIFFERENT_FIELDS	KEEP_MULTIPLE_UNTIL_BUSINESS_RULE_PROVES_DUPLICATE
4	083901516060080836	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2026-01-20	2026-02-19	Partial Charge - Product Transfer Mid Cycle	2	2	2	2	2	2	2	56.354839	<NULL>||ATT 125GB Plan DF ET (43) (WA)||180.092592550441||125.000000000000||1.440740740404||<NULL>||<NULL>||2026-02-01||2026-02-19||19.000000000000||<NULL>||<NULL>||<NULL>||19.000000000000||43.000000000000||26.354838709677||<NULL>||Product Transfer Mid Cycle (from 300GB to 125GB) - Partial Charge for 125GB AFTER Transfer||<NULL>||<NULL>||<NULL> || <NULL>||ATT 300GB Plan DF ET (43) (WA)||180.092592550441||397.000000000000||0.453633734384||<NULL>||<NULL>||2026-01-20||2026-01-31||12.000000000000||15.000000000000||<NULL>||<NULL>||15.000000000000||62.000000000000||30.000000000000||<NULL>||Product Transfer Mid Cycle (from 300GB to 125GB) - Partial Charge for 300GB BEFORE Transfer||<NULL>||<NULL>||<NULL>	MULTIPLE_DETAIL_ROWS_SAME_CYCLE_CHARGE_TYPE_DIFFERENT_FIELDS	KEEP_MULTIPLE_UNTIL_BUSINESS_RULE_PROVES_DUPLICATE
5	083901516060083965	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2026-01-20	2026-02-19	Partial Charge - Product Transfer Mid Cycle	2	2	2	2	1	2	2	64.354839	<NULL>||ATT 125GB Plan DF ET (43) (WA)||242.463520043529||125.000000000000||1.939708160348||<NULL>||<NULL>||2026-02-01||2026-02-19||19.000000000000||<NULL>||<NULL>||<NULL>||19.000000000000||43.000000000000||26.354838709677||<NULL>||Product Transfer Mid Cycle (from 300GB to 125GB) - Partial Charge for 125GB AFTER Transfer||<NULL>||<NULL>||<NULL> || <NULL>||ATT 300GB Plan DF ET (43) (WA)||242.463520043529||397.000000000000||0.610739345198||<NULL>||<NULL>||2026-01-20||2026-01-31||12.000000000000||19.000000000000||<NULL>||<NULL>||19.000000000000||62.000000000000||38.000000000000||<NULL>||Product Transfer Mid Cycle (from 300GB to 125GB) - Partial Charge for 300GB BEFORE Transfer||<NULL>||<NULL>||<NULL>	MULTIPLE_DETAIL_ROWS_SAME_CYCLE_CHARGE_TYPE_DIFFERENT_FIELDS	KEEP_MULTIPLE_UNTIL_BUSINESS_RULE_PROVES_DUPLICATE
6	083901516060090103	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2026-01-09	2026-02-08	Partial Charge - Product Transfer Mid Cycle	2	2	2	2	2	2	2	57.096774	<NULL>||ATT 125GB Plan DF ET (43) (WA)||200.784808673895||125.000000000000||1.606278469391||<NULL>||<NULL>||2026-02-01||2026-02-08||8.000000000000||<NULL>||<NULL>||<NULL>||8.000000000000||43.000000000000||11.096774193548||<NULL>||Product Transfer Mid Cycle (from 300GB to 125GB) - Partial Charge for 125GB AFTER Transfer||<NULL>||<NULL>||<NULL> || <NULL>||ATT 300GB Plan DF ET (43) (WA)||200.784808673895||397.000000000000||0.505755185577||<NULL>||<NULL>||2026-01-09||2026-01-31||23.000000000000||16.000000000000||<NULL>||<NULL>||23.000000000000||62.000000000000||46.000000000000||<NULL>||Product Transfer Mid Cycle (from 300GB to 125GB) - Partial Charge for 300GB BEFORE Transfer||<NULL>||<NULL>||<NULL>	MULTIPLE_DETAIL_ROWS_SAME_CYCLE_CHARGE_TYPE_DIFFERENT_FIELDS	KEEP_MULTIPLE_UNTIL_BUSINESS_RULE_PROVES_DUPLICATE
7	083901516060090352	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2026-01-19	2026-02-18	Partial Charge - Product Transfer Mid Cycle	2	2	2	2	2	2	2	50.967742	<NULL>||ATT 125GB Plan DF ET (43) (WA)||136.063276940957||125.000000000000||1.088506215528||<NULL>||<NULL>||2026-02-01||2026-02-18||18.000000000000||<NULL>||<NULL>||<NULL>||18.000000000000||43.000000000000||24.967741935484||<NULL>||Product Transfer Mid Cycle (from 300GB to 125GB) - Partial Charge for 125GB AFTER Transfer||<NULL>||<NULL>||<NULL> || <NULL>||ATT 300GB Plan DF ET (43) (WA)||136.063276940957||397.000000000000||0.342728657282||<NULL>||<NULL>||2026-01-19||2026-01-31||13.000000000000||11.000000000000||<NULL>||<NULL>||13.000000000000||62.000000000000||26.000000000000||<NULL>||Product Transfer Mid Cycle (from 300GB to 125GB) - Partial Charge for 300GB BEFORE Transfer||<NULL>||<NULL>||<NULL>	MULTIPLE_DETAIL_ROWS_SAME_CYCLE_CHARGE_TYPE_DIFFERENT_FIELDS	KEEP_MULTIPLE_UNTIL_BUSINESS_RULE_PROVES_DUPLICATE
8	083901516060095584	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2026-01-19	2026-02-18	Partial Charge - Product Transfer Mid Cycle	2	2	2	2	2	2	2	50.967742	<NULL>||ATT 125GB Plan DF ET (43) (WA)||4.644105382264||125.000000000000||0.037152843058||<NULL>||<NULL>||2026-02-01||2026-02-18||18.000000000000||<NULL>||<NULL>||<NULL>||18.000000000000||43.000000000000||24.967741935484||<NULL>||Product Transfer Mid Cycle (from 300GB to 125GB) - Partial Charge for 125GB AFTER Transfer||<NULL>||<NULL>||<NULL> || <NULL>||ATT 300GB Plan DF ET (43) (WA)||4.644105382264||397.000000000000||0.011697998444||<NULL>||<NULL>||2026-01-19||2026-01-31||13.000000000000||1.000000000000||<NULL>||<NULL>||13.000000000000||62.000000000000||26.000000000000||<NULL>||Product Transfer Mid Cycle (from 300GB to 125GB) - Partial Charge for 300GB BEFORE Transfer||<NULL>||<NULL>||<NULL>	MULTIPLE_DETAIL_ROWS_SAME_CYCLE_CHARGE_TYPE_DIFFERENT_FIELDS	KEEP_MULTIPLE_UNTIL_BUSINESS_RULE_PROVES_DUPLICATE
9	083901516060095798	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2026-01-09	2026-02-08	Partial Charge - Product Transfer Mid Cycle	2	2	2	2	2	2	2	57.096774	<NULL>||ATT 125GB Plan DF ET (43) (WA)||215.604926718398||125.000000000000||1.724839413747||<NULL>||<NULL>||2026-02-01||2026-02-08||8.000000000000||<NULL>||<NULL>||<NULL>||8.000000000000||43.000000000000||11.096774193548||<NULL>||Product Transfer Mid Cycle (from 300GB to 125GB) - Partial Charge for 125GB AFTER Transfer||<NULL>||<NULL>||<NULL> || <NULL>||ATT 300GB Plan DF ET (43) (WA)||215.604926718398||397.000000000000||0.543085457729||<NULL>||<NULL>||2026-01-09||2026-01-31||23.000000000000||17.000000000000||<NULL>||<NULL>||23.000000000000||62.000000000000||46.000000000000||<NULL>||Product Transfer Mid Cycle (from 300GB to 125GB) - Partial Charge for 300GB BEFORE Transfer||<NULL>||<NULL>||<NULL>	MULTIPLE_DETAIL_ROWS_SAME_CYCLE_CHARGE_TYPE_DIFFERENT_FIELDS	KEEP_MULTIPLE_UNTIL_BUSINESS_RULE_PROVES_DUPLICATE
10	083901516060095928	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2026-01-04	2026-02-03	Partial Charge - Product Transfer Mid Cycle	2	2	2	2	2	2	2	60.161290	<NULL>||ATT 125GB Plan DF ET (43) (WA)||0E-12||125.000000000000||0E-12||<NULL>||<NULL>||2026-02-01||2026-02-03||3.000000000000||<NULL>||<NULL>||<NULL>||3.000000000000||43.000000000000||4.161290322581||<NULL>||Product Transfer Mid Cycle (from 300GB to 125GB) - Partial Charge for 125GB AFTER Transfer||<NULL>||<NULL>||<NULL> || <NULL>||ATT 300GB Plan DF ET (43) (WA)||0E-12||397.000000000000||0E-12||<NULL>||<NULL>||2026-01-04||2026-01-31||28.000000000000||0E-12||<NULL>||<NULL>||28.000000000000||62.000000000000||56.000000000000||<NULL>||Product Transfer Mid Cycle (from 300GB to 125GB) - Partial Charge for 300GB BEFORE Transfer||<NULL>||<NULL>||<NULL>	MULTIPLE_DETAIL_ROWS_SAME_CYCLE_CHARGE_TYPE_DIFFERENT_FIELDS	KEEP_MULTIPLE_UNTIL_BUSINESS_RULE_PROVES_DUPLICATE
