local_excel_file	local_relative_path	sheet_name	sheet_kind	data_row_count	imsi_count	key_columns	amount_field	excel_amount	amount_min	amount_max	date_columns	date_summary_json	charge_type_values
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD1,139,393.53\006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	Invoice Details - SEP 2025	detail	25237	14793	imsi|iccid|cycle_time|cycle_end_time|Price|Final Start Date|Final End Date|# of Active Days|Usage Days|Usage Days > Active Days|Final # of Days|Final Charge	Final Charge	1139393.524729114	2.0	62.0	Final End Date|Final Start Date|cycle_end_time|cycle_time	"{""Final End Date"":{""count"":25237,""min"":""2025-09-01"",""max"":""2025-10-29""},""Final Start Date"":{""count"":25237,""min"":""2025-09-01"",""max"":""2025-09-30""},""cycle_end_time"":{""count"":25237,""min"":""2025-09-01"",""max"":""2025-10-29""},""cycle_time"":{""count"":25237,""min"":""2025-08-02"",""max"":""2025-09-30""}}"	
01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD772,765.00\01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Detail Charges	detail	12714	12712	IMSI|Product Name|Cycle Start Date|Cycle End Date|Cycle Usage (GB)|New Activation Date|Offstocked Date|Charge Type|Charge Start Date|Charge End Date|# of Active Days|# of Usage Days|Final # of Days for Proration|Monthly Rate|Final Charge	Final Charge	772285.533333333	-41.33333333333333	62.0	Cycle End Date|Cycle Start Date|New Activation Date|Offstocked Date	"{""Cycle End Date"":{""count"":12714,""min"":""2025-10-09"",""max"":""2025-11-29""},""Cycle Start Date"":{""count"":12714,""min"":""2025-09-10"",""max"":""2025-10-30""},""New Activation Date"":{""count"":74,""min"":""2025-10-06"",""max"":""2025-10-30""},""Offstocked Date"":{""count"":69,""min"":""2025-10-03"",""max"":""2025-10-31""}}"	Credit for Offstocked Card|Full Cycle Charge|New Activation: Prorated-in Charge|Prorated-out Charge (Activated OCT)
01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD772,765.00\01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Prorated-In SEP - Pending Charg	prorated	36	36	imsi|iccid|cycle_time|cycle_end_time|Price|Charge Start Date|Charge End Date|# of Active Days|Original Charge in SEP Invoice|Cycle Usage (GB)|Usage Days|Final Charge For Usage Days|Pending Charge	Final Charge For Usage Days	1521.066666667	31.0	64.06666666666668	cycle_end_time|cycle_time	"{""cycle_end_time"":{""count"":36,""min"":""2025-10-03"",""max"":""2025-10-03""},""cycle_time"":{""count"":36,""min"":""2025-09-03"",""max"":""2025-09-03""}}"	
01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Detail Charges	detail	12663	12641	IMSI|Product Name|Cycle Start Date|Cycle End Date|Cycle Usage (GB)|New Activation Date|Offstock Date|Charge Type|Final Start Date|Final End Date|# of Active Days|Usage Days|Final # of Days for Proration|Monthly Rate|Final Charge	Final Charge	773737.838709677	9.709677419354838	62.0	Cycle End Date|Cycle Start Date|Final End Date|Final Start Date|New Activation Date	"{""Cycle End Date"":{""count"":12663,""min"":""2025-11-09"",""max"":""2025-12-29""},""Cycle Start Date"":{""count"":12663,""min"":""2025-10-10"",""max"":""2025-11-30""},""Final End Date"":{""count"":12663,""min"":""2025-11-09"",""max"":""2025-12-29""},""Final Start Date"":{""count"":12663,""min"":""2025-11-01"",""max"":""2025-11-30""},""New Activation Date"":{""count"":47,""min"":""2025-11-05"",""max"":""2025-11-05""}}"	Full Cycle Charge|New Activation: Prorated-in Charge
01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Prorated-In OCT - Pending Charg	prorated	5	5	IMSI|Product Name|Cycle Start Date|Cycle End Date|New Activation Date|Final Start Date|Final End Date|# of Active Days|Monthly Rate|Original Charge in OCT Invoice|Cycle Usage (GB)|Usage Days|Final Charge For Usage Days|Pending Charge	Final Charge For Usage Days	294.0	54.0	62.0	Cycle End Date|Cycle Start Date|Final End Date|Final Start Date|New Activation Date	"{""Cycle End Date"":{""count"":5,""min"":""2025-11-15"",""max"":""2025-11-15""},""Cycle Start Date"":{""count"":5,""min"":""2025-10-16"",""max"":""2025-10-16""},""Final End Date"":{""count"":5,""min"":""2025-11-15"",""max"":""2025-11-15""},""Final Start Date"":{""count"":5,""min"":""2025-10-24"",""max"":""2025-10-24""},""New Activation Date"":{""count"":5,""min"":""2025-10-24"",""max"":""2025-10-24""}}"	
01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	Sheet1	credit	393	393	imsi|did we charge for this imsi?|ICCID|prod|cycle start|cycle end|price|final price|replacement product|Did we charge for this imsi?|date line went down|date replacement was activated|Days without Service?|Correct Price|Credit Owed	Credit Owed	585.45	0.0	41.33	cycle end|cycle start|date line went down|date replacement was activated	"{""cycle end"":{""count"":393,""min"":""2025-11-30"",""max"":""2025-12-26""},""cycle start"":{""count"":393,""min"":""2025-11-01"",""max"":""2025-11-27""},""date line went down"":{""count"":368,""min"":""2025-11-07"",""max"":""2025-11-18""},""date replacement was activated"":{""count"":383,""min"":""2025-10-30"",""max"":""2025-11-30""}}"	
SIMO Data Purchase Invoice Details - DEC 2025.xlsx	2026年1月\WingAlpha-2026年1月付；USD704,839.35\SIMO Data Purchase Invoice Details - DEC 2025.xlsx	Detail Charges	detail	12185	12110	IMSI|Product Name|Cycle Start Date|Cycle End Date|Cycle Usage (GB)|New Activation Date|Offstock Date|Charge Type|Final Start Date|Final End Date|# of Active Days|Usage Days|Final # of Days for Proration|Monthly Rate|Final Charge	Final Charge	704839.353763434	2.8666666666666667	62.0	Cycle End Date|Cycle Start Date|Final End Date|Final Start Date|New Activation Date|Offstock Date	"{""Cycle End Date"":{""count"":12185,""min"":""2025-12-23"",""max"":""2026-01-29""},""Cycle Start Date"":{""count"":12185,""min"":""2025-11-24"",""max"":""2025-12-30""},""Final End Date"":{""count"":12185,""min"":""2025-12-23"",""max"":""2026-01-29""},""Final Start Date"":{""count"":12185,""min"":""2025-12-01"",""max"":""2025-12-31""},""New Activation Date"":{""count"":750,""min"":""2025-12-22"",""max"":""2025-12-31""},""Offstock Date"":{""count"":9,""min"":""2025-12-31"",""max"":""2025-12-31""}}"	Full Cycle Charge|New Activation: Prorated-in Charge
01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2026年2月\WingAlpha-2026年2月付；USD703,612.29\01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	Detail Charges	detail	13661	13253	IMSI|Product Name|Cycle Start Date|Cycle End Date|Cycle Usage (GB)|New Activation Date|Offstock Date|Charge Type|Final Start Date|Final End Date|# of Active Days|Usage Days|Final # of Days for Proration|Monthly Rate|Final Charge	Final Charge	703606.290322565	-50.0	62.0	Cycle End Date|Cycle Start Date|Final End Date|Final Start Date|New Activation Date|Offstock Date	"{""Cycle End Date"":{""count"":13661,""min"":""2026-01-01"",""max"":""2026-02-27""},""Cycle Start Date"":{""count"":13661,""min"":""2025-12-02"",""max"":""2026-01-31""},""Final End Date"":{""count"":12953,""min"":""2026-01-01"",""max"":""2026-02-27""},""Final Start Date"":{""count"":12953,""min"":""2026-01-01"",""max"":""2026-02-01""},""New Activation Date"":{""count"":1365,""min"":""2026-01-01"",""max"":""2026-01-31""},""Offstock Date"":{""count"":770,""min"":""2025-12-31"",""max"":""2026-01-27""}}"	Full Cycle Charge|New Activation: Prorated-in Charge|Offstocked before cycle start|Partial Charge - Product Transfer Mid Cycle|Prorated-Out Credit (Offstocked for Replacement)
01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2026年2月\WingAlpha-2026年2月付；USD703,612.29\01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	Prorated-In DEC - Pending Charg	prorated	1	1	IMSI|Product Name|Cycle Start Date|Cycle End Date|New Activation Date|Final Start Date|Final End Date|# of Active Days|Monthly Rate|Original Charge in DEC Invoice|Cycle Usage (GB)|Usage Days|Final Charge For Usage Days|Pending Charge	Final Charge For Usage Days	34.0	34.0	34.0	Cycle End Date|Cycle Start Date|Final End Date|Final Start Date|New Activation Date	"{""Cycle End Date"":{""count"":1,""min"":""2026-01-13"",""max"":""2026-01-13""},""Cycle Start Date"":{""count"":1,""min"":""2025-12-14"",""max"":""2025-12-14""},""Final End Date"":{""count"":1,""min"":""2026-01-13"",""max"":""2026-01-13""},""Final Start Date"":{""count"":1,""min"":""2025-12-31"",""max"":""2025-12-31""},""New Activation Date"":{""count"":1,""min"":""2025-12-31"",""max"":""2025-12-31""}}"	
01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026年3月\WingAlpha-2026年3月付；USD693,915.21\01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	Detail Charges	detail	12572	12309	IMSI|Product Name|Cycle Start Date|Cycle End Date|Cycle Usage (GB)|New Activation Date|Offstock Date|Charge Type|Final Start Date|Final End Date|# of Active Days|Usage Days|Final # of Days for Proration|Monthly Rate|Final Charge	Final Charge	690572.723502303	1.3870967741935483	64.0	Cycle End Date|Cycle Start Date|Final End Date|Final Start Date|New Activation Date|Offstock Date	"{""Cycle End Date"":{""count"":12572,""min"":""2026-02-06"",""max"":""2026-03-29""},""Cycle Start Date"":{""count"":12572,""min"":""2026-01-07"",""max"":""2026-02-28""},""Final End Date"":{""count"":12571,""min"":""2026-02-06"",""max"":""2026-03-29""},""Final Start Date"":{""count"":12571,""min"":""2026-02-01"",""max"":""2026-02-28""},""New Activation Date"":{""count"":993,""min"":""2026-02-01"",""max"":""2026-02-28""},""Offstock Date"":{""count"":242,""min"":""2026-02-03"",""max"":""2026-02-28""}}"	Full Cycle Charge|New Activation: Prorated-in Charge|Offstocked before cycle start|Partial Charge - Card Replaced Mid Cycle
