local_excel_file	local_relative_path	sheet_name	field_name	field_kind	non_null_count	sum_value	min_value	max_value
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD1,139,393.53\006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	Invoice Details - SEP 2025	Final Charge	amount	25237	1139393.524729114	2.0	62.0
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD1,139,393.53\006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	Invoice Details - SEP 2025	Price	amount	25237	1544554.0	43.0	62.0
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD1,139,393.53\006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	Invoice Details - SEP 2025	Final End Date	date	25237		2025-09-01	2025-10-29
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD1,139,393.53\006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	Invoice Details - SEP 2025	Final Start Date	date	25237		2025-09-01	2025-09-30
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD1,139,393.53\006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	Invoice Details - SEP 2025	cycle_end_time	date	25237		2025-09-01	2025-10-29
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD1,139,393.53\006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	Invoice Details - SEP 2025	cycle_time	date	25237		2025-08-02	2025-09-30
01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD772,765.00\01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Detail Charges	Final Charge	amount	12714	772285.533333333	-41.33333333333333	62.0
01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD772,765.00\01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Detail Charges	Monthly Rate	amount	12714	778198.0	43.0	62.0
01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD772,765.00\01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Detail Charges	Cycle End Date	date	12714		2025-10-09	2025-11-29
01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD772,765.00\01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Detail Charges	Cycle Start Date	date	12714		2025-09-10	2025-10-30
01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD772,765.00\01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Detail Charges	New Activation Date	date	74		2025-10-06	2025-10-30
01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD772,765.00\01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Detail Charges	Offstocked Date	date	69		2025-10-03	2025-10-31
