local_excel_file	local_relative_path	sheet_name	formula_count	formula_error_count	formula_error_tokens	formula_samples	formula_status
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD1,139,393.53\006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	Invoice Summary	42	0		D6:=COUNTIFS('Invoice Details - SEP 2025'!$P:$P,B6)|E6:=AVERAGEIFS('Invoice Details - SEP 2025'!$N:$N,'Invoice Details - SEP 2025'!$P:$P,B6)|F6:=SUMIFS('Invoice Details - SEP 2025'!$O:$O,'Invoice Details - SEP 2025'!$P:$P,B6)|D7:=COUNTIFS('Invoice Details - SEP 2025'!$P:$P,B7)|E7:=AVERAGEIFS('Invoice Details - SEP 2025'!$N:$N,'Invoice Details - SEP 2025'!$P:$P,B7)	NO_ERROR_TOKEN_IN_FORMULA_TEXT
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD1,139,393.53\006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	Invoice Details - SEP 2025	0	0			NO_ERROR_TOKEN_IN_FORMULA_TEXT
01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD772,765.00\01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Charges Summary	55	0		D6:=countifs('Detail Charges'!I:I,B6)|E6:=averageifs('Detail Charges'!N:N,'Detail Charges'!I:I,B6)|F6:=sumifs('Detail Charges'!P:P,'Detail Charges'!I:I,B6)|D7:=countifs('Detail Charges'!I:I,B7)|E7:=averageifs('Detail Charges'!N:N,'Detail Charges'!I:I,B7)	NO_ERROR_TOKEN_IN_FORMULA_TEXT
01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD772,765.00\01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Detail Charges	0	0			NO_ERROR_TOKEN_IN_FORMULA_TEXT
01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD772,765.00\01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Prorated-In SEP - Pending Charg	0	0			NO_ERROR_TOKEN_IN_FORMULA_TEXT
01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Charges Summary	35	1	#REF!	D6:=countifs('Detail Charges'!J:J,B6)|E6:=averageifs('Detail Charges'!O:O,'Detail Charges'!J:J,B6)|F6:=sumifs('Detail Charges'!Q:Q,'Detail Charges'!J:J,B6)|D7:=countifs('Detail Charges'!J:J,B7)|E7:=averageifs('Detail Charges'!O:O,'Detail Charges'!J:J,B7)	FORMULA_TEXT_HAS_ERROR_TOKEN
01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Detail Charges	0	0			NO_ERROR_TOKEN_IN_FORMULA_TEXT
01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Prorated-In OCT - Pending Charg	0	0			NO_ERROR_TOKEN_IN_FORMULA_TEXT
01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	Sheet1	0	0			NO_ERROR_TOKEN_IN_FORMULA_TEXT
01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	Sheet2	1	0		A402:=SUM(A1:A401)	NO_ERROR_TOKEN_IN_FORMULA_TEXT
