local_excel_file	local_relative_path	local_sheet_name	platform_source_table	platform_source_file	invoice_batch_label	observed_start_month	observed_cycle_start_month	observed_cycle_end_month	local_sheet_kind	local_sheet_data_row_count	platform_record_count	row_count_diff	local_imsi_count	platform_imsi_count	imsi_count_diff	local_amount	platform_amount	amount_diff	amount_semantics	local_amount_field	local_date_summary_json	file_name_amount	file_name_amount_diff	file_name_amount_status	folder_amount	folder_amount_diff	folder_amount_status	file_name_match_type	content_match_status	split_merge_status
01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	Sheet1	simo_prod.mysql_cdc_sync.wa_invoice_credit	01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx		2025-11	2025-12	credit	393	393	0	393	393	0	585.45	585.4499999999989	1.1368683772161603e-12	credit_owed	Credit Owed	"{""cycle end"":{""count"":393,""min"":""2025-11-30"",""max"":""2025-12-26""},""cycle start"":{""count"":393,""min"":""2025-11-01"",""max"":""2025-11-27""},""date line went down"":{""count"":368,""min"":""2025-11-07"",""max"":""2025-11-18""},""date replacement was activated"":{""count"":383,""min"":""2025-10-30"",""max"":""2025-11-30""}}"	585.45	1.1368683772161603e-12	FILENAME_AMOUNT_MATCH	773380.39	772794.9400000001	PARENT_FOLDER_AMOUNT_MISMATCH_NO_ADJUSTMENT	NFKC_NORMALIZED	LOCAL_AND_PLATFORM_STATS_MATCH	ONE_LOCAL_WORKBOOK_MATCHES_PLATFORM_SOURCE_FILE
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD1,139,393.53\006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	Invoice Details - SEP 2025	simo_prod.mysql_cdc_sync.wa_invoice_detail	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09	2025-09			detail	25237	25237	0	14793	14793	0	1139393.524729114	1139393.524729102	1.210719347000122e-08	final_charge	Final Charge	"{""Final End Date"":{""count"":25237,""min"":""2025-09-01"",""max"":""2025-10-29""},""Final Start Date"":{""count"":25237,""min"":""2025-09-01"",""max"":""2025-09-30""},""cycle_end_time"":{""count"":25237,""min"":""2025-09-01"",""max"":""2025-10-29""},""cycle_time"":{""count"":25237,""min"":""2025-08-02"",""max"":""2025-09-30""}}"			NO_FILENAME_AMOUNT	1139393.53	0.005270898109301925	PARENT_FOLDER_AMOUNT_MATCH	NFKC_NORMALIZED	LOCAL_AND_PLATFORM_STATS_MATCH	ONE_LOCAL_WORKBOOK_MATCHES_PLATFORM_SOURCE_FILE
01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Detail Charges	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v2)	2025-11			detail	12663	12663	0	12641	12641	0	773737.838709677	773737.8387096775	-4.656612873077393e-10	final_charge	Final Charge	"{""Cycle End Date"":{""count"":12663,""min"":""2025-11-09"",""max"":""2025-12-29""},""Cycle Start Date"":{""count"":12663,""min"":""2025-10-10"",""max"":""2025-11-30""},""Final End Date"":{""count"":12663,""min"":""2025-11-09"",""max"":""2025-12-29""},""Final Start Date"":{""count"":12663,""min"":""2025-11-01"",""max"":""2025-11-30""},""New Activation Date"":{""count"":47,""min"":""2025-11-05"",""max"":""2025-11-05""}}"	773793.84	56.00129032251425	FILENAME_AMOUNT_MISMATCH_NO_ADJUSTMENT	773380.39	-357.4487096774392	PARENT_FOLDER_AMOUNT_MISMATCH_NO_ADJUSTMENT	RAW_EXACT	LOCAL_AND_PLATFORM_STATS_MATCH	ONE_LOCAL_WORKBOOK_MATCHES_PLATFORM_SOURCE_FILE
01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD772,765.00\01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Detail Charges	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v1)	2025-10			detail	12714	12714	0	12712	12712	0	772285.533333333	772285.5333333333	-3.4924596548080444e-10	final_charge	Final Charge	"{""Cycle End Date"":{""count"":12714,""min"":""2025-10-09"",""max"":""2025-11-29""},""Cycle Start Date"":{""count"":12714,""min"":""2025-09-10"",""max"":""2025-10-30""},""New Activation Date"":{""count"":74,""min"":""2025-10-06"",""max"":""2025-10-30""},""Offstocked Date"":{""count"":69,""min"":""2025-10-03"",""max"":""2025-10-31""}}"	772765.0	479.4666666666744	FILENAME_AMOUNT_MISMATCH_NO_ADJUSTMENT	772765.0	479.4666666666744	PARENT_FOLDER_AMOUNT_MISMATCH_NO_ADJUSTMENT	RAW_EXACT	LOCAL_AND_PLATFORM_STATS_MATCH	ONE_LOCAL_WORKBOOK_MATCHES_PLATFORM_SOURCE_FILE
01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026年5月\WingAlpha-2026年5月付；USD374,480.38\01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	Detail Charges	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	2026-04			detail	7780	7780	0	7317	7317	0	372289.307526881	372289.30752688175	-7.566995918750763e-10	final_charge	Final Charge	"{""Cycle End Date"":{""count"":7780,""min"":""2026-04-18"",""max"":""2026-05-30""},""Cycle Start Date"":{""count"":7780,""min"":""2026-03-19"",""max"":""2026-04-30""},""Final End Date"":{""count"":7780,""min"":""2026-04-02"",""max"":""2026-05-30""},""Final Start Date"":{""count"":7780,""min"":""2026-04-01"",""max"":""2026-04-30""},""New Activation Date"":{""count"":1169,""min"":""2026-04-02"",""max"":""2026-04-28""},""Offstock Date"":{""count"":49,""min"":""2026-04-02"",""max"":""2026-04-24""}}"			NO_FILENAME_AMOUNT	374480.38	2191.0724731182563	PARENT_FOLDER_AMOUNT_MISMATCH_NO_ADJUSTMENT	RAW_EXACT	LOCAL_AND_PLATFORM_STATS_MATCH	ONE_LOCAL_WORKBOOK_MATCHES_PLATFORM_SOURCE_FILE
01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026年3月\WingAlpha-2026年3月付；USD693,915.21\01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	Detail Charges	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026-02	2026-02			detail	12572	12572	0	12309	12309	0	690572.723502303	690572.7235023042	-1.1641532182693481e-09	final_charge	Final Charge	"{""Cycle End Date"":{""count"":12572,""min"":""2026-02-06"",""max"":""2026-03-29""},""Cycle Start Date"":{""count"":12572,""min"":""2026-01-07"",""max"":""2026-02-28""},""Final End Date"":{""count"":12571,""min"":""2026-02-06"",""max"":""2026-03-29""},""Final Start Date"":{""count"":12571,""min"":""2026-02-01"",""max"":""2026-02-28""},""New Activation Date"":{""count"":993,""min"":""2026-02-01"",""max"":""2026-02-28""},""Offstock Date"":{""count"":242,""min"":""2026-02-03"",""max"":""2026-02-28""}}"			NO_FILENAME_AMOUNT	693915.21	3342.4864976957906	PARENT_FOLDER_AMOUNT_MISMATCH_NO_ADJUSTMENT	RAW_EXACT	LOCAL_AND_PLATFORM_STATS_MATCH	ONE_LOCAL_WORKBOOK_MATCHES_PLATFORM_SOURCE_FILE
01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2026年2月\WingAlpha-2026年2月付；USD703,612.29\01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	Detail Charges	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2025-01	2026-01			detail	13661	13661	0	13253	13253	0	703606.290322565	703606.2903225811	-1.6065314412117004e-08	final_charge	Final Charge	"{""Cycle End Date"":{""count"":13661,""min"":""2026-01-01"",""max"":""2026-02-27""},""Cycle Start Date"":{""count"":13661,""min"":""2025-12-02"",""max"":""2026-01-31""},""Final End Date"":{""count"":12953,""min"":""2026-01-01"",""max"":""2026-02-27""},""Final Start Date"":{""count"":12953,""min"":""2026-01-01"",""max"":""2026-02-01""},""New Activation Date"":{""count"":1365,""min"":""2026-01-01"",""max"":""2026-01-31""},""Offstock Date"":{""count"":770,""min"":""2025-12-31"",""max"":""2026-01-27""}}"			NO_FILENAME_AMOUNT	703612.29	5.999677418963984	PARENT_FOLDER_AMOUNT_MISMATCH_NO_ADJUSTMENT	RAW_EXACT	LOCAL_AND_PLATFORM_STATS_MATCH	ONE_LOCAL_WORKBOOK_MATCHES_PLATFORM_SOURCE_FILE
01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	2026年8月\WingAlpha-2026年8月付；USD373,928.34\01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	Detail Charges	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	2026-07	2026-07			detail	7537	7537	0	7472	7472	0	373918.313978497	373918.3139784944	2.6193447411060333e-09	final_charge	Final Charge	"{""Cycle End Date"":{""count"":7537,""min"":""2026-07-08"",""max"":""2026-08-30""},""Cycle Start Date"":{""count"":7537,""min"":""2026-06-09"",""max"":""2026-07-31""},""Final End Date"":{""count"":7537,""min"":""2026-07-08"",""max"":""2026-08-30""},""Final Start Date"":{""count"":7537,""min"":""2026-07-01"",""max"":""2026-07-31""},""New Activation Date"":{""count"":197,""min"":""2026-07-01"",""max"":""2026-07-31""},""Offstock Date"":{""count"":41,""min"":""2026-07-25"",""max"":""2026-07-31""}}"			NO_FILENAME_AMOUNT	373928.34	10.026021505647805	PARENT_FOLDER_AMOUNT_MISMATCH_NO_ADJUSTMENT	RAW_EXACT	LOCAL_AND_PLATFORM_STATS_MATCH	ONE_LOCAL_WORKBOOK_MATCHES_PLATFORM_SOURCE_FILE
01-SIMO Data Purchase Invoice Details - JUNE 2026.xlsx	2026年7月\WingAlpha-2026年7月付；USD382,329.72\01-SIMO Data Purchase Invoice Details - JUNE 2026.xlsx	Detail Charges	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - JUNE 2026.xlsx	2026-06	2026-06			detail	7598	7598	0	7469	7469	0	382329.720430108	382329.7204301075	5.238689482212067e-10	final_charge	Final Charge	"{""Cycle End Date"":{""count"":7598,""min"":""2026-06-06"",""max"":""2026-07-29""},""Cycle Start Date"":{""count"":7598,""min"":""2026-05-07"",""max"":""2026-06-30""},""Final End Date"":{""count"":7598,""min"":""2026-06-06"",""max"":""2026-07-29""},""Final Start Date"":{""count"":7598,""min"":""2026-06-01"",""max"":""2026-06-30""},""New Activation Date"":{""count"":303,""min"":""2026-06-01"",""max"":""2026-06-30""},""Offstock Date"":{""count"":78,""min"":""2026-06-12"",""max"":""2026-06-30""}}"			NO_FILENAME_AMOUNT	382329.72	-0.00043010752415284514	PARENT_FOLDER_AMOUNT_MATCH	RAW_EXACT	LOCAL_AND_PLATFORM_STATS_MATCH	ONE_LOCAL_WORKBOOK_MATCHES_PLATFORM_SOURCE_FILE
01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026年4月\WingAlpha-2026年4月付；USD579,471.47\01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	Detail Charges	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026-03	2026-02			detail	13082	13082	0	12763	12763	0	578406.306451616	578406.3064516129	3.14321368932724e-09	final_charge	Final Charge	"{""Cycle End Date"":{""count"":13082,""min"":""2026-03-17"",""max"":""2026-04-27""},""Cycle Start Date"":{""count"":13082,""min"":""2026-02-18"",""max"":""2026-03-28""},""Final End Date"":{""count"":13081,""min"":""2026-03-09"",""max"":""2026-04-27""},""Final Start Date"":{""count"":13081,""min"":""2026-02-24"",""max"":""2026-03-28""},""New Activation Date"":{""count"":1418,""min"":""2026-03-05"",""max"":""2026-03-28""},""Offstock Date"":{""count"":539,""min"":""2026-03-04"",""max"":""2026-03-31""}}"			NO_FILENAME_AMOUNT	579471.47	1065.1635483871214	PARENT_FOLDER_AMOUNT_MISMATCH_NO_ADJUSTMENT	RAW_EXACT	LOCAL_AND_PLATFORM_STATS_MATCH	ONE_LOCAL_WORKBOOK_MATCHES_PLATFORM_SOURCE_FILE
