local_excel_file	local_relative_path	sheet_name	header_row	header_detection_score	data_row_count	worksheet_max_row	worksheet_max_column	column_names	key_columns	imsi_count	charge_type_values	source_file_values	amount_columns	amount_summary_json	date_columns	date_summary_json
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD1,139,393.53\006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	Invoice Summary	1	0	0	22	8	CHARGES SUMMARY	CHARGES SUMMARY	0				{}		{}
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD1,139,393.53\006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	Invoice Details - SEP 2025	1	7	25237	25250	16	imsi|iccid|cycle_time|cycle_end_time|Final Cycle Usage (GB)|Plan Name|Data Allowance|Price|Final Start Date|Final End Date|# of Active Days|Usage Days|Usage Days > Active Days|Final # of Days|Final Charge|Comment for Summary	imsi|iccid|cycle_time|cycle_end_time|Price|Final Start Date|Final End Date|# of Active Days|Usage Days|Usage Days > Active Days|Final # of Days|Final Charge	14793			Final Charge|Price	"{""Final Charge"":{""count"":25237,""sum"":1139393.524729114,""min"":2.0,""max"":62.0},""Price"":{""count"":25237,""sum"":1544554.0,""min"":43.0,""max"":62.0}}"	Final End Date|Final Start Date|cycle_end_time|cycle_time	"{""Final End Date"":{""count"":25237,""min"":""2025-09-01"",""max"":""2025-10-29""},""Final Start Date"":{""count"":25237,""min"":""2025-09-01"",""max"":""2025-09-30""},""cycle_end_time"":{""count"":25237,""min"":""2025-09-01"",""max"":""2025-10-29""},""cycle_time"":{""count"":25237,""min"":""2025-08-02"",""max"":""2025-09-30""}}"
01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD772,765.00\01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Charges Summary	1	0	0			CHARGES SUMMARY	CHARGES SUMMARY	0				{}		{}
01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD772,765.00\01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Detail Charges	1	8	12714			IMSI|Product Name|Cycle Start Date|Cycle End Date|Cycle Usage (GB)|Data Allowance (GB)|New Activation Date|Offstocked Date|Charge Type|Charge Start Date|Charge End Date|# of Active Days|# of Usage Days|Final # of Days for Proration|Monthly Rate|Final Charge	IMSI|Product Name|Cycle Start Date|Cycle End Date|Cycle Usage (GB)|New Activation Date|Offstocked Date|Charge Type|Charge Start Date|Charge End Date|# of Active Days|# of Usage Days|Final # of Days for Proration|Monthly Rate|Final Charge	12712	Credit for Offstocked Card|Full Cycle Charge|New Activation: Prorated-in Charge|Prorated-out Charge (Activated OCT)		Final Charge|Monthly Rate	"{""Final Charge"":{""count"":12714,""sum"":772285.533333333,""min"":-41.33333333333333,""max"":62.0},""Monthly Rate"":{""count"":12714,""sum"":778198.0,""min"":43.0,""max"":62.0}}"	Cycle End Date|Cycle Start Date|New Activation Date|Offstocked Date	"{""Cycle End Date"":{""count"":12714,""min"":""2025-10-09"",""max"":""2025-11-29""},""Cycle Start Date"":{""count"":12714,""min"":""2025-09-10"",""max"":""2025-10-30""},""New Activation Date"":{""count"":74,""min"":""2025-10-06"",""max"":""2025-10-30""},""Offstocked Date"":{""count"":69,""min"":""2025-10-03"",""max"":""2025-10-31""}}"
01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD772,765.00\01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Prorated-In SEP - Pending Charg	1	6	36			imsi|iccid|cycle_time|cycle_end_time|Plan Name|Price|New Activation|Charge Start Date|Charge End Date|# of Active Days|Original Charge in SEP Invoice|Cycle Usage (GB)|Usage Days|Final Charge For Usage Days|Pending Charge	imsi|iccid|cycle_time|cycle_end_time|Price|Charge Start Date|Charge End Date|# of Active Days|Original Charge in SEP Invoice|Cycle Usage (GB)|Usage Days|Final Charge For Usage Days|Pending Charge	36			Final Charge For Usage Days|Original Charge in SEP Invoice|Pending Charge|Price	"{""Final Charge For Usage Days"":{""count"":36,""sum"":1521.066666667,""min"":31.0,""max"":64.06666666666668},""Original Charge in SEP Invoice"":{""count"":36,""sum"":1041.5999988,""min"":28.9333333,""max"":28.9333333},""Pending Charge"":{""count"":36,""sum"":479.466667867,""min"":2.066666699999999,""max"":35.133333366666676},""Price"":{""count"":36,""sum"":2232.0,""min"":62.0,""max"":62.0}}"	cycle_end_time|cycle_time	"{""cycle_end_time"":{""count"":36,""min"":""2025-10-03"",""max"":""2025-10-03""},""cycle_time"":{""count"":36,""min"":""2025-09-03"",""max"":""2025-09-03""}}"
01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Charges Summary	1	0	0			CHARGES SUMMARY	CHARGES SUMMARY	0				{}		{}
01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Detail Charges	1	12	12663			IMSI|Product Name|Cycle Start Date|Cycle End Date|Cycle Usage (GB)|Data Allowance (GB)|% Used|New Activation Date|Offstock Date|Charge Type|Final Start Date|Final End Date|# of Active Days|Usage Days|Final # of Days for Proration|Monthly Rate|Final Charge	IMSI|Product Name|Cycle Start Date|Cycle End Date|Cycle Usage (GB)|New Activation Date|Offstock Date|Charge Type|Final Start Date|Final End Date|# of Active Days|Usage Days|Final # of Days for Proration|Monthly Rate|Final Charge	12641	Full Cycle Charge|New Activation: Prorated-in Charge		Final Charge|Monthly Rate	"{""Final Charge"":{""count"":12663,""sum"":773737.838709677,""min"":9.709677419354838,""max"":62.0},""Monthly Rate"":{""count"":12663,""sum"":774276.0,""min"":43.0,""max"":62.0}}"	Cycle End Date|Cycle Start Date|Final End Date|Final Start Date|New Activation Date	"{""Cycle End Date"":{""count"":12663,""min"":""2025-11-09"",""max"":""2025-12-29""},""Cycle Start Date"":{""count"":12663,""min"":""2025-10-10"",""max"":""2025-11-30""},""Final End Date"":{""count"":12663,""min"":""2025-11-09"",""max"":""2025-12-29""},""Final Start Date"":{""count"":12663,""min"":""2025-11-01"",""max"":""2025-11-30""},""New Activation Date"":{""count"":47,""min"":""2025-11-05"",""max"":""2025-11-05""}}"
01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Prorated-In OCT - Pending Charg	1	11	5			IMSI|Product Name|Cycle Start Date|Cycle End Date|Data Allowance (GB)|New Activation Date|Final Start Date|Final End Date|# of Active Days|Monthly Rate|Original Charge in OCT Invoice|Cycle Usage (GB)|Usage Days|Final Charge For Usage Days|Pending Charge	IMSI|Product Name|Cycle Start Date|Cycle End Date|New Activation Date|Final Start Date|Final End Date|# of Active Days|Monthly Rate|Original Charge in OCT Invoice|Cycle Usage (GB)|Usage Days|Final Charge For Usage Days|Pending Charge	5			Final Charge For Usage Days|Monthly Rate|Original Charge in OCT Invoice|Pending Charge	"{""Final Charge For Usage Days"":{""count"":5,""sum"":294.0,""min"":54.0,""max"":62.0},""Monthly Rate"":{""count"":5,""sum"":310.0,""min"":62.0,""max"":62.0},""Original Charge in OCT Invoice"":{""count"":5,""sum"":238.0,""min"":46.0,""max"":54.0},""Pending Charge"":{""count"":5,""sum"":56.0,""min"":8.0,""max"":16.0}}"	Cycle End Date|Cycle Start Date|Final End Date|Final Start Date|New Activation Date	"{""Cycle End Date"":{""count"":5,""min"":""2025-11-15"",""max"":""2025-11-15""},""Cycle Start Date"":{""count"":5,""min"":""2025-10-16"",""max"":""2025-10-16""},""Final End Date"":{""count"":5,""min"":""2025-11-15"",""max"":""2025-11-15""},""Final Start Date"":{""count"":5,""min"":""2025-10-24"",""max"":""2025-10-24""},""New Activation Date"":{""count"":5,""min"":""2025-10-24"",""max"":""2025-10-24""}}"
01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	Sheet1	1	11	393	394	24	imsi|did we charge for this imsi?|ICCID|prod|cycle start|cycle end|price|final price|was this line replaced|if replaced whats new imsi|replacement product|Did we charge for this imsi?|date line went down|date replacement was activated|Days without Service?|Correct Price|New Purchase Due to Max Optimization Request|Credit Owed	imsi|did we charge for this imsi?|ICCID|prod|cycle start|cycle end|price|final price|replacement product|Did we charge for this imsi?|date line went down|date replacement was activated|Days without Service?|Correct Price|Credit Owed	393			Correct Price|Credit Owed|final price|price	"{""Correct Price"":{""count"":393,""sum"":23780.55,""min"":20.67,""max"":62.0},""Credit Owed"":{""count"":393,""sum"":585.45,""min"":0.0,""max"":41.33},""final price"":{""count"":393,""sum"":24366.0,""min"":62.0,""max"":62.0},""price"":{""count"":393,""sum"":24366.0,""min"":62.0,""max"":62.0}}"	cycle end|cycle start|date line went down|date replacement was activated	"{""cycle end"":{""count"":393,""min"":""2025-11-30"",""max"":""2025-12-26""},""cycle start"":{""count"":393,""min"":""2025-11-01"",""max"":""2025-11-27""},""date line went down"":{""count"":368,""min"":""2025-11-07"",""max"":""2025-11-18""},""date replacement was activated"":{""count"":383,""min"":""2025-10-30"",""max"":""2025-11-30""}}"
01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	Sheet2	1	0	393	402	1	4.14		0				{}		{}
