normalized_file_key	local_file_count	local_files	platform_source_file_count	platform_tables	platform_source_file	assessment
006v2simodatapurchaseinvoicedetailssep2025xlsx	1	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	1	simo_prod.mysql_cdc_sync.wa_invoice_detail	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	LOCAL_FILE_WITH_PLATFORM_SOURCE
011invoicefromwausd77379384simodatapurchaseinvoicedetailsoct2025xlsx	1	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	1	simo_prod.mysql_cdc_sync.wa_invoice_detail|simo_prod.mysql_cdc_sync.wa_invoice_prorated	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	LOCAL_FILE_WITH_PLATFORM_SOURCE
012creditfromwausd58545wingresponsenewquery20251210549pm20251216xlsx	1	01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	1	simo_prod.mysql_cdc_sync.wa_invoice_credit	01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	LOCAL_FILE_WITH_PLATFORM_SOURCE
01invoicefromwausd77276500simodatapurchaseinvoicedetailsoct2025xlsx	1	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	1	simo_prod.mysql_cdc_sync.wa_invoice_detail|simo_prod.mysql_cdc_sync.wa_invoice_prorated	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	LOCAL_FILE_WITH_PLATFORM_SOURCE
01simodatapurchaseinvoicedetailsapr2026xlsx	1	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	1	simo_prod.mysql_cdc_sync.wa_invoice_detail|simo_prod.mysql_cdc_sync.wa_invoice_prorated	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	LOCAL_FILE_WITH_PLATFORM_SOURCE
01simodatapurchaseinvoicedetailsfeb2026xlsx	1	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	1	simo_prod.mysql_cdc_sync.wa_invoice_detail|simo_prod.mysql_cdc_sync.wa_invoice_prorated	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	LOCAL_FILE_WITH_PLATFORM_SOURCE
01simodatapurchaseinvoicedetailsjan2025xlsx	1	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	1	simo_prod.mysql_cdc_sync.wa_invoice_detail|simo_prod.mysql_cdc_sync.wa_invoice_prorated	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	LOCAL_FILE_WITH_PLATFORM_SOURCE
01simodatapurchaseinvoicedetailsjuly2026xlsx	1	01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	1	simo_prod.mysql_cdc_sync.wa_invoice_detail|simo_prod.mysql_cdc_sync.wa_invoice_prorated	01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	LOCAL_FILE_WITH_PLATFORM_SOURCE
01simodatapurchaseinvoicedetailsjune2026xlsx	1	01-SIMO Data Purchase Invoice Details - JUNE 2026.xlsx	1	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - JUNE 2026.xlsx	LOCAL_FILE_WITH_PLATFORM_SOURCE
01simodatapurchaseinvoicedetailsmar2026xlsx	1	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	1	simo_prod.mysql_cdc_sync.wa_invoice_detail|simo_prod.mysql_cdc_sync.wa_invoice_prorated	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	LOCAL_FILE_WITH_PLATFORM_SOURCE
01simodatapurchaseinvoicedetailsmay2026xlsx	1	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	1	simo_prod.mysql_cdc_sync.wa_invoice_detail|simo_prod.mysql_cdc_sync.wa_invoice_prorated	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	LOCAL_FILE_WITH_PLATFORM_SOURCE
simodatapurchaseinvoicedetailsaugust2026xlsx	1	SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	1	simo_prod.mysql_cdc_sync.wa_invoice_detail|simo_prod.mysql_cdc_sync.wa_invoice_prorated	SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	LOCAL_FILE_WITH_PLATFORM_SOURCE
simodatapurchaseinvoicedetailsdec2025xlsx	1	SIMO Data Purchase Invoice Details - DEC 2025.xlsx	1	simo_prod.mysql_cdc_sync.wa_invoice_detail	SIMO Data Purchase Invoice Details - DEC 2025.xlsx	LOCAL_FILE_WITH_PLATFORM_SOURCE
