table_catalog	table_schema	table_name	ordinal_position	column_name	full_data_type	data_type	is_nullable
simo_prod	mysql_cdc_sync	wa_invoice_credit	0	imsi	string	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_credit	1	did_we_charge_for_this_imsi	string	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_credit	2	iccid	string	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_credit	3	prod	string	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_credit	4	cycle_start	string	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_credit	5	cycle_end	string	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_credit	6	price	string	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_credit	7	final_price	string	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_credit	8	was_this_line_replaced	string	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_credit	9	if_replaced_whats_new_imsi	string	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_credit	10	replacement_product	string	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_credit	11	did_we_charge_for_this_imsi_1	string	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_credit	12	date_line_went_down	string	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_credit	13	date_replacement_was_activated	string	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_credit	14	days_without_service	string	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_credit	15	correct_price	string	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_credit	16	new_purchase_due_to_max_optimization_request	string	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_credit	17	credit_owed	string	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_credit	18	source_file	string	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_detail	0	imsi	string	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_detail	1	iccid	string	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_detail	2	product_name	string	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_detail	3	cycle_start_date	string	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_detail	4	cycle_end_date	string	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_detail	5	cycle_usage_gb	string	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_detail	6	data_allowance_gb	string	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_detail	7	pct_used	string	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_detail	8	new_activation_date	string	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_detail	9	offstock_date	string	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_detail	10	charge_type	string	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_detail	11	status	string	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_detail	12	new_card_imsi_replacement	string	STRING	YES
