fact_role	table_name	billing_month	source_file_count	source_files	record_count	imsi_count	total_amount	amount_field	auxiliary_amount	auxiliary_amount_field	charge_type_count	product_count	target_status
CREDIT_SEPARATE_AUXILIARY	wa_invoice_credit	01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	1	01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	393	393	585.45	credit_owed	24366.0	final_price			Separate credit fact; negative sign preserved; not part of official detail target.
DETAIL_ONLY_CANDIDATE	wa_invoice_detail	2025-01	1	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	13661	13253	703606.290323	final_charge	778622.0	monthly_rate	5	87	Only detail is a candidate official Excel billing target; no credit/prorated union.
PRORATED_SEPARATE_AUXILIARY	wa_invoice_prorated	2025-01	1	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	1	1	34.0	final_charge_for_usage_days	6.0	pending_charge			Separate prorated fact; overlap exists; not part of official detail target.
BATCH_A_EXPECTED_MONTH	official_detail_presence_check	2025-09	1	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	25237	14793	1139393.524729	final_charge	1544554.0	monthly_rate	4	63	DETAIL_SOURCE_PRESENT
DETAIL_ONLY_CANDIDATE	wa_invoice_detail	2025-09	1	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	25237	14793	1139393.524729	final_charge	1544554.0	monthly_rate	4	63	Only detail is a candidate official Excel billing target; no credit/prorated union.
BATCH_A_EXPECTED_MONTH	official_detail_presence_check	2025-10 (v1)	1	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	12714	12712	772285.533333	final_charge	778198.0	monthly_rate	4	66	DETAIL_SOURCE_PRESENT
DETAIL_ONLY_CANDIDATE	wa_invoice_detail	2025-10 (v1)	1	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	12714	12712	772285.533333	final_charge	778198.0	monthly_rate	4	66	Only detail is a candidate official Excel billing target; no credit/prorated union.
PRORATED_SEPARATE_AUXILIARY	wa_invoice_prorated	2025-10 (v1)	1	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	36	36	1521.066667	final_charge_for_usage_days	479.466668	pending_charge			Separate prorated fact; overlap exists; not part of official detail target.
BATCH_A_EXPECTED_MONTH	official_detail_presence_check	2025-10 (v2)	1	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	12663	12641	773737.83871	final_charge	774276.0	monthly_rate	2	61	DETAIL_SOURCE_PRESENT
DETAIL_ONLY_CANDIDATE	wa_invoice_detail	2025-10 (v2)	1	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	12663	12641	773737.83871	final_charge	774276.0	monthly_rate	2	61	Only detail is a candidate official Excel billing target; no credit/prorated union.
PRORATED_SEPARATE_AUXILIARY	wa_invoice_prorated	2025-10 (v2)	1	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	5	5	294.0	final_charge_for_usage_days	56.0	pending_charge			Separate prorated fact; overlap exists; not part of official detail target.
BATCH_A_EXPECTED_MONTH	official_detail_presence_check	2025-11	0		0	0	0.0	final_charge	0.0	monthly_rate	0	0	NO_DETAIL_SOURCE_MATCH
DETAIL_ONLY_CANDIDATE	wa_invoice_detail	2025-12	1	SIMO Data Purchase Invoice Details - DEC 2025.xlsx	12185	12110	704839.353763	final_charge	723265.0	monthly_rate	2	74	Only detail is a candidate official Excel billing target; no credit/prorated union.
DETAIL_ONLY_CANDIDATE	wa_invoice_detail	2026-02	1	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	12572	12309	690572.723502	final_charge	712418.0	monthly_rate	4	82	Only detail is a candidate official Excel billing target; no credit/prorated union.
PRORATED_SEPARATE_AUXILIARY	wa_invoice_prorated	2026-02	1	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	359	359	14688.096774	final_charge_for_usage_days	3342.483871	pending_charge			Separate prorated fact; overlap exists; not part of official detail target.
DETAIL_ONLY_CANDIDATE	wa_invoice_detail	2026-03	1	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	13082	12763	578406.306452	final_charge	724024.0	monthly_rate	8	85	Only detail is a candidate official Excel billing target; no credit/prorated union.
PRORATED_SEPARATE_AUXILIARY	wa_invoice_prorated	2026-03	1	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	127	127	3686.928571	final_charge_for_usage_days	1065.168571	pending_charge			Separate prorated fact; overlap exists; not part of official detail target.
DETAIL_ONLY_CANDIDATE	wa_invoice_detail	2026-04	1	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	7780	7317	372289.307527	final_charge	398011.0	monthly_rate	3	52	Only detail is a candidate official Excel billing target; no credit/prorated union.
PRORATED_SEPARATE_AUXILIARY	wa_invoice_prorated	2026-04	1	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	284	284	9827.387097	final_charge_for_usage_days	2191.067097	pending_charge			Separate prorated fact; overlap exists; not part of official detail target.
DETAIL_ONLY_CANDIDATE	wa_invoice_detail	2026-05	1	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	7887	7494	389800.952688	final_charge	407115.0	monthly_rate	6	49	Only detail is a candidate official Excel billing target; no credit/prorated union.
PRORATED_SEPARATE_AUXILIARY	wa_invoice_prorated	2026-05	1	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	9	9	298.766667	final_charge_for_usage_days	41.526667	pending_charge			Separate prorated fact; overlap exists; not part of official detail target.
DETAIL_ONLY_CANDIDATE	wa_invoice_detail	2026-06	1	01-SIMO Data Purchase Invoice Details - JUNE 2026.xlsx	7598	7469	382329.72043	final_charge	388076.0	monthly_rate	3	41	Only detail is a candidate official Excel billing target; no credit/prorated union.
DETAIL_ONLY_CANDIDATE	wa_invoice_detail	2026-07	1	01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	7537	7472	373918.313978	final_charge	375953.0	monthly_rate	3	39	Only detail is a candidate official Excel billing target; no credit/prorated union.
PRORATED_SEPARATE_AUXILIARY	wa_invoice_prorated	2026-07	1	01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	4	4	141.9	final_charge_for_usage_days	10.02	pending_charge			Separate prorated fact; overlap exists; not part of official detail target.
DETAIL_ONLY_CANDIDATE	wa_invoice_detail	2026-08	1	SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	7536	7508	364846.612903	final_charge	375967.0	monthly_rate	4	40	Only detail is a candidate official Excel billing target; no credit/prorated union.
