table_catalog	table_schema	table_name	ordinal_position	column_name	data_type	is_nullable	comment	column_count
simo_prod	ods	resource_res_carrier	0	ID	LONG	YES	运营商id 	32
simo_prod	ods	resource_res_carrier	1	CARRIER_NAME	STRING	YES	供应商/运营商名	32
simo_prod	ods	resource_res_carrier	2	PHONE	STRING	YES	电话号码	32
simo_prod	ods	resource_res_carrier	3	CARRIER_TYPE	INT	YES	类型:0运营商,1供应商,2两者皆是	32
simo_prod	ods	resource_res_carrier	4	MNO_TYPE	INT	YES	0:虚商 1：实体运营商	32
simo_prod	ods	resource_res_carrier	5	ACTUAL_MNO_ID	LONG	YES	虚商对应的实际运营商	32
simo_prod	ods	resource_res_carrier	6	MNO_NAME_LANG_PKG	STRING	YES	实体运营商语言包：json格式	32
simo_prod	ods	resource_res_carrier	7	DESCRIPTION	STRING	YES	描述	32
simo_prod	ods	resource_res_carrier	8	COUNTRY_CODE	STRING	YES	国家码	32
simo_prod	ods	resource_res_carrier	9	mcc	INT	YES	覆盖的MCC	32
simo_prod	ods	resource_res_carrier	10	WEB_SITE	STRING	YES	供应商/运营商网站	32
simo_prod	ods	resource_res_carrier	11	group_id	LONG	YES	集团id	32
simo_prod	ods	resource_res_carrier	12	simple_carrier_name	STRING	YES	简称	32
simo_prod	ods	resource_res_carrier	13	account_address	STRING	YES	账户地址	32
simo_prod	ods	resource_res_carrier	14	account_bank_address	STRING	YES	开户行地址	32
simo_prod	ods	resource_res_carrier	15	account_bank_name	STRING	YES	开户行	32
simo_prod	ods	resource_res_carrier	16	account_name	STRING	YES	账户名	32
simo_prod	ods	resource_res_carrier	17	account_no	STRING	YES	账号	32
simo_prod	ods	resource_res_carrier	18	address	STRING	YES	地址	32
simo_prod	ods	resource_res_carrier	19	contact	STRING	YES	联系人	32
simo_prod	ods	resource_res_carrier	20	email	STRING	YES	邮箱	32
simo_prod	ods	resource_res_carrier	21	owner	STRING	YES	负责人	32
simo_prod	ods	resource_res_carrier	22	swift_code	STRING	YES	银行国际代码	32
simo_prod	ods	resource_res_carrier	23	region_id	LONG	YES	覆盖范围	32
