result_type	invoice_batch_label	source_file	charge_type	excel_price	record_count	imsi_count	excel_total_final_charge	min_final_start_date	max_final_end_date	min_cycle_start_date	max_cycle_end_date	distinct_excel_days
CHARGE_TYPE_PRICE	2025-09	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	Full Rate	43.000000000000	530	530	22790.000000000000	2025-09-12	2025-10-18	2025-09-12	2025-10-18	1
CHARGE_TYPE_PRICE	2025-09	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	Full Rate	62.000000000000	12072	12072	748464.000000000000	2025-09-01	2025-10-29	2025-09-01	2025-10-29	1
CHARGE_TYPE_PRICE	2025-09	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	Partial Charge (Activated AUG)	43.000000000000	530	530	8572.258055000000	2025-09-01	2025-09-18	2025-08-12	2025-09-18	2
CHARGE_TYPE_PRICE	2025-09	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	Partial Charge (Activated AUG)	62.000000000000	10954	10954	330760.000000000000	2025-09-01	2025-09-29	2025-08-02	2025-09-29	29
CHARGE_TYPE_PRICE	2025-09	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	Prorated-in Charge (Activated SEPT)	62.000000000000	1085	1085	27478.400006300000	2025-09-03	2025-10-03	2025-08-10	2025-10-03	29
CHARGE_TYPE_PRICE	2025-09	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	Prorated-out Charge (Activated SEPT)	62.000000000000	66	66	1328.866667800000	2025-09-02	2025-09-30	2025-09-02	2025-10-25	3
CHARGE_TYPE_PRICE	2025-10 (v1)	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Credit for Offstocked Card	62.000000000000	37	37	-465.000000000000			2025-10-07	2025-11-29	11
CHARGE_TYPE_PRICE	2025-10 (v1)	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Full Cycle Charge	43.000000000000	530	530	22790.000000000000	2025-10-12	2025-11-18	2025-10-12	2025-11-18	1
CHARGE_TYPE_PRICE	2025-10 (v1)	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Full Cycle Charge	62.000000000000	12043	12043	746666.000000000000	2025-10-01	2025-11-29	2025-10-01	2025-11-29	1
CHARGE_TYPE_PRICE	2025-10 (v1)	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	New Activation: Prorated-in Charge	62.000000000000	72	72	2364.533333333334	2025-10-06	2025-11-15	2025-09-10	2025-11-15	6
CHARGE_TYPE_PRICE	2025-10 (v1)	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Prorated-out Charge (Activated OCT)	62.000000000000	32	32	930.000000000000	2025-10-01	2025-10-31	2025-10-01	2025-11-26	8
CHARGE_TYPE_PRICE	2025-10 (v2)	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Full Cycle Charge	43.000000000000	550	550	23650.000000000000	2025-11-12	2025-12-18	2025-11-12	2025-12-18	1
CHARGE_TYPE_PRICE	2025-10 (v2)	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Full Cycle Charge	62.000000000000	12091	12091	749642.000000000000	2025-11-01	2025-12-29	2025-11-01	2025-12-29	1
CHARGE_TYPE_PRICE	2025-10 (v2)	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	New Activation: Prorated-in Charge	43.000000000000	20	20	425.838709677419	2025-11-05	2025-11-11	2025-10-12	2025-11-11	11
CHARGE_TYPE_PRICE	2025-10 (v2)	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	New Activation: Prorated-in Charge	62.000000000000	2	2	20.000000000000	2025-11-05	2025-11-09	2025-10-10	2025-11-09	1
MONTH_TOTAL	2025-09				25237	14793	1139393.524729100000	2025-09-01	2025-10-29	2025-08-02	2025-10-29	30
MONTH_TOTAL	2025-10 (v1)				12714	12712	772285.533333333334	2025-10-01	2025-11-29	2025-09-10	2025-11-29	24
MONTH_TOTAL	2025-10 (v2)				12663	12641	773737.838709677419	2025-11-01	2025-12-29	2025-10-10	2025-12-29	12
