partition_year	partition_month	product_id	row_count	imsi_count	min_cycle_start_ts	max_cycle_end_ts	sim_status_count	dispatch_status_count
2025	10	600111002	212902	287	09/04/2025 05:00:00	11/04/2025 04:59:59	3	3
2025	10	600111005	743	1	09/22/2025 05:00:00	11/22/2025 04:59:59	2	3
2025	10	600111069	743	1	09/24/2025 00:00:00	11/24/2025 04:59:59	2	3
2025	10	600111072	1053	2	09/18/2025 05:00:00	11/18/2025 04:59:59	1	2
2025	10	600111074	743	1	09/19/2025 05:00:00	11/19/2025 04:59:59	1	1
2025	10	600111075	743	1	09/04/2025 05:00:00	11/04/2025 04:59:59	2	3
2025	10	600111077	743	1	09/01/2025 05:00:00	11/01/2025 04:59:59	1	2
2025	10	600111078	743	1	09/01/2025 05:00:00	11/01/2025 04:59:59	1	2
2025	10	600111080	743	1	09/24/2025 00:00:00	11/24/2025 04:59:59	2	3
2025	10	600111082	735	3	09/18/2025 05:00:00	11/04/2025 04:59:59	2	3
2025	10	600111083	743	1	09/19/2025 05:00:00	11/19/2025 04:59:59	1	1
2025	10	600111084	743	1	09/01/2025 05:00:00	11/01/2025 04:59:59	1	2
2025	10	600111085	743	1	09/04/2025 05:00:00	11/04/2025 04:59:59	2	3
2025	10	600111086	743	1	09/01/2025 05:00:00	11/01/2025 04:59:59	1	2
2025	10	600111087	204325	275	09/04/2025 00:00:00	11/04/2025 04:59:59	3	3
2025	10	600111093	26871	39	09/13/2025 05:00:00	11/17/2025 04:59:59	4	4
2025	10	600111094	525	1			1	1
2025	10	60011373	630	21	10/01/2025 05:00:00	11/01/2025 04:59:59	2	3
2025	10	60011376	37150	50	09/19/2025 05:00:00	11/19/2025 04:59:59	3	3
2025	10	60011378	82408	269	09/23/2025 05:00:00	11/24/2025 04:59:59	3	3
2025	10	60011429	743	1	09/24/2025 05:00:00	11/24/2025 04:59:59	2	3
2025	10	60011436	148600	200	09/10/2025 05:00:00	11/10/2025 04:59:59	4	3
2025	10	60011437	31206	42	09/04/2025 05:00:00	11/30/2025 04:59:59	3	3
2025	10	60011444	16525	59	09/01/2025 05:00:00	11/16/2025 04:59:59	3	3
2025	10	60011449	302401	407	09/02/2025 05:00:00	11/30/2025 04:59:59	3	3
2025	10	60011494	46066	62	09/01/2025 05:00:00	11/11/2025 04:59:59	2	3
2025	10	60011500	41608	56	09/01/2025 05:00:00	11/29/2025 04:59:59	2	3
2025	10	60011515	555764	748	09/01/2025 05:00:00	11/27/2025 04:59:59	4	4
2025	10	60011516	60926	82	09/01/2025 05:00:00	11/09/2025 04:59:59	2	3
2025	10	60011521	74300	100	09/21/2025 05:00:00	11/21/2025 04:59:59	2	3
2025	10	60011543	198	3	09/24/2025 05:00:00	10/24/2025 04:59:59	1	1
2025	10	60011612	237017	319	09/25/2025 05:00:00	11/25/2025 04:59:59	3	3
2025	10	60011672	1599483	2273	09/23/2025 00:00:00	11/24/2025 04:59:59	3	4
2025	10	60011687	147809	255	09/25/2025 05:00:00	11/25/2025 04:59:59	5	3
2025	10	60011690	33435	45	09/10/2025 05:00:00	11/10/2025 04:59:59	4	3
2025	10	60011691	1056	16	09/07/2025 05:00:00	10/12/2025 04:59:59	2	2
2025	10	60011777	29720	40	09/14/2025 05:00:00	11/14/2025 04:59:59	3	3
2025	10	60011783	211012	284	09/02/2025 05:00:00	11/27/2025 04:59:59	4	3
2025	10	60011785	281597	379	09/05/2025 05:00:00	11/05/2025 04:59:59	4	3
2025	10	60011815	291999	393	09/19/2025 05:00:00	11/19/2025 04:59:59	3	3
2025	10	60011817	50524	68	09/01/2025 05:00:00	11/01/2025 04:59:59	3	3
2025	10	60011828	459917	619	09/22/2025 05:00:00	11/22/2025 04:59:59	6	3
2025	10	60011838	187804	253	09/01/2025 05:00:00	11/29/2025 04:59:59	4	4
2025	10	60011839	168661	227	09/01/2025 05:00:00	11/29/2025 04:59:59	3	3
2025	10	60011843	490380	660	09/09/2025 05:00:00	11/26/2025 04:59:59	4	3
2025	10	60011858	202839	273	09/04/2025 05:00:00	11/29/2025 04:59:59	3	3
2025	10	60011859	19845	27	09/05/2025 05:00:00	11/27/2025 04:59:59	4	3
2025	10	60011860	105363	142	09/10/2025 05:00:00	11/10/2025 04:59:59	3	3
2025	10	60011875	74300	100	09/14/2025 05:00:00	11/14/2025 04:59:59	4	3
2025	10	60011878	178320	240	09/12/2025 05:00:00	11/12/2025 04:59:59	3	3
2025	10	60011882	446543	601	09/01/2025 05:00:00	11/01/2025 04:59:59	3	3
2025	10	60011883	245190	330	09/12/2025 05:00:00	11/12/2025 04:59:59	2	4
2025	10	60011884	329892	444	09/06/2025 05:00:00	11/06/2025 04:59:59	3	3
2025	10	60011886	29720	40	09/30/2025 05:00:00	11/30/2025 04:59:59	3	4
2025	10	60011887	297200	400	09/01/2025 05:00:00	11/01/2025 04:59:59	4	3
2025	10	60011888	99562	134	09/01/2025 05:00:00	11/01/2025 04:59:59	2	3
2025	10	60011889	398991	537	09/01/2025 05:00:00	11/01/2025 04:59:59	2	3
2025	10	60011890	150086	202	09/16/2025 05:00:00	11/16/2025 04:59:59	3	3
2025	10	60011891	85106	115	09/18/2025 05:00:00	11/18/2025 04:59:59	3	3
2025	10	60011892	11398	18	09/01/2025 05:00:00	11/11/2025 04:59:59	4	3
2025	10	60011893	178320	240	09/12/2025 05:00:00	11/12/2025 04:59:59	4	4
2025	10	60011921	113348	154	09/18/2025 05:00:00	11/18/2025 04:59:59	4	3
2025	10	60011922	99079	176	09/01/2025 05:00:00	11/01/2025 04:59:59	5	3
2025	10	60011981	220694	310	09/01/2025 05:00:00	11/26/2025 04:59:59	5	3
2025	10	60011986	84702	114	09/05/2025 05:00:00	11/05/2025 04:59:59	3	3
2025	10	60011989	3715	5	09/25/2025 05:00:00	11/25/2025 04:59:59	2	3
2025	10	60011992	102563	139	09/04/2025 05:00:00	11/04/2025 04:59:59	5	3
2025	10	60011993	66127	89	09/23/2025 05:00:00	11/23/2025 04:59:59	3	3
2025	11	600111002	206640	287	10/04/2025 05:00:00	12/04/2025 04:59:59	5	3
2025	11	600111005	720	1	10/22/2025 05:00:00	12/22/2025 04:59:59	2	3
2025	11	600111069	720	1	10/24/2025 05:00:00	12/24/2025 04:59:59	1	2
2025	11	600111072	720	1	10/04/2025 05:00:00	12/04/2025 04:59:59	1	2
2025	11	600111074	720	1	10/19/2025 05:00:00	12/19/2025 04:59:59	1	2
2025	11	600111075	720	1	10/04/2025 05:00:00	12/04/2025 04:59:59	1	2
2025	11	600111077	720	1	10/01/2025 05:00:00	12/01/2025 04:59:59	1	1
2025	11	600111078	720	1	10/01/2025 05:00:00	12/01/2025 04:59:59	2	3
2025	11	600111080	720	1	10/24/2025 05:00:00	12/24/2025 04:59:59	1	2
2025	11	600111082	720	1	10/04/2025 05:00:00	12/04/2025 04:59:59	1	2
2025	11	600111083	720	1	10/19/2025 05:00:00	12/19/2025 04:59:59	1	3
2025	11	600111084	720	1	10/01/2025 05:00:00	12/01/2025 04:59:59	1	2
2025	11	600111085	720	1	10/04/2025 05:00:00	12/04/2025 04:59:59	1	2
2025	11	600111086	720	1	10/01/2025 05:00:00	12/01/2025 04:59:59	1	2
2025	11	600111087	198000	275	10/04/2025 05:00:00	12/04/2025 04:59:59	3	3
2025	11	600111093	28080	39	10/13/2025 05:00:00	12/17/2025 04:59:59	5	3
2025	11	600111094	775855	2830			1	1
2025	11	600111107	92	2	10/16/2025 05:00:00	11/16/2025 04:59:59	2	4
2025	11	600111108	390	1	11/01/2025 05:00:00	12/01/2025 04:59:59	3	3
2025	11	600111109	666	3	11/04/2025 05:00:00	12/06/2025 04:59:59	2	4
2025	11	600111111	18479	71	11/01/2025 05:00:00	12/01/2025 04:59:59	3	3
2025	11	600111113	22853	101	11/01/2025 05:00:00	12/01/2025 04:59:59	4	3
2025	11	600111116	7810	69	11/06/2025 05:00:00	12/06/2025 04:59:59	3	3
2025	11	600111119	7500	100	11/21/2025 05:00:00	12/23/2025 04:59:59	2	3
2025	11	600111120	6000	80	11/18/2025 05:00:00	12/24/2025 04:59:59	2	3
2025	11	60011373	19642	40	10/01/2025 05:00:00	12/04/2025 04:59:59	3	3
2025	11	60011376	36000	50	10/19/2025 05:00:00	12/19/2025 04:59:59	3	3
2025	11	60011378	251425	530	10/23/2025 05:00:00	12/24/2025 04:59:59	5	3
2025	11	60011379	15225	25	11/01/2025 05:00:00	12/01/2025 04:59:59	3	3
