source_file	imsi	charge_type	cycle_start_date	cycle_end_date	new_activation_date	offstock_date	final_start_date	final_end_date	excel_days	excel_price	excel_amount	product_name
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	083901622016080706	Full Rate	2025-09-12	2025-10-11			2025-09-12	2025-10-11	30.000000000000	43.000000000000	43.000000000000	60011878|TMO 100GB Plan AT (3) (WA)
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	083901622016080711	Full Rate	2025-09-12	2025-10-11			2025-09-12	2025-10-11	30.000000000000	43.000000000000	43.000000000000	60011878|TMO 100GB Plan AT (3) (WA)
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	083901622016080788	Full Rate	2025-09-12	2025-10-11			2025-09-12	2025-10-11	30.000000000000	43.000000000000	43.000000000000	60011878|TMO 100GB Plan AT (3) (WA)
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	083901622016081429	Full Rate	2025-09-12	2025-10-11			2025-09-12	2025-10-11	30.000000000000	43.000000000000	43.000000000000	60011878|TMO 100GB Plan AT (3) (WA)
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	083901622016081439	Full Rate	2025-09-12	2025-10-11			2025-09-12	2025-10-11	30.000000000000	43.000000000000	43.000000000000	60011878|TMO 100GB Plan AT (3) (WA)
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	083901622016081459	Full Rate	2025-09-12	2025-10-11			2025-09-12	2025-10-11	30.000000000000	43.000000000000	43.000000000000	60011893|TMO 100GB Plan AT (3) (2) (WA)
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	083901622016081469	Full Rate	2025-09-12	2025-10-11			2025-09-12	2025-10-11	30.000000000000	43.000000000000	43.000000000000	60011893|TMO 100GB Plan AT (3) (2) (WA)
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	083901622016081704	Full Rate	2025-09-12	2025-10-11			2025-09-12	2025-10-11	30.000000000000	43.000000000000	43.000000000000	60011878|TMO 100GB Plan AT (3) (WA)
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	083901622016081711	Full Rate	2025-09-12	2025-10-11			2025-09-12	2025-10-11	30.000000000000	43.000000000000	43.000000000000	60011878|TMO 100GB Plan AT (3) (WA)
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	083901622016081715	Full Rate	2025-09-12	2025-10-11			2025-09-12	2025-10-11	30.000000000000	43.000000000000	43.000000000000	60011878|TMO 100GB Plan AT (3) (WA)
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	083901144004491727	Full Rate	2025-09-23	2025-10-22			2025-09-23	2025-10-22	30.000000000000	62.000000000000	62.000000000000	60011993|ATT 300GB Plan DI 1A (WA)
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	083901144004696834	Full Rate	2025-09-23	2025-10-22			2025-09-23	2025-10-22	30.000000000000	62.000000000000	62.000000000000	60011993|ATT 300GB Plan DI 1A (WA)
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	083901144004897746	Full Rate	2025-09-23	2025-10-22			2025-09-23	2025-10-22	30.000000000000	62.000000000000	62.000000000000	60011993|ATT 300GB Plan DI 1A (WA)
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	083901144012070041	Full Rate	2025-09-22	2025-10-21			2025-09-22	2025-10-21	30.000000000000	62.000000000000	62.000000000000	60011828|ATT 300GB Plan AX (WA)
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	083901144012070388	Full Rate	2025-09-22	2025-10-21			2025-09-22	2025-10-21	30.000000000000	62.000000000000	62.000000000000	60011828|ATT 300GB Plan AX (WA)
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	083901144012070803	Full Rate	2025-09-22	2025-10-21			2025-09-22	2025-10-21	30.000000000000	62.000000000000	62.000000000000	60011828|ATT 300GB Plan AX (WA)
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	083901144012071007	Full Rate	2025-09-22	2025-10-21			2025-09-22	2025-10-21	30.000000000000	62.000000000000	62.000000000000	60011828|ATT 300GB Plan AX (WA)
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	083901144012071025	Full Rate	2025-09-22	2025-10-21			2025-09-22	2025-10-21	30.000000000000	62.000000000000	62.000000000000	60011828|ATT 300GB Plan AX (WA)
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	083901144012071038	Full Rate	2025-09-22	2025-10-21			2025-09-22	2025-10-21	30.000000000000	62.000000000000	62.000000000000	60011828|ATT 300GB Plan AX (WA)
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	083901144012071441	Full Rate	2025-09-22	2025-10-21			2025-09-22	2025-10-21	30.000000000000	62.000000000000	62.000000000000	60011828|ATT 300GB Plan AX (WA)
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	083901622016080706	Partial Charge (Activated AUG)	2025-08-12	2025-09-11			2025-09-01	2025-09-11	11.000000000000	43.000000000000	15.258064500000	60011878|TMO 100GB Plan AT (3) (WA)
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	083901622016080711	Partial Charge (Activated AUG)	2025-08-12	2025-09-11			2025-09-01	2025-09-11	11.000000000000	43.000000000000	15.258064500000	60011878|TMO 100GB Plan AT (3) (WA)
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	083901622016080788	Partial Charge (Activated AUG)	2025-08-12	2025-09-11			2025-09-01	2025-09-11	11.000000000000	43.000000000000	15.258064500000	60011878|TMO 100GB Plan AT (3) (WA)
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	083901622016081429	Partial Charge (Activated AUG)	2025-08-12	2025-09-11			2025-09-01	2025-09-11	11.000000000000	43.000000000000	15.258064500000	60011878|TMO 100GB Plan AT (3) (WA)
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	083901622016081439	Partial Charge (Activated AUG)	2025-08-12	2025-09-11			2025-09-01	2025-09-11	11.000000000000	43.000000000000	15.258064500000	60011878|TMO 100GB Plan AT (3) (WA)
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	083901622016081459	Partial Charge (Activated AUG)	2025-08-12	2025-09-11			2025-09-01	2025-09-11	11.000000000000	43.000000000000	15.258064500000	60011893|TMO 100GB Plan AT (3) (2) (WA)
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	083901622016081469	Partial Charge (Activated AUG)	2025-08-12	2025-09-11			2025-09-01	2025-09-11	11.000000000000	43.000000000000	15.258064500000	60011893|TMO 100GB Plan AT (3) (2) (WA)
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	083901622016081704	Partial Charge (Activated AUG)	2025-08-12	2025-09-11			2025-09-01	2025-09-11	11.000000000000	43.000000000000	15.258064500000	60011878|TMO 100GB Plan AT (3) (WA)
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	083901622016081711	Partial Charge (Activated AUG)	2025-08-12	2025-09-11			2025-09-01	2025-09-11	11.000000000000	43.000000000000	15.258064500000	60011878|TMO 100GB Plan AT (3) (WA)
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	083901622016081715	Partial Charge (Activated AUG)	2025-08-12	2025-09-11			2025-09-01	2025-09-11	11.000000000000	43.000000000000	15.258064500000	60011878|TMO 100GB Plan AT (3) (WA)
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	083901143008538676	Partial Charge (Activated AUG)	2025-08-17	2025-09-16			2025-09-01	2025-09-09	7.000000000000	62.000000000000	14.000000000000	60011856|ATT 300GB Plan JM (WA)
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	083901143008920501	Partial Charge (Activated AUG)	2025-08-17	2025-09-16			2025-09-01	2025-09-09	7.000000000000	62.000000000000	14.000000000000	60011856|ATT 300GB Plan JM (WA)
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	083901143008920503	Partial Charge (Activated AUG)	2025-08-17	2025-09-16			2025-09-01	2025-09-09	7.000000000000	62.000000000000	14.000000000000	60011856|ATT 300GB Plan JM (WA)
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	083901143008920516	Partial Charge (Activated AUG)	2025-08-17	2025-09-16			2025-09-01	2025-09-09	7.000000000000	62.000000000000	14.000000000000	60011856|ATT 300GB Plan JM (WA)
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	083901143008920517	Partial Charge (Activated AUG)	2025-08-17	2025-09-16			2025-09-01	2025-09-09	7.000000000000	62.000000000000	14.000000000000	60011856|ATT 300GB Plan JM (WA)
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	083901143008920520	Partial Charge (Activated AUG)	2025-08-17	2025-09-16			2025-09-01	2025-09-09	7.000000000000	62.000000000000	14.000000000000	60011856|ATT 300GB Plan JM (WA)
