population_type	official_excel_billing_month	observed_start_month	charge_type	rule_id	source_match_status	numeric_match_status	difference_reason	row_count	imsi_count	excel_total	platform_calculated_total	amount_diff_total	days_exact_row_count	price_exact_row_count	amount_exact_row_count	days_missing_row_count	price_missing_row_count	amount_missing_row_count	unresolved_impact_excel_amount	unresolved_abs_amount_diff
DETAIL_EXCEL_ROW	2025-09	2025-09	Full Rate	R_FULL_CYCLE_PRICE	MISSING_MAPPING	MATCHED	NUMERIC_MATCH_BUT_EXCEL_PRODUCT_ID_NULL	110	110	6820.000000000000	6820.000000000000	0E-11	110	110	110	0	0	0	6820.000000000000	0E-11
DETAIL_EXCEL_ROW	2025-09	2025-09	Full Rate	R_FULL_CYCLE_PRICE	UNRESOLVED	AMBIGUOUS_PLATFORM_CANDIDATE	MULTIPLE_PLATFORM_CYCLE_CANDIDATES	12492	12492	764434.000000000000	748227.000000000000	-16207.00000000000	12345	11639	11639	0	0	0	764434.000000000000	16207.00000000000
DETAIL_EXCEL_ROW	2025-09	2025-09	Partial Charge (Activated AUG)	R_PARTIAL_LIFECYCLE_DAYS_ACTIVATION_MONTH	MISSING_MAPPING	MATCHED	NUMERIC_MATCH_BUT_EXCEL_PRODUCT_ID_NULL	10769	10769	319126.258055000000	319126.258300000000	0.00024500000	10769	10769	10769	0	0	0	319126.258055000000	0.00024500000
DETAIL_EXCEL_ROW	2025-09	2025-09	Partial Charge (Activated AUG)	R_PARTIAL_LIFECYCLE_DAYS_ACTIVATION_MONTH	MISSING_MAPPING	NUMERIC_MISMATCH	PRICE_ERROR	448	448	15182.000000000000	10529.451584000000	-4652.54841600000	448	0	0	0	0	0	15182.000000000000	4652.54841600000
DETAIL_EXCEL_ROW	2025-09	2025-09	Partial Charge (Activated AUG)	R_PARTIAL_LIFECYCLE_DAYS_ACTIVATION_MONTH	MISSING_MAPPING	NUMERIC_MISMATCH	DAY_ERROR	95	95	1330.000000000000	1710.000000000000	380.00000000000	0	95	0	0	0	0	1330.000000000000	380.00000000000
DETAIL_EXCEL_ROW	2025-09	2025-09	Partial Charge (Activated AUG)	R_PARTIAL_LIFECYCLE_DAYS_ACTIVATION_MONTH	UNRESOLVED	AMBIGUOUS_PLATFORM_CANDIDATE	MULTIPLE_PLATFORM_CYCLE_CANDIDATES	172	172	3694.000000000000	3694.000000000000	0E-11	172	172	172	0	0	0	3694.000000000000	0E-11
DETAIL_EXCEL_ROW	2025-09	2025-09	Prorated-in Charge (Activated SEPT)	R_PRORATED_LIFECYCLE_DAYS_ACTIVATION_MONTH	MISSING_MAPPING	MATCHED	NUMERIC_MATCH_BUT_EXCEL_PRODUCT_ID_NULL	591	591	11715.933347400000	11715.933474000000	0.00012660000	591	591	591	0	0	0	11715.933347400000	0.00012780000
DETAIL_EXCEL_ROW	2025-09	2025-09	Prorated-in Charge (Activated SEPT)	R_PRORATED_LIFECYCLE_DAYS_ACTIVATION_MONTH	MISSING_MAPPING	NUMERIC_MISMATCH	PRICE_ERROR	275	275	7956.666657500000	5518.333425000000	-2438.33323250000	275	0	0	0	0	0	7956.666657500000	2438.33323250000
DETAIL_EXCEL_ROW	2025-09	2025-09	Prorated-in Charge (Activated SEPT)	R_PRORATED_LIFECYCLE_DAYS_ACTIVATION_MONTH	MISSING_MAPPING	NUMERIC_MISMATCH	DAY_ERROR	169	169	5061.266666400000	3579.466706000000	-1481.79996040000	0	169	0	0	0	0	5061.266666400000	1481.79996040000
DETAIL_EXCEL_ROW	2025-09	2025-09	Prorated-in Charge (Activated SEPT)	R_PRORATED_LIFECYCLE_DAYS_ACTIVATION_MONTH	UNRESOLVED	AMBIGUOUS_PLATFORM_CANDIDATE	MULTIPLE_PLATFORM_CYCLE_CANDIDATES	50	50	2744.533335000000	2744.533350000000	0.00001500000	50	50	50	0	0	0	2744.533335000000	0.00001500000
