result_type	imsi	excel_cycle_start_date	excel_cycle_end_date	excel_final_start_date	excel_final_end_date	product_id	platform_cycle_start_date	platform_cycle_end_date	excel_imsi_count	platform_imsi_count	shared_imsi_count	excel_platform_exact_cycle_pairs	exact_cycle_shared_imsi_count	excel_platform_date_overlap_pairs	date_overlap_shared_imsi_count
SAMPLE	083901143008538676	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008920501	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008920503	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008920516	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008920517	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008920520	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008920525	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008920531	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008920536	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008920543	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008920545	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008920547	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008920549	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008920550	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008920552	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008920564	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008920567	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008920570	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008920572	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008920573	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008920580	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008920595	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008921500	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
SAMPLE	083901143008921516	2025-08-17	2025-09-16	2025-09-01	2025-09-09	60011856	2025-08-17	2025-09-17							
