result_type	source_table	source_file	invoice_batch_label	observed_start_month	charge_type	record_count	imsi_count	total_final_charge	total_monthly_rate_sum	charge_type_count	product_count	min_final_start_date	max_final_start_date	min_final_end_date	max_final_end_date	null_final_start_row_count	amount_semantics	row_sum_check_count	row_sum_check_amount	row_sum_amount_diff
OFFICIAL_MONTH	simo_prod.mysql_cdc_sync.wa_invoice_detail	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09	2025-09		25237	14793	1139393.524729100000	1544554.000000000000	4	63	2025-09-01	2025-09-30	2025-09-01	2025-10-29	0	official detail invoice truth; source_file CASE label; no prorated/credit union			
OFFICIAL_MONTH	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v1)	2025-10		12714	12712	772285.533333333334	778198.000000000000	4	66	2025-10-01	2025-10-30	2025-10-08	2025-11-29	37	official detail invoice truth; source_file CASE label; no prorated/credit union			
OFFICIAL_MONTH	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v2)	2025-11		12663	12641	773737.838709677419	774276.000000000000	2	61	2025-11-01	2025-11-30	2025-11-09	2025-12-29	0	official detail invoice truth; source_file CASE label; no prorated/credit union			
OFFICIAL_MONTH	simo_prod.mysql_cdc_sync.wa_invoice_detail		2026-01	2026-01		0	0	0E-12	0E-12	0	0					0	official detail invoice truth; source_file CASE label; no prorated/credit union			
SOURCE_FILE	simo_prod.mysql_cdc_sync.wa_invoice_detail	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09	2025-09		25237	14793	1139393.524729100000	1544554.000000000000	4	63	2025-09-01	2025-09-30	2025-09-01	2025-10-29	0	detail.final_charge invoice truth	25237	1139393.524729100000	0E-11
SOURCE_FILE	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v1)	2025-10		12714	12712	772285.533333333334	778198.000000000000	4	66	2025-10-01	2025-10-30	2025-10-08	2025-11-29	37	detail.final_charge invoice truth	12714	772285.533333333334	0E-11
SOURCE_FILE	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v2)	2025-11		12663	12641	773737.838709677419	774276.000000000000	2	61	2025-11-01	2025-11-30	2025-11-09	2025-12-29	0	detail.final_charge invoice truth	12663	773737.838709677419	0E-11
SOURCE_FILE_CHARGE_TYPE	simo_prod.mysql_cdc_sync.wa_invoice_detail	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09		Full Rate	12602	12602	771254.000000000000									detail.final_charge invoice truth; charge_type diagnostic			
SOURCE_FILE_CHARGE_TYPE	simo_prod.mysql_cdc_sync.wa_invoice_detail	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09		Partial Charge (Activated AUG)	11484	11484	339332.258055000000									detail.final_charge invoice truth; charge_type diagnostic			
SOURCE_FILE_CHARGE_TYPE	simo_prod.mysql_cdc_sync.wa_invoice_detail	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09		Prorated-in Charge (Activated SEPT)	1085	1085	27478.400006300000									detail.final_charge invoice truth; charge_type diagnostic			
SOURCE_FILE_CHARGE_TYPE	simo_prod.mysql_cdc_sync.wa_invoice_detail	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09		Prorated-out Charge (Activated SEPT)	66	66	1328.866667800000									detail.final_charge invoice truth; charge_type diagnostic			
SOURCE_FILE_CHARGE_TYPE	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v1)		Credit for Offstocked Card	37	37	-465.000000000000									detail.final_charge invoice truth; charge_type diagnostic			
SOURCE_FILE_CHARGE_TYPE	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v1)		Full Cycle Charge	12573	12573	769456.000000000000									detail.final_charge invoice truth; charge_type diagnostic			
SOURCE_FILE_CHARGE_TYPE	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v1)		New Activation: Prorated-in Charge	72	72	2364.533333333334									detail.final_charge invoice truth; charge_type diagnostic			
SOURCE_FILE_CHARGE_TYPE	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v1)		Prorated-out Charge (Activated OCT)	32	32	930.000000000000									detail.final_charge invoice truth; charge_type diagnostic			
SOURCE_FILE_CHARGE_TYPE	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v2)		Full Cycle Charge	12641	12641	773292.000000000000									detail.final_charge invoice truth; charge_type diagnostic			
SOURCE_FILE_CHARGE_TYPE	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v2)		New Activation: Prorated-in Charge	22	22	445.838709677419									detail.final_charge invoice truth; charge_type diagnostic			
