result_type	grain	source_table	source_file	official_excel_billing_month	observed_start_month	charge_type	source_match_status	numeric_match_status	row_count	distinct_imsi_count	excel_amount	platform_calculated_amount	amount_diff	days_exact_count	price_exact_count	amount_exact_count	missing_platform_amount_row_count	unresolved_or_unproven_excel_amount	difference_reason
IMSI_STATUS	distinct_imsi_card	simo_prod.mysql_cdc_sync.wa_invoice_detail	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09			MISSING_MAPPING	MATCHED	11470	11470	337662.191402400000	337662.191774000000	0.00037160000	11470	11470	11470	0	337662.191402400000	Distinct IMSI grain; row_count is invoice rows represented by those cards
IMSI_STATUS	distinct_imsi_card	simo_prod.mysql_cdc_sync.wa_invoice_detail	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09			MISSING_MAPPING	NUMERIC_MISMATCH	987	987	29529.933323900000	21337.251715000000	-8192.68160890000	723	264	0	0	29529.933323900000	Distinct IMSI grain; row_count is invoice rows represented by those cards
IMSI_STATUS	distinct_imsi_card	simo_prod.mysql_cdc_sync.wa_invoice_detail	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09			UNRESOLVED	AMBIGUOUS_PLATFORM_CANDIDATE	12780	12639	772201.400002800000	755994.400028000000	-16206.99997480000	12633	11927	11927	0	772201.400002800000	Distinct IMSI grain; row_count is invoice rows represented by those cards
IMSI_STATUS	distinct_imsi_card	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v1)			MISSING_MAPPING	MATCHED	66	66	2276.000000000000	2276.000000000000	0E-11	66	66	66	0	2276.000000000000	Distinct IMSI grain; row_count is invoice rows represented by those cards
IMSI_STATUS	distinct_imsi_card	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v1)			MISSING_MAPPING	NUMERIC_MISMATCH	6	6	88.533333333334	74.000000000000	-14.53333333334	2	6	0	0	88.533333333334	Distinct IMSI grain; row_count is invoice rows represented by those cards
IMSI_STATUS	distinct_imsi_card	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v1)			UNRESOLVED	AMBIGUOUS_PLATFORM_CANDIDATE	12605	12605	770386.000000000000	749025.709677000000	-21360.29032300000	9879	11480	11480	0	770386.000000000000	Distinct IMSI grain; row_count is invoice rows represented by those cards
IMSI_STATUS	distinct_imsi_card	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v1)			WA_ONLY	NO_PLATFORM	37	37	-465.000000000000			0	0	0	37	-465.000000000000	Distinct IMSI grain; row_count is invoice rows represented by those cards
IMSI_STATUS	distinct_imsi_card	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v2)			MISSING_MAPPING	MATCHED	226	226	14012.000000000000	14012.000000000000	0E-11	226	226	226	0	14012.000000000000	Distinct IMSI grain; row_count is invoice rows represented by those cards
IMSI_STATUS	distinct_imsi_card	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v2)			MISSING_MAPPING	NUMERIC_MISMATCH	755	744	45734.838709677419	41003.833327000000	-4731.00538267742	221	517	497	0	45734.838709677419	Distinct IMSI grain; row_count is invoice rows represented by those cards
IMSI_STATUS	distinct_imsi_card	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v2)			UNRESOLVED	AMBIGUOUS_PLATFORM_CANDIDATE	11682	11681	713991.000000000000	690504.166667000000	-23486.83333300000	11679	10445	10445	0	713991.000000000000	Distinct IMSI grain; row_count is invoice rows represented by those cards
