excel_row_id	excel_source_file	official_excel_billing_month	observed_start_month	imsi	excel_product_id	excel_product_name	platform_product_id	platform_product_name	platform_product_mapping_status	excel_new_card_imsi_replacement	excel_old_card_imsi_replaced	excel_transferred_to_wing_simbank	excel_sheet_name	charge_type	excel_cycle_start_date	excel_cycle_end_date	excel_final_start_date	excel_final_end_date	excel_days	excel_price	excel_amount	platform_cycle_start_date	platform_cycle_end_date	platform_product_time_zone	cycle_history_time_zone	platform_calculated_price	platform_catalog_price_withusd	cycle_history_package_price	platform_price_evidence_status	product_catalog_row_count	cycle_history_row_count	status_snapshot_row_count_20251011	status_log_row_count_target_months	rule_id	proration_denominator_month	proration_denominator_days	platform_calculated_days	platform_calculated_amount	platform_calculated_amount_known	day_diff	price_diff	amount_diff	numeric_match_status	formal_match_status	source_match_status	difference_reason
ae9df54cecd5c7de8c781c146420d7ed75c78690269e49d2d1c323d54fa0bc6c#1	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09	2025-09	083901300080581202		60011785|ATT 300GB Plan DC (WA)	60011785	ATT 300GB Plan DC (PI)	PROVEN_BY_PLATFORM_IMSI				Invoice Details - SEP 2025	Full Rate	2025-09-05	2025-10-04	2025-09-05	2025-10-04	30.000000000000	62.000000000000	62.000000000000	2025-09-05	2025-10-05	GMT-5	GMT-5	62.000000000000		0E-12	ONE_PRICE	1	1	1463	7	R_FULL_CYCLE_PRICE	2025-09	30	30.000000000000	62.000000000000	62.000000000000	0E-11	0E-11	0E-11	MATCHED	MATCHED	MATCHED	NUMERIC_MATCH_BUT_EXCEL_PRODUCT_ID_NULL
472c138176e53aa87a96f3ebe25ad7513b2045c0173182ac4c22fe5f8f8bbc25#1	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09	2025-09	083901300080581208		60011785|ATT 300GB Plan DC (WA)	60011785	ATT 300GB Plan DC (PI)	PROVEN_BY_PLATFORM_IMSI				Invoice Details - SEP 2025	Full Rate	2025-09-05	2025-10-04	2025-09-05	2025-10-04	30.000000000000	62.000000000000	62.000000000000	2025-09-05	2025-10-05	GMT-5	GMT-5	62.000000000000		0E-12	ONE_PRICE	1	1	1463	4	R_FULL_CYCLE_PRICE	2025-09	30	30.000000000000	62.000000000000	62.000000000000	0E-11	0E-11	0E-11	MATCHED	MATCHED	MATCHED	NUMERIC_MATCH_BUT_EXCEL_PRODUCT_ID_NULL
bf40ed6ed0a89f17e9ac78756eaa2674357dd57209651e9b6062b2a509374152#1	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09	2025-09	083901300080581211		60011785|ATT 300GB Plan DC (WA)	60011785	ATT 300GB Plan DC (PI)	PROVEN_BY_PLATFORM_IMSI				Invoice Details - SEP 2025	Full Rate	2025-09-05	2025-10-04	2025-09-05	2025-10-04	30.000000000000	62.000000000000	62.000000000000	2025-09-05	2025-10-05	GMT-5	GMT-5	62.000000000000		0E-12	ONE_PRICE	1	1	1463	6	R_FULL_CYCLE_PRICE	2025-09	30	30.000000000000	62.000000000000	62.000000000000	0E-11	0E-11	0E-11	MATCHED	MATCHED	MATCHED	NUMERIC_MATCH_BUT_EXCEL_PRODUCT_ID_NULL
27b72d66446777494ad70ff8d9d42c1bc33b7716ad7f17e640696daa1bea7cb2#1	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09	2025-09	083901300080581215		60011785|ATT 300GB Plan DC (WA)	60011785	ATT 300GB Plan DC (PI)	PROVEN_BY_PLATFORM_IMSI				Invoice Details - SEP 2025	Full Rate	2025-09-05	2025-10-04	2025-09-05	2025-10-04	30.000000000000	62.000000000000	62.000000000000	2025-09-05	2025-10-05	GMT-5	GMT-5	62.000000000000		0E-12	ONE_PRICE	1	1	1463	8	R_FULL_CYCLE_PRICE	2025-09	30	30.000000000000	62.000000000000	62.000000000000	0E-11	0E-11	0E-11	MATCHED	MATCHED	MATCHED	NUMERIC_MATCH_BUT_EXCEL_PRODUCT_ID_NULL
7613eb50879851100b7086c9734d2f0ac1e8d8bb975aab1947e141dd7a82fdc2#1	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09	2025-09	083901300080581216		60011785|ATT 300GB Plan DC (WA)	60011785	ATT 300GB Plan DC (PI)	PROVEN_BY_PLATFORM_IMSI				Invoice Details - SEP 2025	Full Rate	2025-09-05	2025-10-04	2025-09-05	2025-10-04	30.000000000000	62.000000000000	62.000000000000	2025-09-05	2025-10-05	GMT-5	GMT-5	62.000000000000		0E-12	ONE_PRICE	1	1	1463	8	R_FULL_CYCLE_PRICE	2025-09	30	30.000000000000	62.000000000000	62.000000000000	0E-11	0E-11	0E-11	MATCHED	MATCHED	MATCHED	NUMERIC_MATCH_BUT_EXCEL_PRODUCT_ID_NULL
602c000c347f8b0bb6c4b6865a2a7deea96eec5b965be471ab574879f1ea8a9e#1	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09	2025-09	083901300080581221		60011785|ATT 300GB Plan DC (WA)	60011785	ATT 300GB Plan DC (PI)	PROVEN_BY_PLATFORM_IMSI				Invoice Details - SEP 2025	Full Rate	2025-09-05	2025-10-04	2025-09-05	2025-10-04	30.000000000000	62.000000000000	62.000000000000	2025-09-05	2025-10-05	GMT-5	GMT-5	62.000000000000		0E-12	ONE_PRICE	1	1	1463	12	R_FULL_CYCLE_PRICE	2025-09	30	30.000000000000	62.000000000000	62.000000000000	0E-11	0E-11	0E-11	MATCHED	MATCHED	MATCHED	NUMERIC_MATCH_BUT_EXCEL_PRODUCT_ID_NULL
4cc18e6944b0da8f5e96ec1c95edd44f25eec033e1ea5e828ed5a1a871379c9c#1	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09	2025-09	083901300080581226		60011785|ATT 300GB Plan DC (WA)	60011785	ATT 300GB Plan DC (PI)	PROVEN_BY_PLATFORM_IMSI				Invoice Details - SEP 2025	Full Rate	2025-09-05	2025-10-04	2025-09-05	2025-10-04	30.000000000000	62.000000000000	62.000000000000	2025-09-05	2025-10-05	GMT-5	GMT-5	62.000000000000		0E-12	ONE_PRICE	1	1	1463	5	R_FULL_CYCLE_PRICE	2025-09	30	30.000000000000	62.000000000000	62.000000000000	0E-11	0E-11	0E-11	MATCHED	MATCHED	MATCHED	NUMERIC_MATCH_BUT_EXCEL_PRODUCT_ID_NULL
871250421899120a5843b9ddc84ac6526d6880ac49186783ad20274c82d3f851#1	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09	2025-09	083901300080581229		60011785|ATT 300GB Plan DC (WA)	60011785	ATT 300GB Plan DC (PI)	PROVEN_BY_PLATFORM_IMSI				Invoice Details - SEP 2025	Full Rate	2025-09-05	2025-10-04	2025-09-05	2025-10-04	30.000000000000	62.000000000000	62.000000000000	2025-09-05	2025-10-05	GMT-5	GMT-5	62.000000000000		0E-12	ONE_PRICE	1	1	1463	3	R_FULL_CYCLE_PRICE	2025-09	30	30.000000000000	62.000000000000	62.000000000000	0E-11	0E-11	0E-11	MATCHED	MATCHED	MATCHED	NUMERIC_MATCH_BUT_EXCEL_PRODUCT_ID_NULL
08b477ad0c45ca3aead3f795de084fa4bcb58bcb717dbe96dfd72eb785a36075#1	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09	2025-09	083901300080581232		60011785|ATT 300GB Plan DC (WA)	60011785	ATT 300GB Plan DC (PI)	PROVEN_BY_PLATFORM_IMSI				Invoice Details - SEP 2025	Full Rate	2025-09-05	2025-10-04	2025-09-05	2025-10-04	30.000000000000	62.000000000000	62.000000000000	2025-09-05	2025-10-05	GMT-5	GMT-5	62.000000000000		0E-12	ONE_PRICE	1	1	1463	6	R_FULL_CYCLE_PRICE	2025-09	30	30.000000000000	62.000000000000	62.000000000000	0E-11	0E-11	0E-11	MATCHED	MATCHED	MATCHED	NUMERIC_MATCH_BUT_EXCEL_PRODUCT_ID_NULL
32aa93e49b14076a5ac7b99915f94b73c6f9ea5150565ba77e6e040cbdf3292e#1	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09	2025-09	083901300080581233		60011785|ATT 300GB Plan DC (WA)	60011785	ATT 300GB Plan DC (PI)	PROVEN_BY_PLATFORM_IMSI				Invoice Details - SEP 2025	Full Rate	2025-09-05	2025-10-04	2025-09-05	2025-10-04	30.000000000000	62.000000000000	62.000000000000	2025-09-05	2025-10-05	GMT-5	GMT-5	62.000000000000		0E-12	ONE_PRICE	1	1	1463	9	R_FULL_CYCLE_PRICE	2025-09	30	30.000000000000	62.000000000000	62.000000000000	0E-11	0E-11	0E-11	MATCHED	MATCHED	MATCHED	NUMERIC_MATCH_BUT_EXCEL_PRODUCT_ID_NULL
