result_type	grain	source_table	source_file	official_excel_billing_month	observed_start_month	charge_type	numeric_match_status	formal_match_status	formal_match_status	row_count	distinct_imsi_count	excel_amount	platform_calculated_amount_known	platform_total	amount_diff	days_exact_count	price_exact_count	amount_exact_count	numeric_match_row_count	formal_match_row_count	unknown_platform_amount_row_count	unresolved_or_unproven_excel_amount	difference_reason
IMSI_STATUS	distinct_imsi_card	simo_prod.mysql_cdc_sync.wa_invoice_detail	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09			AMBIGUOUS_PLATFORM_CANDIDATE	UNRESOLVED	UNRESOLVED	12780	12639	772201.400002800000			-16206.99997480000	12633	11927	11927				772201.400002800000	distinct IMSI grain; row_count is represented invoice rows
IMSI_STATUS	distinct_imsi_card	simo_prod.mysql_cdc_sync.wa_invoice_detail	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09			MATCHED	MATCHED	MATCHED	11470	11470	337662.191402400000	337662.191774000000		0.00037160000	11470	11470	11470				0E-12	distinct IMSI grain; row_count is represented invoice rows
IMSI_STATUS	distinct_imsi_card	simo_prod.mysql_cdc_sync.wa_invoice_detail	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09			NUMERIC_MISMATCH	UNRESOLVED	UNRESOLVED	987	987	29529.933323900000	21337.251715000000		-8192.68160890000	723	264	0				29529.933323900000	distinct IMSI grain; row_count is represented invoice rows
IMSI_STATUS	distinct_imsi_card	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v1)			AMBIGUOUS_PLATFORM_CANDIDATE	UNRESOLVED	UNRESOLVED	12605	12605	770386.000000000000			-21360.29032300000	9879	11480	11480				770386.000000000000	distinct IMSI grain; row_count is represented invoice rows
IMSI_STATUS	distinct_imsi_card	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v1)			MATCHED	MATCHED	MATCHED	66	66	2276.000000000000	2276.000000000000		0E-11	66	66	66				0E-12	distinct IMSI grain; row_count is represented invoice rows
IMSI_STATUS	distinct_imsi_card	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v1)			NO_PLATFORM	WA_ONLY	WA_ONLY	37	37	-465.000000000000				0	0	0				-465.000000000000	distinct IMSI grain; row_count is represented invoice rows
IMSI_STATUS	distinct_imsi_card	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v1)			NUMERIC_MISMATCH	UNRESOLVED	UNRESOLVED	6	6	88.533333333334	74.000000000000		-14.53333333334	2	6	0				88.533333333334	distinct IMSI grain; row_count is represented invoice rows
IMSI_STATUS	distinct_imsi_card	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v2)			AMBIGUOUS_PLATFORM_CANDIDATE	UNRESOLVED	UNRESOLVED	11682	11681	713991.000000000000			-23486.83333300000	11679	10445	10445				713991.000000000000	distinct IMSI grain; row_count is represented invoice rows
IMSI_STATUS	distinct_imsi_card	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v2)			MATCHED	MATCHED	MATCHED	226	226	14012.000000000000	14012.000000000000		0E-11	226	226	226				0E-12	distinct IMSI grain; row_count is represented invoice rows
IMSI_STATUS	distinct_imsi_card	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v2)			NUMERIC_MISMATCH	UNRESOLVED	UNRESOLVED	755	744	45734.838709677419	41003.833327000000		-4731.00538267742	221	517	497				45734.838709677419	distinct IMSI grain; row_count is represented invoice rows
