imsi	charge_type	cycle_start_date	cycle_end_date	final_start_date	final_end_date	final_days	monthly_rate	final_charge	signed_formula_residual	complement_formula_residual
083901144064216618	Prorated-Out Credit (Offstocked for Replacement)	2025-12-26 00:00:00	2026-01-25 00:00:00	2026-01-01 00:00:00	2026-01-25 00:00:00	25.0	62.0	-50.0	0.0	-38.0
083901144064413285	Prorated-Out Credit (Offstocked for Replacement)	2025-12-26 00:00:00	2026-01-25 00:00:00	2026-01-01 00:00:00	2026-01-25 00:00:00	25.0	62.0	-50.0	0.0	-38.0
083901144064116782	Prorated-Out Credit (Offstocked for Replacement)	2025-12-26 00:00:00	2026-01-25 00:00:00	2026-01-01 00:00:00	2026-01-25 00:00:00	25.0	62.0	-50.0	0.0	-38.0
083901144064310831	Prorated-Out Credit (Offstocked for Replacement)	2025-12-26 00:00:00	2026-01-25 00:00:00	2026-01-01 00:00:00	2026-01-25 00:00:00	25.0	62.0	-50.0	0.0	-38.0
083901144064312400	Prorated-Out Credit (Offstocked for Replacement)	2025-12-26 00:00:00	2026-01-25 00:00:00	2026-01-01 00:00:00	2026-01-25 00:00:00	25.0	62.0	-50.0	0.0	-38.0
083901144064417914	Prorated-Out Credit (Offstocked for Replacement)	2025-12-26 00:00:00	2026-01-25 00:00:00	2026-01-01 00:00:00	2026-01-25 00:00:00	25.0	62.0	-50.0	0.0	-38.0
083901144064412227	Prorated-Out Credit (Offstocked for Replacement)	2025-12-26 00:00:00	2026-01-25 00:00:00	2026-01-01 00:00:00	2026-01-25 00:00:00	25.0	62.0	-50.0	0.0	-38.0
083901144064110783	Prorated-Out Credit (Offstocked for Replacement)	2025-12-26 00:00:00	2026-01-25 00:00:00	2026-01-01 00:00:00	2026-01-25 00:00:00	25.0	62.0	-50.0	0.0	-38.0
083901144064513000	Prorated-Out Credit (Offstocked for Replacement)	2025-12-26 00:00:00	2026-01-25 00:00:00	2026-01-01 00:00:00	2026-01-25 00:00:00	25.0	62.0	-50.0	0.0	-38.0
083901144064418800	Prorated-Out Credit (Offstocked for Replacement)	2025-12-26 00:00:00	2026-01-25 00:00:00	2026-01-01 00:00:00	2026-01-25 00:00:00	25.0	62.0	-50.0	0.0	-38.0
