record_type	local_excel_file	local_relative_path	extension	sheet_name	sheet_role	sheet_names	row_count	distinct_imsi	local_excel_amount	local_aux_amount	local_price_sum	observed_start_month	observed_cycle_start_month	observed_cycle_end_month	key_columns	all_columns	local_embedded_filename_amount	local_parent_folder_amount	note
FILE_SHEET	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD1,139,393.53\006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	.xlsx	Invoice Summary	summary_or_auxiliary	Invoice Summary || Invoice Details - SEP 2025													1139393.530000000028	no source header detected
FILE_SHEET	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD1,139,393.53\006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	.xlsx	Invoice Details - SEP 2025	detail	Invoice Summary || Invoice Details - SEP 2025	25237	14793	1139393.524729114026	0	1544554	2025-09			imsi=imsi;amount=final charge;price=price;start=final start date;end=final end date	imsi;iccid;cycle_time;cycle_end_time;final cycle usage (gb);plan name;data allowance;price;final start date;final end date;# of active days;usage days;usage days > active days;final # of days;final charge;comment for summary		1139393.530000000028	read-only local workbook metrics
FILE_SHEET	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD772,765.00\01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	.xlsx	Charges Summary	summary_or_auxiliary	Charges Summary || Detail Charges || Prorated-In SEP - Pending Charg												772765	772765	no source header detected
FILE_SHEET	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD772,765.00\01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	.xlsx	Detail Charges	detail	Charges Summary || Detail Charges || Prorated-In SEP - Pending Charg	12714	12712	772285.533333333442	0	778198	2025-10			imsi=imsi;amount=final charge;price=monthly rate;start=charge start date;end=charge end date	imsi;product name;cycle start date;cycle end date;cycle usage (gb);data allowance (gb);new activation date;offstocked date;charge type;charge start date;charge end date;# of active days;# of usage days;final # of days for proration;monthly rate;final charge	772765	772765	read-only local workbook metrics
FILE_SHEET	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD772,765.00\01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	.xlsx	Prorated-In SEP - Pending Charg	prorated	Charges Summary || Detail Charges || Prorated-In SEP - Pending Charg	36	36	1521.066666666667	479.466667866667	2232	2025-09			imsi=imsi;amount=final charge for usage days;price=price;start=charge start date;end=charge end date	imsi;iccid;cycle_time;cycle_end_time;plan name;price;new activation;charge start date;charge end date;# of active days;original charge in sep invoice;cycle usage (gb);usage days;final charge for usage days;pending charge	772765	772765	read-only local workbook metrics
FILE_SHEET	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	.xlsx	Charges Summary	summary_or_auxiliary	Charges Summary || Detail Charges || Prorated-In OCT - Pending Charg												773793.839999999967	773380.390000000014	no source header detected
FILE_SHEET	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	.xlsx	Detail Charges	detail	Charges Summary || Detail Charges || Prorated-In OCT - Pending Charg	12663	12641	773737.838709677337	0	774276	2025-11			imsi=imsi;amount=final charge;price=monthly rate;start=final start date;end=final end date	imsi;product name;cycle start date;cycle end date;cycle usage (gb);data allowance (gb);% used;new activation date;offstock date;charge type;final start date;final end date;# of active days;usage days;final # of days for proration;monthly rate;final charge	773793.839999999967	773380.390000000014	read-only local workbook metrics
FILE_SHEET	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	.xlsx	Prorated-In OCT - Pending Charg	prorated	Charges Summary || Detail Charges || Prorated-In OCT - Pending Charg	5	5	294	56	310	2025-10			imsi=imsi;amount=final charge for usage days;price=monthly rate;start=final start date;end=final end date	imsi;product name;cycle start date;cycle end date;data allowance (gb);new activation date;final start date;final end date;# of active days;monthly rate;original charge in oct invoice;cycle usage (gb);usage days;final charge for usage days;pending charge	773793.839999999967	773380.390000000014	read-only local workbook metrics
FILE_SHEET	01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	.xlsx	Sheet1	credit	Sheet1 || Sheet2	393	393	585.45	0	24366		2025-11	2025-11,2025-12	imsi=imsi;amount=credit owed;price=price;start=cycle start;end=cycle end	imsi;did we charge for this imsi?;iccid;prod;cycle start;cycle end;price;final price;was this line replaced;if replaced whats new imsi;replacement product;did we charge for this imsi?;date line went down;date replacement was activated;days without service?;correct price;new purchase due to max optimization request;credit owed;;;;;;	585.45	773380.390000000014	read-only local workbook metrics
FILE_SHEET	01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	.xlsx	Sheet2	summary_or_auxiliary	Sheet1 || Sheet2												585.45	773380.390000000014	no source header detected
FILE_SHEET	SIMO Data Purchase Invoice Details - DEC 2025.xlsx	2026年1月\WingAlpha-2026年1月付；USD704,839.35\SIMO Data Purchase Invoice Details - DEC 2025.xlsx	.xlsx	Charges Summary	summary_or_auxiliary	Charges Summary || Detail Charges													704839.349999999977	no source header detected
FILE_SHEET	SIMO Data Purchase Invoice Details - DEC 2025.xlsx	2026年1月\WingAlpha-2026年1月付；USD704,839.35\SIMO Data Purchase Invoice Details - DEC 2025.xlsx	.xlsx	Detail Charges	detail	Charges Summary || Detail Charges	12185	12110	704839.353763434105	0	723265	2025-12			imsi=imsi;amount=final charge;price=monthly rate;start=final start date;end=final end date	imsi;product name;cycle start date;cycle end date;cycle usage (gb);data allowance (gb);% used;new activation date;offstock date;charge type;final start date;final end date;# of active days;usage days;final # of days for proration;monthly rate;final charge		704839.349999999977	read-only local workbook metrics
FILE_SHEET	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2026年2月\WingAlpha-2026年2月付；USD703,612.29\01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	.xlsx	Charges Summary	summary_or_auxiliary	Charges Summary || Detail Charges || Prorated-In DEC - Pending Charg													703612.290000000037	no source header detected
FILE_SHEET	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2026年2月\WingAlpha-2026年2月付；USD703,612.29\01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	.xlsx	Detail Charges	detail	Charges Summary || Detail Charges || Prorated-In DEC - Pending Charg	13661	13253	703606.290322564775	0	778622	2026-01,2026-02			imsi=imsi;amount=final charge;price=monthly rate;start=final start date;end=final end date	imsi;product name;cycle start date;cycle end date;cycle usage (gb);data allowance (gb);% used;new activation date;offstock date;charge type;final start date;final end date;# of active days;usage days;final # of days for proration;monthly rate;final charge;note		703612.290000000037	read-only local workbook metrics
FILE_SHEET	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2026年2月\WingAlpha-2026年2月付；USD703,612.29\01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	.xlsx	Prorated-In DEC - Pending Charg	prorated	Charges Summary || Detail Charges || Prorated-In DEC - Pending Charg	1	1	34	6	62	2025-12			imsi=imsi;amount=final charge for usage days;price=monthly rate;start=final start date;end=final end date	imsi;product name;cycle start date;cycle end date;data allowance (gb);new activation date;final start date;final end date;# of active days;monthly rate;original charge in dec invoice;cycle usage (gb);usage days;final charge for usage days;pending charge		703612.290000000037	read-only local workbook metrics
FILE_SHEET	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026年3月\WingAlpha-2026年3月付；USD693,915.21\01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	.xlsx	Charges Summary	summary_or_auxiliary	Charges Summary || Detail Charges || Prorated-In JAN - Pending Charg													693915.209999999963	no source header detected
FILE_SHEET	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026年3月\WingAlpha-2026年3月付；USD693,915.21\01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	.xlsx	Detail Charges	detail	Charges Summary || Detail Charges || Prorated-In JAN - Pending Charg	12572	12309	690572.723502302542	0	712418	2026-02			imsi=imsi;amount=final charge;price=monthly rate;start=final start date;end=final end date	imsi;product name;cycle start date;cycle end date;cycle usage (gb);data allowance (gb);% used;new activation date;offstock date;charge type;final start date;final end date;# of active days;usage days;final # of days for proration;monthly rate;final charge;note		693915.209999999963	read-only local workbook metrics
FILE_SHEET	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026年3月\WingAlpha-2026年3月付；USD693,915.21\01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	.xlsx	Prorated-In JAN - Pending Charg	prorated	Charges Summary || Detail Charges || Prorated-In JAN - Pending Charg	359	359	14688.096774193551	3342.483870967763	16957	2026-01			imsi=imsi;amount=final charge for usage days;price=monthly rate;start=final start date;end=final end date	imsi;product name;cycle start date;cycle end date;data allowance (gb);new activation date;final start date;final end date;# of active days;monthly rate;original charge in dec invoice;cycle usage (gb);usage days;final charge for usage days;pending charge		693915.209999999963	read-only local workbook metrics
FILE_SHEET	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026年4月\WingAlpha-2026年4月付；USD579,471.47\01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	.xlsx	Charges Summary	summary_or_auxiliary	Charges Summary || Detail Charges || Prorated-In FEB - Pending Charg													579471.469999999972	no source header detected
FILE_SHEET	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026年4月\WingAlpha-2026年4月付；USD579,471.47\01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	.xlsx	Detail Charges	detail	Charges Summary || Detail Charges || Prorated-In FEB - Pending Charg	13082	12763	578406.306451616343	0	724024	2026-02,2026-03			imsi=imsi;amount=final charge;price=monthly rate;start=final start date;end=final end date	imsi;product name;cycle start date;cycle end date;cycle usage (gb);data allowance (gb);% used;new activation date;offstock date;charge type;final start date;final end date;# of active days;usage days;final # of days for proration;monthly rate;final charge;transferred to wing simbank;note		579471.469999999972	read-only local workbook metrics
FILE_SHEET	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026年4月\WingAlpha-2026年4月付；USD579,471.47\01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	.xlsx	Prorated-In FEB - Pending Charg	prorated	Charges Summary || Detail Charges || Prorated-In FEB - Pending Charg	127	127	3686.928571428574	1065.168571428572	5651	2026-02			imsi=imsi;amount=final charge for usage days;price=monthly rate;start=final start date;end=final end date	imsi;product name;cycle start date;cycle end date;data allowance (gb);new activation date;final start date;final end date;# of active days;monthly rate;original charge in feb invoice;cycle usage (gb);usage days;final charge for usage days;pending charge		579471.469999999972	read-only local workbook metrics
FILE_SHEET	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026年5月\WingAlpha-2026年5月付；USD374,480.38\01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	.xlsx	Charges Summary	summary_or_auxiliary	Charges Summary || Detail Charges || Prorated-In MAR - Pending Charg													374480.380000000005	no source header detected
