record_type	local_excel_file	local_relative_path	sheet_name	sheet_role	platform_source_table	platform_source_file	invoice_batch_label	observed_start_month	platform_observed_start_month	observed_cycle_start_month	observed_cycle_end_month	local_row_count	platform_row_count	row_count_diff	local_distinct_imsi	platform_distinct_imsi	imsi_count_diff	local_excel_amount	platform_total_excel_amount	amount_diff_local_minus_platform	local_aux_amount	platform_total_aux_amount	local_price_sum	platform_total_price	local_embedded_filename_amount	platform_filename_amount	platform_filename_amount_diff	local_amount_minus_embedded_filename_amount	local_parent_folder_amount	local_amount_minus_parent_folder_amount	file_mapping_status	data_match_status	amount_comparison_semantics	conflict_reason	note
PLATFORM_MATCH	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD1,139,393.53\006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	Invoice Details - SEP 2025	detail	simo_prod.mysql_cdc_sync.wa_invoice_detail	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09	2025-09	2025-09			25237	25237	0	14793	14793	0	1139393.524729114026	1139393.524729114026	0	0		1544554	1544554					1139393.530000000028	-0.005270886002	NORMALIZED_FILENAME_MATCH	MATCHED	prorated auxiliary amount not comparable to invoice-level filename amount	raw_filename_normalization_difference	platform source_file matched after NFKC/space normalization
PLATFORM_MATCH	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD772,765.00\01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Detail Charges	detail	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v1)	2025-10	2025-10			12714	12714	0	12712	12712	0	772285.533333333442	772285.533333333442	0	0		778198	778198	772765	772765	-479.466666666558	-479.466666666558	772765	-479.466666666558	RAW_FILENAME_MATCH	MATCHED	detail invoice amount comparable to embedded filename amount		platform source_file matched after NFKC/space normalization
PLATFORM_MATCH	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD772,765.00\01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Prorated-In SEP - Pending Charg	prorated	simo_prod.mysql_cdc_sync.wa_invoice_prorated	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v1)	2025-09	2025-09			36	36	0	36	36	0	1521.066666666667	1521.066666666667	0	479.466667866667	479.466667866667	2232	2232	772765	772765	-771243.933333333349	-771243.933333333349	772765	-771243.933333333349	RAW_FILENAME_MATCH	MATCHED	prorated auxiliary amount not comparable to invoice-level filename amount		platform source_file matched after NFKC/space normalization
PLATFORM_MATCH	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Detail Charges	detail	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v2)	2025-11	2025-11			12663	12663	0	12641	12641	0	773737.838709677337	773737.838709677337	0	0		774276	774276	773793.839999999967	773793.839999999967	-56.001290322631	-56.001290322631	773380.390000000014	357.448709677323	RAW_FILENAME_MATCH	MATCHED	detail invoice amount comparable to embedded filename amount		platform source_file matched after NFKC/space normalization
PLATFORM_MATCH	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Prorated-In OCT - Pending Charg	prorated	simo_prod.mysql_cdc_sync.wa_invoice_prorated	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v2)	2025-10	2025-10			5	5	0	5	5	0	294	294	0	56	56	310	310	773793.839999999967	773793.839999999967	-773499.839999999967	-773499.839999999967	773380.390000000014	-773086.390000000014	RAW_FILENAME_MATCH	MATCHED	prorated auxiliary amount not comparable to invoice-level filename amount		platform source_file matched after NFKC/space normalization
PLATFORM_MATCH	01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	Sheet1	credit	simo_prod.mysql_cdc_sync.wa_invoice_credit	01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx			2025-11	2025-11,2025-12	393	393	0	393	393	0	585.45	585.45	0	0		24366	24366	585.45	585.45	-0	-0	773380.390000000014	-772794.940000000061	NORMALIZED_FILENAME_MATCH	MATCHED	credit_owed comparable to credit filename amount	raw_filename_normalization_difference	platform source_file matched after NFKC/space normalization
PLATFORM_MATCH	SIMO Data Purchase Invoice Details - DEC 2025.xlsx	2026年1月\WingAlpha-2026年1月付；USD704,839.35\SIMO Data Purchase Invoice Details - DEC 2025.xlsx	Detail Charges	detail	simo_prod.mysql_cdc_sync.wa_invoice_detail	SIMO Data Purchase Invoice Details - DEC 2025.xlsx	2025-12	2025-12	2025-12			12185	12185	0	12110	12110	0	704839.353763434105	704839.353763434105	0	0		723265	723265					704839.349999999977	0.003763434128	NORMALIZED_FILENAME_MATCH	MATCHED	prorated auxiliary amount not comparable to invoice-level filename amount	raw_filename_normalization_difference	platform source_file matched after NFKC/space normalization
PLATFORM_MATCH	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2026年2月\WingAlpha-2026年2月付；USD703,612.29\01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	Detail Charges	detail	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2025-01	2026-01,2026-02	2026-01,2026-02			13661	13661	0	13253	13253	0	703606.290322564775	703606.290322564775	0	0		778622	778622					703612.290000000037	-5.999677435262	RAW_FILENAME_MATCH	MATCHED	prorated auxiliary amount not comparable to invoice-level filename amount		platform source_file matched after NFKC/space normalization
PLATFORM_MATCH	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2026年2月\WingAlpha-2026年2月付；USD703,612.29\01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	Prorated-In DEC - Pending Charg	prorated	simo_prod.mysql_cdc_sync.wa_invoice_prorated	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2025-01	2025-12	2025-12			1	1	0	1	1	0	34	34	0	6	6	62	62					703612.290000000037	-703578.290000000037	RAW_FILENAME_MATCH	MATCHED	prorated auxiliary amount not comparable to invoice-level filename amount		platform source_file matched after NFKC/space normalization
PLATFORM_MATCH	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026年3月\WingAlpha-2026年3月付；USD693,915.21\01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	Detail Charges	detail	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026-02	2026-02	2026-02			12572	12572	0	12309	12309	0	690572.723502302542	690572.723502302542	0	0		712418	712418					693915.209999999963	-3342.48649769742	RAW_FILENAME_MATCH	MATCHED	prorated auxiliary amount not comparable to invoice-level filename amount		platform source_file matched after NFKC/space normalization
