local_excel_file	local_relative_path	sheet_name	all_sheet_names	nonempty_row_count	max_nonempty_column_count	first_nonempty_row	sheet_class
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD1,139,393.53\006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	Invoice Summary	Invoice Summary || Invoice Details - SEP 2025	18	8	CHARGES SUMMARY;;;;;;;	summary_or_auxiliary
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD1,139,393.53\006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	Invoice Details - SEP 2025	Invoice Summary || Invoice Details - SEP 2025	25238	16	imsi;iccid;cycle_time;cycle_end_time;Final Cycle Usage (GB);Plan Name;Data Allowance;Price;Final Start Date;Final End Date;# of Active Days;Usage Days;Usage Days > Active Days;Final # of Days;Final Charge;Comment for Summary	data_source_sheet
01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD772,765.00\01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Charges Summary	Charges Summary || Detail Charges || Prorated-In SEP - Pending Charg	22	8	CHARGES SUMMARY;;;;;;;	summary_or_auxiliary
01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD772,765.00\01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Detail Charges	Charges Summary || Detail Charges || Prorated-In SEP - Pending Charg	12715	16	IMSI;Product Name;Cycle Start Date;Cycle End Date;Cycle Usage (GB);Data Allowance (GB);New Activation Date;Offstocked Date;Charge Type;Charge Start Date;Charge End Date;# of Active Days;# of Usage Days;Final # of Days for Proration;Monthly Rate;Final Charge	data_source_sheet
01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年11月\WingAlpha-2025年11月付；USD772,765.00\01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Prorated-In SEP - Pending Charg	Charges Summary || Detail Charges || Prorated-In SEP - Pending Charg	37	15	imsi;iccid;cycle_time;cycle_end_time;Plan Name;Price;New Activation;Charge Start Date;Charge End Date;# of Active Days;Original Charge in SEP Invoice;Cycle Usage (GB);Usage Days;Final Charge For Usage Days;Pending Charge	data_source_sheet
01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Charges Summary	Charges Summary || Detail Charges || Prorated-In OCT - Pending Charg	16	8	CHARGES SUMMARY;;;;;;;	summary_or_auxiliary
01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Detail Charges	Charges Summary || Detail Charges || Prorated-In OCT - Pending Charg	12664	17	IMSI;Product Name;Cycle Start Date;Cycle End Date;Cycle Usage (GB);Data Allowance (GB);% Used;New Activation Date;Offstock Date;Charge Type;Final Start Date;Final End Date;# of Active Days;Usage Days;Final # of Days for Proration;Monthly Rate;Final Charge	data_source_sheet
01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Prorated-In OCT - Pending Charg	Charges Summary || Detail Charges || Prorated-In OCT - Pending Charg	6	15	IMSI;Product Name;Cycle Start Date;Cycle End Date;Data Allowance (GB);New Activation Date;Final Start Date;Final End Date;# of Active Days;Monthly Rate;Original Charge in OCT Invoice;Cycle Usage (GB);Usage Days;Final Charge For Usage Days;Pending Charge	data_source_sheet
01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	Sheet1	Sheet1 || Sheet2	394	24	imsi;did we charge for this imsi?;ICCID;prod;cycle start;cycle end;price;final price;was this line replaced;if replaced whats new imsi;replacement product;Did we charge for this imsi?;date line went down;date replacement was activated;Days without Service?;Correct Price;New Purchase Due to Max Optimization Request;Credit Owed;;;;;;	data_source_sheet
01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx	Sheet2	Sheet1 || Sheet2	394	1	4.14	summary_or_auxiliary
