imsi	source_file	charge_type	excel_new_activation_date	excel_final_start_date	excel_final_end_date	excel_days	excel_price	excel_amount	activation_event_time	pre_status	next_status	desc_log	description	event_to_excel_start_days	rn
083901141064377706	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-26	2026-02-26	2026-03-21	24.000000000000	62.000000000000	53.142857142857	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	29	1
083901141064377716	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-26	2026-02-26	2026-03-21	24.000000000000	62.000000000000	53.142857142857	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	29	1
083901141064377736	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-26	2026-02-26	2026-03-21	24.000000000000	62.000000000000	53.142857142857	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	29	1
083901141064377746	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-26	2026-02-26	2026-03-21	24.000000000000	62.000000000000	53.142857142857	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	29	1
083901141064377756	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-26	2026-02-26	2026-03-21	24.000000000000	62.000000000000	53.142857142857	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	29	1
083901141064377765	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-26	2026-02-26	2026-03-21	24.000000000000	62.000000000000	53.142857142857	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	29	1
083901141064377766	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-26	2026-02-26	2026-03-21	24.000000000000	62.000000000000	53.142857142857	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	29	1
083901141064377775	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-26	2026-02-26	2026-03-21	24.000000000000	62.000000000000	53.142857142857	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	29	1
083901141064377785	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-26	2026-02-26	2026-03-21	24.000000000000	62.000000000000	53.142857142857	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	29	1
083901141064377795	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-26	2026-02-26	2026-03-21	24.000000000000	62.000000000000	53.142857142857	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	29	1
083901141064477669	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-26	2026-02-26	2026-03-21	24.000000000000	62.000000000000	53.142857142857	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	29	1
083901141064477679	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-19	2026-02-19	2026-02-21	22.000000000000	62.000000000000	44.000000000000	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	22	1
083901141064477689	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-19	2026-02-19	2026-02-21	19.000000000000	62.000000000000	38.000000000000	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	22	1
083901141064477699	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-13	2026-02-13	2026-02-21	9.000000000000	62.000000000000	18.000000000000	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	16	1
083901141064478603	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-26	2026-02-26	2026-03-21	24.000000000000	62.000000000000	53.142857142857	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	29	1
083901141064478604	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-12	2026-02-12	2026-02-21	21.000000000000	62.000000000000	42.000000000000	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	15	1
083901141064478605	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-26	2026-02-26	2026-03-21	24.000000000000	62.000000000000	53.142857142857	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	29	1
083901141064478606	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-13	2026-02-13	2026-02-21	23.000000000000	62.000000000000	46.000000000000	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	16	1
083901141064478613	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-26	2026-02-26	2026-03-21	24.000000000000	62.000000000000	53.142857142857	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	29	1
083901141064478614	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	New Activation: Prorated-in Charge	2026-02-26	2026-02-26	2026-03-21	24.000000000000	62.000000000000	53.142857142857	01/28/2026 01:33:37	白卡	激活	人工变更-激活	SIM卡激活,派卡引擎刷新数据-成功	29	1
