excel_row_key	source_file	invoice_batch_label	official_excel_billing_month	observed_start_month	imsi	excel_iccid	excel_product_name	excel_product_id	charge_type	excel_cycle_start	excel_cycle_end	excel_final_start	excel_final_end	excel_days	excel_price	excel_amount	platform_product_id	platform_product_name	platform_supplier_id	platform_monthly_rent	platform_package_price	platform_time_zone	platform_iccid	platform_window_source	platform_cycle_start	platform_cycle_end	platform_cycle_days	platform_calculated_days	platform_calculated_price	platform_calculated_amount	platform_calculated_amount_known	day_diff	price_diff	amount_diff	numeric_match_status	formal_match_status	platform_amount_evidence_status	platform_product_mapping_status	rule_id	platform_price_state	product_mapping_status	platform_candidate_count	platform_candidate_product_count	platform_candidate_window_count	activation_event_count	offstock_event_count	replacement_event_count	transfer_event_count	difference_reason	source_match_status
01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx#1	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026-02	2026-02	2026-02	083901141064377706		ATT 300GB Plan XY PP (WA)		New Activation: Prorated-in Charge	2026-02-22	2026-03-21	2026-02-26	2026-03-21	24.0000000000	62.0000000000	53.1428571429	60011515	ATT 300GB Plan XY PP (WA)	2275		62.0000000000	GMT-5	89014103271467377600	CYCLE_HISTORY	2026-02-22	2026-03-21	28.0000000000	24.0000000000	62.0000000000	53.142857		0E-9	0E-9	0.000000	NUMERIC_MATCH	MISSING_DATA	NO_ACTIVATION_EVENT_IN_PLATFORM_LOG	PROVEN_BY_PLATFORM_IMSI	R_DAILY_PRORATED_NEW_ACTIVATION	ONE_PRICE	EXCEL_PRODUCT_ID_NULL_NAME_EXACT_ONLY	1	1	1	0	0	0	0	NO_ACTIVATION_EVENT_IN_PLATFORM_LOG	MISSING_DATA
01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx#10	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026-02	2026-02	2026-02	083901141064377795		ATT 300GB Plan XY PP (WA)		New Activation: Prorated-in Charge	2026-02-22	2026-03-21	2026-02-26	2026-03-21	24.0000000000	62.0000000000	53.1428571429	60011515	ATT 300GB Plan XY PP (WA)	2275		62.0000000000	GMT-5	89014103271467377592	CYCLE_HISTORY	2026-02-22	2026-03-21	28.0000000000	24.0000000000	62.0000000000	53.142857		0E-9	0E-9	0.000000	NUMERIC_MATCH	MISSING_DATA	NO_ACTIVATION_EVENT_IN_PLATFORM_LOG	PROVEN_BY_PLATFORM_IMSI	R_DAILY_PRORATED_NEW_ACTIVATION	ONE_PRICE	EXCEL_PRODUCT_ID_NULL_NAME_EXACT_ONLY	1	1	1	0	0	0	0	NO_ACTIVATION_EVENT_IN_PLATFORM_LOG	MISSING_DATA
01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx#10003	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026-02	2026-02	2026-02	083901821007684998		ATT 300GB Plan DI HY HC (WA)		Full Cycle Charge	2026-02-14	2026-03-13	2026-02-14	2026-03-13	28.0000000000	62.0000000000	62.0000000000	60011777	ATT 300GB Plan DI HY HC (PI)	2275	62.0000000000	62.0000000000	GMT-5	89012803331708622029	CYCLE_HISTORY	2026-02-14	2026-03-13	28.0000000000	28.0000000000	62.0000000000	62.000000	62.000000	0E-9	0E-9	0.000000	NUMERIC_MATCH	MATCHED	KNOWN	PROVEN_BY_PLATFORM_IMSI	R_FULL_CYCLE_MONTHLY	ONE_PRICE	EXCEL_PRODUCT_ID_NULL_NAME_MISMATCH	2	1	1	0	0	0	0	NO_DIFFERENCE	MATCHED
01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx#10006	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026-02	2026-02	2026-02	083901821007685224		ATT 300GB Plan DF (2) (WA)		Full Cycle Charge	2026-02-01	2026-02-28	2026-02-01	2026-02-28	28.0000000000	62.0000000000	62.0000000000	60011922	ATT 300GB Plan DF (2) (PI)	2275	62.0000000000	62.0000000000	GMT-5	89012803331708503047	CYCLE_HISTORY	2026-02-01	2026-02-28	28.0000000000	28.0000000000	62.0000000000	62.000000	62.000000	0E-9	0E-9	0.000000	NUMERIC_MATCH	MATCHED	KNOWN	PROVEN_BY_PLATFORM_IMSI	R_FULL_CYCLE_MONTHLY	ONE_PRICE	EXCEL_PRODUCT_ID_NULL_NAME_MISMATCH	2	1	1	0	0	0	0	NO_DIFFERENCE	MATCHED
01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx#10008	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026-02	2026-02	2026-02	083901821007685294		ATT 60GB Plan AT SDP		Full Cycle Charge	2026-02-10	2026-03-09	2026-02-10	2026-03-09	28.0000000000	32.0000000000	32.0000000000	600111142	ATT 60GB Plan AT SDP (WA)	2275	32.0000000000	32.0000000000	GMT-5	89012803331708334419	CYCLE_HISTORY	2026-02-10	2026-03-09	28.0000000000	28.0000000000	32.0000000000	32.000000	32.000000	0E-9	0E-9	0.000000	NUMERIC_MATCH	MATCHED	KNOWN	PROVEN_BY_PLATFORM_IMSI	R_FULL_CYCLE_MONTHLY	ONE_PRICE	EXCEL_PRODUCT_ID_NULL_NAME_MISMATCH	2	1	1	0	0	0	0	NO_DIFFERENCE	MATCHED
01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx#10013	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026-02	2026-02	2026-02	083901821007686044		ATT 300GB Plan DF (WA)		Full Cycle Charge	2026-02-23	2026-03-22	2026-02-23	2026-03-22	28.0000000000	62.0000000000	62.0000000000	60011981	ATT 300GB Plan DF (PI)	2275	62.0000000000	62.0000000000	GMT-5	89012803331708507261	CYCLE_HISTORY	2026-02-23	2026-03-22	28.0000000000	28.0000000000	62.0000000000	62.000000	62.000000	0E-9	0E-9	0.000000	NUMERIC_MATCH	MATCHED	KNOWN	PROVEN_BY_PLATFORM_IMSI	R_FULL_CYCLE_MONTHLY	ONE_PRICE	EXCEL_PRODUCT_ID_NULL_NAME_MISMATCH	2	1	1	0	0	0	0	NO_DIFFERENCE	MATCHED
01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx#10018	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026-02	2026-02	2026-02	083901821007686648		ATT 300GB Plan DI HY HC (WA)		Full Cycle Charge	2026-02-14	2026-03-13	2026-02-14	2026-03-13	28.0000000000	62.0000000000	62.0000000000	60011777	ATT 300GB Plan DI HY HC (PI)	2275	62.0000000000	62.0000000000	GMT-5	89012803331708393761	CYCLE_HISTORY	2026-02-14	2026-03-13	28.0000000000	28.0000000000	62.0000000000	62.000000	62.000000	0E-9	0E-9	0.000000	NUMERIC_MATCH	MATCHED	KNOWN	PROVEN_BY_PLATFORM_IMSI	R_FULL_CYCLE_MONTHLY	ONE_PRICE	EXCEL_PRODUCT_ID_NULL_NAME_MISMATCH	2	1	1	0	0	0	0	NO_DIFFERENCE	MATCHED
01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx#10019	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026-02	2026-02	2026-02	083901821007686659		ATT 300GB Plan DF (WA)		Full Cycle Charge	2026-02-20	2026-03-19	2026-02-20	2026-03-19	28.0000000000	62.0000000000	62.0000000000	60011981	ATT 300GB Plan DF (PI)	2275	62.0000000000	62.0000000000	GMT-5	89012803331708701625	CYCLE_HISTORY	2026-02-20	2026-03-19	28.0000000000	28.0000000000	62.0000000000	62.000000	62.000000	0E-9	0E-9	0.000000	NUMERIC_MATCH	MATCHED	KNOWN	PROVEN_BY_PLATFORM_IMSI	R_FULL_CYCLE_MONTHLY	ONE_PRICE	EXCEL_PRODUCT_ID_NULL_NAME_MISMATCH	2	1	1	0	0	0	0	NO_DIFFERENCE	MATCHED
01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx#1002	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026-02	2026-02	2026-02	083901144064213378		AT&T 300GB Plan HX RT (WA)		Full Cycle Charge	2026-02-24	2026-03-23	2026-02-24	2026-03-23	28.0000000000	62.0000000000	62.0000000000	60011672	AT&T 300GB Plan HX RT (WA)	2275	62.0000000000	62.0000000000	GMT-5	89014103334461307633	CYCLE_HISTORY	2026-02-24	2026-03-23	28.0000000000	28.0000000000	62.0000000000	62.000000	62.000000	0E-9	0E-9	0.000000	NUMERIC_MATCH	MATCHED	KNOWN	PROVEN_BY_PLATFORM_IMSI	R_FULL_CYCLE_MONTHLY	ONE_PRICE	EXCEL_PRODUCT_ID_NULL_NAME_EXACT_ONLY	2	1	1	0	0	0	0	NO_DIFFERENCE	MATCHED
01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx#10027	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026-02	2026-02	2026-02	083901821007688108		ATT 300GB Plan DI HY HC (WA)		Full Cycle Charge	2026-02-14	2026-03-13	2026-02-14	2026-03-13	28.0000000000	62.0000000000	62.0000000000	60011777	ATT 300GB Plan DI HY HC (PI)	2275	62.0000000000	62.0000000000	GMT-5	89012803331708393712	CYCLE_HISTORY	2026-02-14	2026-03-13	28.0000000000	28.0000000000	62.0000000000	62.000000	62.000000	0E-9	0E-9	0.000000	NUMERIC_MATCH	MATCHED	KNOWN	PROVEN_BY_PLATFORM_IMSI	R_FULL_CYCLE_MONTHLY	ONE_PRICE	EXCEL_PRODUCT_ID_NULL_NAME_MISMATCH	2	1	1	0	0	0	0	NO_DIFFERENCE	MATCHED
