reconciliation_billing_month	formal_match_status	record_side	row_count	distinct_imsi_count	excel_total_final_charge	platform_calculated_amount_known_total	platform_total	platform_total_status	amount_diff_total	amount_abs_diff_total	proven_mapping_row_count	proven_mapping_distinct_imsi_count	numeric_match_row_count	numeric_match_distinct_imsi_count	day_exact_row_count	price_exact_row_count	amount_exact_row_count
2025-12	MATCHED	EXCEL_DETAIL	9287	9287	553495.9354838680	553495.935472	553495.935472	COMPLETE	0.000000	0.000000	9287	9287	9287	9287	9287	9287	9287
2025-12	MISSING_DATA	EXCEL_DETAIL	140	140	1999.8698924715			UNRESOLVED	-4.300000	4.300000	140	140	138	138	138	140	138
2025-12	MISSING_MAPPING	EXCEL_DETAIL	2744	2744	148684.5483870893			UNRESOLVED	-24149.000000	25517.000000	0	0	1343	1343	2721	1366	1366
2025-12	UNRESOLVED	EXCEL_DETAIL	2	2	124.0000000000	124.000000		UNRESOLVED	0.000000	0.000000	2	2	0	0	0	2	2
2025-12	WA_ONLY	EXCEL_DETAIL	12	12	535.0000000000			UNRESOLVED			0	0	0	0	0	0	0
2025-12	PLATFORM_ONLY	PLATFORM_FACT	4659	4328				UNRESOLVED			0	0	0	0	0	0	0
2026-02	MATCHED	EXCEL_DETAIL	9474	9474	540558.0000000000	540558.000000	540558.000000	COMPLETE	0.000000	0.000000	9474	9474	9474	9474	9474	9474	9474
2026-02	MISSING_DATA	EXCEL_DETAIL	474	474	16930.2949308741			UNRESOLVED	-3209.042015	3209.042015	474	474	287	287	287	474	287
2026-02	MISSING_MAPPING	EXCEL_DETAIL	2348	2272	121695.9999999987			UNRESOLVED	-26973.389311	26973.389311	3	3	844	844	2229	906	844
2026-02	UNRESOLVED	EXCEL_DETAIL	272	272	11284.0000000000	11284.000000		UNRESOLVED	0.000000	0.000000	272	272	0	0	0	272	182
2026-02	WA_ONLY	EXCEL_DETAIL	4	4	104.4285714285			UNRESOLVED			0	0	0	0	0	0	0
2026-02	PLATFORM_ONLY	PLATFORM_FACT	3877	3437				UNRESOLVED			0	0	0	0	0	0	0
