reconciliation_billing_month	record_side	formal_match_status	row_count	distinct_imsi_count	side_denominator_row_count	side_denominator_distinct_imsi_count	denominator_scope	excel_total_final_charge	platform_calculated_amount_known_total	platform_total	platform_total_status	amount_diff_total	amount_abs_diff_total
2025-12	EXCEL_DETAIL	MATCHED	9287	9287	12185	12110	EXCEL_DETAIL_OFFICIAL_ROWS_AND_DISTINCT_IMSI	553495.9354838680	553495.935472	553495.935472	COMPLETE	0.000000	0.000000
2025-12	EXCEL_DETAIL	MISSING_DATA	140	140	12185	12110	EXCEL_DETAIL_OFFICIAL_ROWS_AND_DISTINCT_IMSI	1999.8698924715	NULL	NULL	UNRESOLVED	-4.300000	4.300000
2025-12	EXCEL_DETAIL	MISSING_MAPPING	2744	2744	12185	12110	EXCEL_DETAIL_OFFICIAL_ROWS_AND_DISTINCT_IMSI	148684.5483870893	NULL	NULL	UNRESOLVED	-24149.000000	25517.000000
2025-12	EXCEL_DETAIL	UNRESOLVED	2	2	12185	12110	EXCEL_DETAIL_OFFICIAL_ROWS_AND_DISTINCT_IMSI	124.0000000000	124.000000	NULL	UNRESOLVED	0.000000	0.000000
2025-12	EXCEL_DETAIL	WA_ONLY	12	12	12185	12110	EXCEL_DETAIL_OFFICIAL_ROWS_AND_DISTINCT_IMSI	535.0000000000	NULL	NULL	UNRESOLVED	NULL	NULL
2025-12	PLATFORM_FACT	PLATFORM_ONLY	4659	4328	4659	4328	SCOPED_PLATFORM_FACT_ROWS_AND_DISTINCT_IMSI	NULL	NULL	NULL	UNRESOLVED	NULL	NULL
2026-02	EXCEL_DETAIL	MATCHED	9474	9474	12572	12309	EXCEL_DETAIL_OFFICIAL_ROWS_AND_DISTINCT_IMSI	540558.0000000000	540558.000000	540558.000000	COMPLETE	0.000000	0.000000
2026-02	EXCEL_DETAIL	MISSING_DATA	474	474	12572	12309	EXCEL_DETAIL_OFFICIAL_ROWS_AND_DISTINCT_IMSI	16930.2949308741	NULL	NULL	UNRESOLVED	-3209.042015	3209.042015
2026-02	EXCEL_DETAIL	MISSING_MAPPING	2348	2272	12572	12309	EXCEL_DETAIL_OFFICIAL_ROWS_AND_DISTINCT_IMSI	121695.9999999987	NULL	NULL	UNRESOLVED	-26973.389311	26973.389311
2026-02	EXCEL_DETAIL	UNRESOLVED	272	272	12572	12309	EXCEL_DETAIL_OFFICIAL_ROWS_AND_DISTINCT_IMSI	11284.0000000000	11284.000000	NULL	UNRESOLVED	0.000000	0.000000
2026-02	EXCEL_DETAIL	WA_ONLY	4	4	12572	12309	EXCEL_DETAIL_OFFICIAL_ROWS_AND_DISTINCT_IMSI	104.4285714285	NULL	NULL	UNRESOLVED	NULL	NULL
2026-02	PLATFORM_FACT	PLATFORM_ONLY	3877	3437	3877	3437	SCOPED_PLATFORM_FACT_ROWS_AND_DISTINCT_IMSI	NULL	NULL	NULL	UNRESOLVED	NULL	NULL
