result_section	billing_month	invoice_batch_label	source_file	charge_type	status	grain	row_count	distinct_imsi_count	excel_total_final_charge	platform_calculated_amount_known	amount_diff_known	excel_total_days	platform_total_days_known	day_exact_count	day_comparable_count	price_exact_count	price_comparable_count	amount_exact_count	platform_amount_missing_row_count
CHARGE_TYPE_SUMMARY	2025-12	2025-12		Full Cycle Charge	ALL_DETAIL	invoice_row	11437	11437	689429.000000000000			354547.000000000000		0	0	5054	6460	0	11437
CHARGE_TYPE_SUMMARY	2025-12	2025-12		New Activation: Prorated-in Charge	ALL_DETAIL	invoice_row	748	748	15410.353763440731	12471.387096765508	-2938.9666666752237	10321.000000000000	11407.000000000000	187	748	644	644	185	101
CHARGE_TYPE_SUMMARY	2026-02	2026-02		Full Cycle Charge	ALL_DETAIL	invoice_row	11748	11748	667676.000000000000			328984.000000000000		0	0	5236	6532	0	11748
CHARGE_TYPE_SUMMARY	2026-02	2026-02		New Activation: Prorated-in Charge	ALL_DETAIL	invoice_row	729	729	22741.723502304136	14234.892857141338	-8506.830645162798	12244.000000000000	16180.000000000000	137	729	427	448	96	279
CHARGE_TYPE_SUMMARY	2026-02	2026-02		Offstocked before cycle start	ALL_DETAIL	invoice_row	91	91						0	0	0	0	0	91
CHARGE_TYPE_SUMMARY	2026-02	2026-02		Partial Charge - Card Replaced Mid Cycle	ALL_DETAIL	invoice_row	4	4	154.999999999999	4.9285714286	-150.071428571399	70.000000000000	23.000000000000	1	1	0	1	0	3
EXCEL_MONTH_SUMMARY	2025-12	2025-12		ALL_DETAIL	ALL_DETAIL	invoice_row	12185	12110	704839.353763440731	12471.3870967655	-692367.9666666753	364868.000000000000	11407.000000000000	187	748	5698	7104	185	11538
EXCEL_MONTH_SUMMARY	2026-01	2026-01		ALL_DETAIL	ALL_DETAIL	invoice_row	0	0	0E-12										
EXCEL_MONTH_SUMMARY	2026-02	2026-02		ALL_DETAIL	ALL_DETAIL	invoice_row	12572	12309	690572.723502304135	14239.82142856996	-676332.9020737342	341298.000000000000	16203.000000000000	138	730	5663	6981	96	12121
IMSI_STATUS_SUMMARY	2025-12	2025-12			MATCHED	distinct_imsi_card	184	184	3317.935483870944	3317.9354838680097	-2.934484655270353E-9	2392.000000000000	2392.000000000000	184	184	184	184	184	0
IMSI_STATUS_SUMMARY	2025-12	2025-12			MISSING_DATA	distinct_imsi_card	24	24	653.322580645155			471.000000000000	143.000000000000	0	13	0	0	0	24
IMSI_STATUS_SUMMARY	2025-12	2025-12			MISSING_MAPPING	distinct_imsi_card	945	945	57370.935483870968	55.4838709677	-57315.45161290327	29238.000000000000	40.000000000000	1	3	0	0	1	942
IMSI_STATUS_SUMMARY	2025-12	2025-12			UNRESOLVED	distinct_imsi_card	6920	6845	390501.160215053664	9097.967741929773	-381403.1924731239	206269.000000000000	6559.000000000000	1	460	5514	6920	0	6460
IMSI_STATUS_SUMMARY	2025-12	2025-12			WA_ONLY	distinct_imsi_card	4112	4112	252996.000000000000			126498.000000000000	2273.000000000000	1	88	0	0	0	4112
IMSI_STATUS_SUMMARY	2026-02	2026-02			MATCHED	distinct_imsi_card	93	93	1160.999999999974	1160.9999999986994	-1.274656824534759E-9	756.000000000000	756.000000000000	93	93	93	93	93	0
IMSI_STATUS_SUMMARY	2026-02	2026-02			MISSING_DATA	distinct_imsi_card	2	2	61.428571428572			40.000000000000	90.000000000000	0	2	0	0	0	2
IMSI_STATUS_SUMMARY	2026-02	2026-02			MISSING_MAPPING	distinct_imsi_card	896	754	51405.142857142860	119.7857142858	-51285.357142857065	23475.000000000000	6597.000000000000	5	202	0	0	0	894
IMSI_STATUS_SUMMARY	2026-02	2026-02			UNRESOLVED	distinct_imsi_card	6888	6822	354722.794930875587	12959.035714285483	-341763.7592165901	188877.000000000000	7624.000000000000	10	356	5570	6888	3	6532
IMSI_STATUS_SUMMARY	2026-02	2026-02			WA_ONLY	distinct_imsi_card	4693	4638	283222.357142857142			128150.000000000000	1136.000000000000	30	77	0	0	0	4693
POPULATION_CARD_SUMMARY	2025-12	2025-12			MATCHED	distinct_imsi_card	7998	7998											
POPULATION_CARD_SUMMARY	2025-12	2025-12			PLATFORM_ONLY	distinct_imsi_card	2063	2063											
POPULATION_CARD_SUMMARY	2025-12	2025-12			WA_ONLY	distinct_imsi_card	4112	4112											
POPULATION_CARD_SUMMARY	2026-01	2026-01			PLATFORM_ONLY	distinct_imsi_card	9103	9103											
POPULATION_CARD_SUMMARY	2026-02	2026-02			MATCHED	distinct_imsi_card	7671	7671											
POPULATION_CARD_SUMMARY	2026-02	2026-02			PLATFORM_ONLY	distinct_imsi_card	909	909											
POPULATION_CARD_SUMMARY	2026-02	2026-02			WA_ONLY	distinct_imsi_card	4638	4638											
ROW_STATUS_SUMMARY	2025-12	2025-12			MATCHED	row_status	184	184	3317.935483870944	3317.9354838680097	-2.934484655270353E-9	2392.000000000000	2392.000000000000	184	184	184	184	184	0
ROW_STATUS_SUMMARY	2025-12	2025-12			MISSING_DATA	row_status	24	24	653.322580645155			471.000000000000	143.000000000000	0	13	0	0	0	24
ROW_STATUS_SUMMARY	2025-12	2025-12			MISSING_MAPPING	row_status	945	945	57370.935483870968	55.4838709677	-57315.45161290327	29238.000000000000	40.000000000000	1	3	0	0	1	942
ROW_STATUS_SUMMARY	2025-12	2025-12			PLATFORM_ONLY	row_status	2069	2063		95165.0			67267.000000000000	0	0	0	0	0	262
ROW_STATUS_SUMMARY	2025-12	2025-12			UNRESOLVED	row_status	6920	6845	390501.160215053664	9097.967741929768	-381403.1924731239	206269.000000000000	6559.000000000000	1	460	5514	6920	0	6460
ROW_STATUS_SUMMARY	2025-12	2025-12			WA_ONLY	row_status	4112	4112	252996.000000000000			126498.000000000000	2273.000000000000	1	88	0	0	0	4112
ROW_STATUS_SUMMARY	2026-01	2026-01			PLATFORM_ONLY	row_status	9873	9103		103366.0			570372.000000000000	0	0	0	0	0	7843
ROW_STATUS_SUMMARY	2026-02	2026-02			MATCHED	row_status	93	93	1160.999999999974	1160.9999999986994	-1.274656824534759E-9	756.000000000000	756.000000000000	93	93	93	93	93	0
ROW_STATUS_SUMMARY	2026-02	2026-02			MISSING_DATA	row_status	2	2	61.428571428572			40.000000000000	90.000000000000	0	2	0	0	0	2
ROW_STATUS_SUMMARY	2026-02	2026-02			MISSING_MAPPING	row_status	896	754	51405.142857142860	119.7857142858	-51285.357142857065	23475.000000000000	6597.000000000000	5	202	0	0	0	894
ROW_STATUS_SUMMARY	2026-02	2026-02			PLATFORM_ONLY	row_status	913	909		29920.0			35131.000000000000	0	0	0	0	0	382
ROW_STATUS_SUMMARY	2026-02	2026-02			UNRESOLVED	row_status	6888	6822	354722.794930875587	12959.035714285475	-341763.75921659014	188877.000000000000	7624.000000000000	10	356	5570	6888	3	6532
ROW_STATUS_SUMMARY	2026-02	2026-02			WA_ONLY	row_status	4693	4638	283222.357142857142			128150.000000000000	1136.000000000000	30	77	0	0	0	4693
