billing_month	charge_type	rule_id	source_match_status	row_count	imsi_count	excel_amount	platform_calculated_amount_known	excel_days	platform_days_known	day_exact_count	price_exact_count	amount_exact_count	activation_date_exact_count	activation_date_pm1_count	activation_date_residual_count	activation_event_missing_count
2025-12	Full Cycle Charge	RULE_FULL_CYCLE_NO_PLATFORM_CYCLE	MISSING_DATA	11	11	473.000000000000		341.000000000000		0	0	0	0	0	0	0
2025-12	Full Cycle Charge	RULE_FULL_CYCLE_NO_PLATFORM_CYCLE	WA_ONLY	4024	4024	249488.000000000000		124744.000000000000		0	0	0	0	0	0	0
2025-12	Full Cycle Charge	RULE_FULL_CYCLE_OVERLAP_UNRESOLVED	MISSING_MAPPING	942	942	57321.000000000000		29202.000000000000		0	0	0	0	0	0	0
2025-12	Full Cycle Charge	RULE_FULL_CYCLE_OVERLAP_UNRESOLVED	UNRESOLVED	6460	6460	382147.000000000000		200260.000000000000		0	5054	0	0	0	0	0
2025-12	New Activation: Prorated-in Charge	RULE_NEW_ACTIVATION_STATUS_DATE_EXACT	MATCHED	184	184	3317.935483870944	3317.9354838680097	2392.000000000000	2392	184	184	184	184	0	0	0
2025-12	New Activation: Prorated-in Charge	RULE_NEW_ACTIVATION_STATUS_DATE_EXACT	MISSING_MAPPING	1	1	30.516129032258	30.5161290323	22.000000000000	22	1	0	1	1	0	0	0
2025-12	New Activation: Prorated-in Charge	RULE_NEW_ACTIVATION_STATUS_DATE_EXACT	WA_ONLY	1	1	28.000000000000		14.000000000000	14	1	0	0	1	0	0	0
2025-12	New Activation: Prorated-in Charge	RULE_NEW_ACTIVATION_STATUS_DATE_PM1	MISSING_DATA	13	13	180.322580645155		130.000000000000	143	0	0	0	0	13	0	0
2025-12	New Activation: Prorated-in Charge	RULE_NEW_ACTIVATION_STATUS_DATE_PM1	UNRESOLVED	427	427	8024.031182795609	8602.774193543675	5778.000000000000	6202	1	427	0	0	427	0	0
2025-12	New Activation: Prorated-in Charge	RULE_NEW_ACTIVATION_STATUS_DATE_RESIDUAL	MISSING_MAPPING	2	2	19.419354838710	24.9677419354	14.000000000000	18	0	0	0	0	0	2	0
2025-12	New Activation: Prorated-in Charge	RULE_NEW_ACTIVATION_STATUS_DATE_RESIDUAL	UNRESOLVED	33	33	330.129032258055	495.19354838609974	231.000000000000	357	0	33	0	0	0	33	0
2025-12	New Activation: Prorated-in Charge	RULE_NEW_ACTIVATION_STATUS_DATE_RESIDUAL	WA_ONLY	87	87	3480.000000000000		1740.000000000000	2259	0	0	0	0	0	87	0
2026-02	Full Cycle Charge	RULE_FULL_CYCLE_NO_PLATFORM_CYCLE	WA_ONLY	4522	4522	280117.000000000000		126651.000000000000		0	0	0	0	0	0	0
2026-02	Full Cycle Charge	RULE_FULL_CYCLE_OVERLAP_UNRESOLVED	MISSING_MAPPING	694	694	43028.000000000000		19432.000000000000		0	0	0	0	0	0	0
2026-02	Full Cycle Charge	RULE_FULL_CYCLE_OVERLAP_UNRESOLVED	UNRESOLVED	6532	6532	344531.000000000000		182901.000000000000		0	5236	0	0	0	0	0
2026-02	New Activation: Prorated-in Charge	RULE_NEW_ACTIVATION_STATUS_DATE_EXACT	MATCHED	91	91	1117.999999999974	1117.9999999986999	728.000000000000	728	91	91	91	91	0	0	0
2026-02	New Activation: Prorated-in Charge	RULE_NEW_ACTIVATION_STATUS_DATE_EXACT	UNRESOLVED	59	59	1187.107142857145	724.8571428563004	773.000000000000	472	0	59	0	59	0	0	0
2026-02	New Activation: Prorated-in Charge	RULE_NEW_ACTIVATION_STATUS_DATE_EXACT	WA_ONLY	65	65	2403.428571428570		1182.000000000000	880	30	0	0	65	0	0	0
2026-02	New Activation: Prorated-in Charge	RULE_NEW_ACTIVATION_STATUS_DATE_PM1	MATCHED	2	2	43.000000000000	43.0	28.000000000000	28	2	2	2	0	2	0	0
2026-02	New Activation: Prorated-in Charge	RULE_NEW_ACTIVATION_STATUS_DATE_PM1	UNRESOLVED	55	55	1067.107142857144	981.3571428572001	622.000000000000	529	3	55	0	0	55	0	0
2026-02	New Activation: Prorated-in Charge	RULE_NEW_ACTIVATION_STATUS_DATE_PM1	WA_ONLY	12	12	597.857142857144		270.000000000000	256	0	0	0	0	12	0	0
2026-02	New Activation: Prorated-in Charge	RULE_NEW_ACTIVATION_STATUS_DATE_RESIDUAL	MISSING_DATA	2	2	61.428571428572		40.000000000000	90	0	0	0	0	0	2	0
2026-02	New Activation: Prorated-in Charge	RULE_NEW_ACTIVATION_STATUS_DATE_RESIDUAL	MISSING_MAPPING	202	202	8377.142857142860	119.7857142858	4043.000000000000	6597	5	0	0	0	0	202	0
2026-02	New Activation: Prorated-in Charge	RULE_NEW_ACTIVATION_STATUS_DATE_RESIDUAL	UNRESOLVED	241	241	7886.652073732727	11247.8928571434	4558.000000000000	6600	6	220	3	0	0	241	0
2026-02	Offstocked before cycle start	RULE_OFFSTOCKED_DATE_RELATION_UNPROVEN	WA_ONLY	91	91					0	0	0	0	0	0	0
2026-02	Partial Charge - Card Replaced Mid Cycle	RULE_REPLACEMENT_RELATION_UNPROVEN	UNRESOLVED	1	1	50.928571428571	4.9285714286	23.000000000000	23	1	0	0	0	0	0	0
2026-02	Partial Charge - Card Replaced Mid Cycle	RULE_REPLACEMENT_RELATION_UNPROVEN	WA_ONLY	3	3	104.071428571428		47.000000000000		0	0	0	0	0	0	0
