table_schema	table_name	column_name	data_type	ordinal_position
ods	resource_res_carrier	ID	LONG	0
ods	resource_res_carrier	CARRIER_NAME	STRING	1
ods	resource_res_carrier	PHONE	STRING	2
ods	resource_res_carrier	CARRIER_TYPE	INT	3
ods	resource_res_carrier	MNO_TYPE	INT	4
ods	resource_res_carrier	ACTUAL_MNO_ID	LONG	5
ods	resource_res_carrier	MNO_NAME_LANG_PKG	STRING	6
ods	resource_res_carrier	DESCRIPTION	STRING	7
ods	resource_res_carrier	COUNTRY_CODE	STRING	8
ods	resource_res_carrier	mcc	INT	9
ods	resource_res_carrier	WEB_SITE	STRING	10
ods	resource_res_carrier	group_id	LONG	11
ods	resource_res_carrier	simple_carrier_name	STRING	12
ods	resource_res_carrier	account_address	STRING	13
ods	resource_res_carrier	account_bank_address	STRING	14
ods	resource_res_carrier	account_bank_name	STRING	15
ods	resource_res_carrier	account_name	STRING	16
ods	resource_res_carrier	account_no	STRING	17
ods	resource_res_carrier	address	STRING	18
ods	resource_res_carrier	contact	STRING	19
ods	resource_res_carrier	email	STRING	20
ods	resource_res_carrier	owner	STRING	21
ods	resource_res_carrier	swift_code	STRING	22
ods	resource_res_carrier	region_id	LONG	23
ods	resource_res_carrier	mncs	STRING	24
ods	resource_res_carrier	status	INT	25
ods	resource_res_carrier	create_by	STRING	26
ods	resource_res_carrier	create_time	TIMESTAMP	27
ods	resource_res_carrier	modify_by	STRING	28
ods	resource_res_carrier	modify_time	TIMESTAMP	29
ods	resource_res_carrier	ppci_n	STRING	30
ods	resource_res_carrier	dt	TIMESTAMP	31
ods	resource_res_vsim_cycle_history	imsi	STRING	0
ods	resource_res_vsim_cycle_history	product_id	LONG	1
ods	resource_res_vsim_cycle_history	cycle_time	TIMESTAMP	2
ods	resource_res_vsim_cycle_history	next_cycle_time	TIMESTAMP	3
ods	resource_res_vsim_cycle_history	CONS_FLUX_KB	LONG	4
ods	resource_res_vsim_cycle_history	cycle_total_flow	LONG	5
ods	resource_res_vsim_cycle_history	usage_of_percentage	DOUBLE	6
ods	resource_res_vsim_cycle_history	create_time	TIMESTAMP	7
ods	resource_res_vsim_cycle_history	package_price	DOUBLE	8
ods	resource_res_vsim_cycle_history	time_zone	STRING	9
ods	resource_res_vsim_product	product_id	STRING	0
ods	resource_res_vsim_product	product_name	STRING	1
ods	resource_res_vsim_product	service	INT	2
ods	resource_res_vsim_product	description	STRING	3
ods	resource_res_vsim_product	init_flux	STRING	4
ods	resource_res_vsim_product	carrier_id	LONG	5
ods	resource_res_vsim_product	supplier_id	LONG	6
ods	resource_res_vsim_product	status	INT	7
ods	resource_res_vsim_product	replenishment	INT	8
ods	resource_res_vsim_product	time_zone	STRING	9
ods	resource_res_vsim_product	group_id	LONG	10
ods	resource_res_vsim_product	owner	STRING	11
ods	resource_res_vsim_product	apn_id	LONG	12
ods	resource_res_vsim_product	in_flux_package_amount	DOUBLE	13
ods	resource_res_vsim_product	in_flux_package_unit	STRING	14
ods	resource_res_vsim_product	in_flux_package_aviable_amount_kb	LONG	15
ods	resource_res_vsim_product	package_type	LONG	16
ods	resource_res_vsim_product	active_type	LONG	17
ods	resource_res_vsim_product	agreement_time_periods	LONG	18
ods	resource_res_vsim_product	agreement_time_contains_pause	LONG	19
ods	resource_res_vsim_product	max_pause_days	LONG	20
ods	resource_res_vsim_product	baika_valid_time_month	LONG	21
ods	resource_res_vsim_product	billing_cycle	STRING	22
ods	resource_res_vsim_product	loop_using_after_cycle	LONG	23
ods	resource_res_vsim_product	cover_type	LONG	24
ods	resource_res_vsim_product	local_currency	STRING	25
ods	resource_res_vsim_product	monthly_rent	DOUBLE	26
ods	resource_res_vsim_product	monthly_rent_withusd	DOUBLE	27
ods	resource_res_vsim_product	over_flux_package_amount	LONG	28
ods	resource_res_vsim_product	over_flux_package_unit	STRING	29
ods	resource_res_vsim_product	over_flux_package_price_all_countries	STRING	30
ods	resource_res_vsim_product	package_price	DOUBLE	31
ods	resource_res_vsim_product	package_price_withusd	DOUBLE	32
ods	resource_res_vsim_product	pause_monthly_rent	DOUBLE	33
ods	resource_res_vsim_product	pause_monthly_rent_withusd	DOUBLE	34
ods	resource_res_vsim_product	payment_day	LONG	35
ods	resource_res_vsim_product	payment_type	LONG	36
ods	resource_res_vsim_product	pooling	LONG	37
ods	resource_res_vsim_product	pooling_cons_flux	LONG	38
ods	resource_res_vsim_product	price_include_tax	DOUBLE	39
ods	resource_res_vsim_product	price_include_tax_withusd	DOUBLE	40
ods	resource_res_vsim_product	product_name_in_supplier	STRING	41
ods	resource_res_vsim_product	purchase_fee_disposable	DOUBLE	42
ods	resource_res_vsim_product	tax_rate	DOUBLE	43
ods	resource_res_vsim_product	mccs	STRING	44
ods	resource_res_vsim_product	is_local	LONG	45
ods	resource_res_vsim_product	network_type	LONG	46
ods	resource_res_vsim_product	network_standard	LONG	47
ods	resource_res_vsim_product	roam_type	LONG	48
ods	resource_res_vsim_product	sim_type	LONG	49
ods	resource_res_vsim_product	email_notify_id	LONG	50
ods	resource_res_vsim_product	create_by	STRING	51
ods	resource_res_vsim_product	create_time	STRING	52
ods	resource_res_vsim_product	modify_by	STRING	53
ods	resource_res_vsim_product	modify_time	STRING	54
ods	resource_res_vsim_product	countrys	STRING	55
ods	resource_res_vsim_product	balance_currency	STRING	56
ods	resource_res_vsim_product	balance_rate	DOUBLE	57
ods	resource_res_vsim_product	settle_accounts_currency	STRING	58
ods	resource_res_vsim_product	settle_accounts_rate	DOUBLE	59
ods	resource_res_vsim_product	agreement_time_periods_unit	STRING	60
ods	resource_res_vsim_product	over_flow_fee	DOUBLE	61
ods	resource_res_vsim_product	over_flow_fee_unit	STRING	62
ods	resource_res_vsim_product	plmn_sel	STRING	63
ods	resource_res_vsim_product	cover_group_id	LONG	64
ods	resource_res_vsim_product	billing_type	INT	65
ods	resource_res_vsim_product	over_type	INT	66
ods	resource_res_vsim_product	product_category	STRING	67
ods	resource_res_vsim_product	plmns_from_imsi	STRING	68
ods	resource_res_vsim_product	into_db_time	STRING	69
ods	resource_res_vsim_status_log	ID	LONG	0
