platform_month	product_population_status	supplier_id	platform_product_id	product_name	snapshot_row_count	imsi_count	min_cycle_start_time	max_cycle_end_time	min_partition_time	max_partition_time	sim_status_count	dispatch_status_count
2025-12					29	29	11/29/2025 16:00:00	12/29/2025 15:59:59	12/25/2025 01:00:00	12/25/2025 01:00:00	1	1
2025-12			60011002		126740	180	11/05/2025 13:00:00	01/01/2026 12:59:59	12/01/2025 00:00:00	12/31/2025 23:00:00	4	3
2025-12			60011030		432	8	11/30/2025 16:00:00	12/31/2025 15:59:59	12/01/2025 00:00:00	12/03/2025 05:00:00	3	3
2025-12			60011044		45958	68	12/01/2025 00:00:00	12/31/2025 23:59:59	12/01/2025 00:00:00	12/31/2025 01:00:00	4	3
2025-12			60011046		2226	3	11/02/2025 16:00:00	01/01/2026 15:59:59	12/01/2025 00:00:00	12/31/2025 23:00:00	1	2
2025-12			60011054		14840	20			12/01/2025 00:00:00	12/31/2025 23:00:00	1	1
2025-12			60011065		7420	10	11/23/2025 16:00:00	01/23/2026 15:59:59	12/01/2025 00:00:00	12/31/2025 23:00:00	1	2
2025-12			600111001		12614	17	11/23/2025 23:00:00	01/22/2026 22:59:59	12/01/2025 00:00:00	12/31/2025 23:00:00	3	3
2025-12			600111003		58738	84	11/20/2025 17:00:00	01/20/2026 16:59:59	12/01/2025 00:00:00	12/31/2025 23:00:00	2	3
2025-12			600111004		9646	13	11/10/2025 23:00:00	01/09/2026 22:59:59	12/01/2025 00:00:00	12/31/2025 23:00:00	3	3
2025-12			600111015		89040	120	11/30/2025 15:00:00	01/31/2026 14:59:59	12/01/2025 00:00:00	12/31/2025 23:00:00	1	2
2025-12			600111016		117236	158	11/30/2025 15:00:00	01/31/2026 14:59:59	12/01/2025 00:00:00	12/31/2025 23:00:00	2	4
2025-12			600111018		14840	20	11/30/2025 15:00:00	01/31/2026 14:59:59	12/01/2025 00:00:00	12/31/2025 23:00:00	2	3
2025-12			600111019		54166	73	11/02/2025 17:00:00	01/02/2026 16:59:59	12/01/2025 00:00:00	12/31/2025 23:00:00	3	3
2025-12			600111022		112	2	12/01/2025 03:00:00	01/01/2026 02:59:59	12/03/2025 01:00:00	12/05/2025 08:00:00	1	2
2025-12			600111023		1484	2	11/24/2025 00:00:00	01/23/2026 23:59:59	12/01/2025 00:00:00	12/31/2025 23:00:00	1	1
2025-12			600111024		148400	200	11/30/2025 15:00:00	01/31/2026 14:59:59	12/01/2025 00:00:00	12/31/2025 23:00:00	2	4
2025-12			600111027		11130	15	11/30/2025 16:00:00	01/31/2026 15:59:59	12/01/2025 00:00:00	12/31/2025 23:00:00	1	2
2025-12			600111028		11130	15	11/30/2025 16:00:00	01/31/2026 15:59:59	12/01/2025 00:00:00	12/31/2025 23:00:00	1	2
2025-12			600111031		371000	500	11/30/2025 15:00:00	01/31/2026 14:59:59	12/01/2025 00:00:00	12/31/2025 23:00:00	2	4
2025-12			600111032		741258	999	11/30/2025 15:00:00	01/31/2026 14:59:59	12/01/2025 00:00:00	12/31/2025 23:00:00	3	4
2025-12			600111033		1076000	1600	11/30/2025 15:00:00	01/31/2026 14:59:59	12/01/2025 00:00:00	12/31/2025 23:00:00	3	4
2025-12			600111035		148400	200	11/30/2025 15:00:00	01/31/2026 14:59:59	12/01/2025 00:00:00	12/31/2025 23:00:00	4	4
2025-12			600111036		148400	200	11/30/2025 15:00:00	01/31/2026 14:59:59	12/01/2025 00:00:00	12/31/2025 23:00:00	2	4
2025-12			600111041		7420	10	11/30/2025 15:00:00	01/31/2026 14:59:59	12/01/2025 00:00:00	12/31/2025 23:00:00	1	3
2025-12			600111046		2226	3	09/07/2025 05:00:00	03/06/2026 04:59:59	12/01/2025 00:00:00	12/31/2025 23:00:00	1	1
2025-12			600111058		227052	306	11/01/2025 05:00:00	01/01/2026 04:59:59	12/01/2025 00:00:00	12/31/2025 23:00:00	3	3
2025-12			600111062		150626	203	11/30/2025 16:00:00	01/31/2026 15:59:59	12/01/2025 00:00:00	12/31/2025 23:00:00	2	3
2025-12			600111063		1484	2			12/01/2025 00:00:00	12/31/2025 23:00:00	1	1
2025-12			600111064		378	18	12/01/2025 03:00:00	01/01/2026 02:59:59	12/01/2025 06:00:00	12/02/2025 02:00:00	3	3
2025-12			600111065		393260	530	11/30/2025 15:00:00	01/31/2026 14:59:59	12/01/2025 00:00:00	12/31/2025 23:00:00	2	3
2025-12			600111066		73458	99	11/30/2025 15:00:00	01/31/2026 14:59:59	12/01/2025 00:00:00	12/31/2025 23:00:00	2	3
2025-12			600111067		1484	2			12/01/2025 00:00:00	12/31/2025 23:00:00	1	1
2025-12			600111068		1484	2	11/18/2025 17:00:00	01/17/2026 16:59:59	12/01/2025 00:00:00	12/31/2025 23:00:00	2	3
2025-12			600111079		37100	50	11/30/2025 23:00:00	01/31/2026 22:59:59	12/01/2025 00:00:00	12/31/2025 23:00:00	2	3
2025-12			600111089		2226	3	11/01/2025 05:00:00	01/01/2026 04:59:59	12/01/2025 00:00:00	12/31/2025 23:00:00	3	3
2025-12			600111090		2226	3	11/02/2025 07:00:00	01/02/2026 06:59:59	12/01/2025 00:00:00	12/31/2025 23:00:00	2	3
2025-12			600111091		5722	141	11/20/2025 06:00:00	01/19/2026 05:59:59	12/07/2025 00:00:00	12/31/2025 23:00:00	3	3
2025-12			600111092		3710	5	11/06/2025 06:00:00	01/05/2026 05:59:59	12/01/2025 00:00:00	12/31/2025 23:00:00	3	3
2025-12			600111095		2226	3	12/01/2025 00:00:00	01/31/2026 23:59:59	12/01/2025 00:00:00	12/31/2025 23:00:00	1	1
2025-12			600111098		2016	3	12/01/2025 00:00:00	12/31/2025 23:59:59	12/01/2025 00:00:00	12/29/2025 01:00:00	1	1
2025-12			600111099		37100	50	11/30/2025 23:00:00	01/31/2026 22:59:59	12/01/2025 00:00:00	12/31/2025 23:00:00	2	3
2025-12			600111101		2226	3	11/02/2025 22:00:00	01/02/2026 21:59:59	12/01/2025 00:00:00	12/31/2025 23:00:00	2	3
2025-12			600111102		371000	500	11/30/2025 15:00:00	01/31/2026 14:59:59	12/01/2025 00:00:00	12/31/2025 23:00:00	2	3
2025-12			600111105		15732	52	11/29/2025 21:00:00	12/30/2025 20:59:59	12/01/2025 00:00:00	12/26/2025 07:00:00	3	3
2025-12			600111106		41521	114	11/29/2025 16:00:00	12/31/2025 15:59:59	12/01/2025 00:00:00	12/26/2025 08:00:00	3	3
2025-12			600111110		3710	5	11/17/2025 05:00:00	01/17/2026 04:59:59	12/01/2025 00:00:00	12/31/2025 23:00:00	3	3
2025-12			600111112		1210	2	11/26/2025 08:00:00	12/26/2025 07:59:59	12/01/2025 00:00:00	12/26/2025 06:00:00	3	3
2025-12			600111117		7420	20			12/01/2025 00:00:00	12/31/2025 23:00:00	1	1
2025-12			600111118		7420	10	12/01/2025 00:00:00	01/31/2026 23:59:59	12/01/2025 00:00:00	12/31/2025 23:00:00	3	3
2025-12			600111122		30444	86	12/14/2025 23:00:00	01/14/2026 22:59:59	12/17/2025 06:00:00	12/31/2025 23:00:00	2	3
2025-12			600111127		235500	500	12/01/2025 05:00:00	01/01/2026 04:59:59	12/12/2025 08:00:00	12/31/2025 23:00:00	3	3
