table_schema	table_name	ordinal_position	column_name	data_type	is_nullable
dm	card_replacement_details	0	sn	STRING	YES
dm	card_replacement_details	1	mcc	STRING	YES
dm	card_replacement_details	2	dt	STRING	YES
dm	card_replacement_details	3	new_imsi	STRING	YES
dm	card_replacement_details	4	reason	STRING	YES
dm	card_replacement_details	5	old_imsi	STRING	YES
dm	card_replacement_details	6	COUNTRY_NAME	STRING	YES
dm	card_replacement_details	7	DESCRIPTION	STRING	YES
dm	card_replacement_details	8	old_CARRIER_NAME	STRING	YES
dm	card_replacement_details	9	new_CARRIER_NAME	STRING	YES
dm	change_card_data	0	sn	STRING	YES
dm	change_card_data	1	skyroamid	INT	YES
dm	change_card_data	2	createtime	LONG	YES
dm	change_card_data	3	terminalversion	STRING	YES
dm	change_card_data	4	ordercode	STRING	YES
dm	change_card_data	5	dt	STRING	YES
dm	change_card_data	6	static_day	STRING	YES
dm	change_card_data	7	releaseReason	STRING	YES
dm	change_card_data	8	imsi	STRING	YES
dm	change_card_data	9	rsim_plmn	STRING	YES
dm	change_card_data	10	rsim_lac	STRING	YES
dm	change_card_data	11	rsim_cellid	STRING	YES
dm	change_card_data	12	mtk_list	STRING	YES
dm	change_card_data	13	device_type	STRING	YES
dm	change_card_data	14	COUNTRY_NAME	STRING	YES
dm	change_card_data	15	reason_string	STRING	YES
dm	change_card_data_details	0	sn	STRING	YES
dm	change_card_data_details	1	skyroamid	INT	YES
dm	change_card_data_details	2	createtime	LONG	YES
dm	change_card_data_details	3	terminalversion	STRING	YES
dm	change_card_data_details	4	ordercode	STRING	YES
dm	change_card_data_details	5	dt	STRING	YES
dm	change_card_data_details	6	static_day	STRING	YES
dm	change_card_data_details	7	releaseReason	STRING	YES
dm	change_card_data_details	8	imsi	STRING	YES
dm	change_card_data_details	9	rsim_plmn	STRING	YES
dm	change_card_data_details	10	rsim_lac	STRING	YES
dm	change_card_data_details	11	rsim_cellid	STRING	YES
dm	change_card_data_details	12	mtk_list	STRING	YES
dm	change_card_data_details	13	device_type	STRING	YES
dm	change_card_data_details	14	COUNTRY_NAME	STRING	YES
dm	change_card_data_details	15	reason_string	STRING	YES
dm	change_card_data_details01	0	sn	STRING	YES
dm	change_card_data_details01	1	skyroamid	INT	YES
dm	change_card_data_details01	2	createtime	LONG	YES
dm	change_card_data_details01	3	terminalversion	STRING	YES
dm	change_card_data_details01	4	ordercode	STRING	YES
dm	change_card_data_details01	5	dt	STRING	YES
dm	change_card_data_details01	6	static_day	STRING	YES
dm	change_card_data_details01	7	releaseReason	STRING	YES
dm	change_card_data_details01	8	imsi	STRING	YES
dm	change_card_data_details01	9	is_local	LONG	YES
dm	change_card_data_details01	10	product_id	STRING	YES
dm	change_card_data_details01	11	product_name	STRING	YES
dm	change_card_data_details01	12	carrier_id	LONG	YES
dm	change_card_data_details01	13	CARRIER_NAME	STRING	YES
dm	change_card_data_details01	14	rsim_plmn	STRING	YES
dm	change_card_data_details01	15	rsim_lac	STRING	YES
dm	change_card_data_details01	16	rsim_cellid	STRING	YES
dm	change_card_data_details01	17	mtk_list	STRING	YES
dm	change_card_data_details01	18	device_type	STRING	YES
dm	change_card_data_details01	19	COUNTRY_NAME	STRING	YES
dm	change_card_data_details01	20	reason_string	STRING	YES
dm	change_card_data_details01	21	mtk_state	INT	YES
dm	change_card_data_details01	22	mncs	STRING	YES
dm	change_card_data_details02	0	sn	STRING	YES
dm	change_card_data_details02	1	skyroamid	INT	YES
dm	change_card_data_details02	2	createtime	LONG	YES
dm	change_card_data_details02	3	terminalversion	STRING	YES
dm	change_card_data_details02	4	ordercode	STRING	YES
dm	change_card_data_details02	5	dt	STRING	YES
dm	change_card_data_details02	6	static_day	STRING	YES
dm	change_card_data_details02	7	releaseReason	STRING	YES
dm	change_card_data_details02	8	imsi	STRING	YES
dm	change_card_data_details02	9	is_local	LONG	YES
dm	change_card_data_details02	10	product_id	STRING	YES
dm	change_card_data_details02	11	product_name	STRING	YES
dm	change_card_data_details02	12	carrier_id	LONG	YES
dm	change_card_data_details02	13	CARRIER_NAME	STRING	YES
dm	change_card_data_details02	14	rsim_plmn	STRING	YES
dm	change_card_data_details02	15	rsim_lac	STRING	YES
dm	change_card_data_details02	16	rsim_cellid	STRING	YES
dm	change_card_data_details02	17	mtk_list	STRING	YES
dm	change_card_data_details02	18	device_type	STRING	YES
dm	change_card_data_details02	19	COUNTRY_NAME	STRING	YES
dm	change_card_data_details02	20	reason_string	STRING	YES
dm	change_card_data_details02	21	mtk_state	INT	YES
dm	change_card_data_details02	22	mncs	STRING	YES
dm	change_card_data_details02	23	apdu_errorcode	STRING	YES
dm	change_card_data_details02	24	apdu_errorcode_16	STRING	YES
dm	change_card_data_details02	25	error_code_string	STRING	YES
dm	change_card_data_details03	0	sn	STRING	YES
dm	change_card_data_details03	1	skyroamid	INT	YES
dm	change_card_data_details03	2	createtime	LONG	YES
dm	change_card_data_details03	3	terminalversion	STRING	YES
dm	change_card_data_details03	4	ordercode	STRING	YES
dm	change_card_data_details03	5	dt	STRING	YES
dm	change_card_data_details03	6	static_day	STRING	YES
dm	change_card_data_details03	7	releaseReason	STRING	YES
dm	change_card_data_details03	8	imsi	STRING	YES
dm	change_card_data_details03	9	is_local	LONG	YES
dm	change_card_data_details03	10	product_id	STRING	YES
dm	change_card_data_details03	11	product_name	STRING	YES
dm	change_card_data_details03	12	carrier_id	LONG	YES
dm	change_card_data_details03	13	CARRIER_NAME	STRING	YES
dm	change_card_data_details03	14	rsim_plmn	STRING	YES
dm	change_card_data_details03	15	rsim_lac	STRING	YES
dm	change_card_data_details03	16	rsim_cellid	STRING	YES
dm	change_card_data_details03	17	mtk_list	STRING	YES
dm	change_card_data_details03	18	device_type	STRING	YES
dm	change_card_data_details03	19	COUNTRY_NAME	STRING	YES
dm	change_card_data_details03	20	reason_string	STRING	YES
dm	change_card_data_details03	21	mtk_state	INT	YES
dm	change_card_data_details03	22	mncs	STRING	YES
dm	change_card_data_details03	23	apdu_errorcode	STRING	YES
dm	change_card_data_details03	24	apdu_errorcode_16	STRING	YES
dm	change_card_data_details03	25	error_code_string	STRING	YES
dm	change_card_data_details03	26	if_Repeatsending	INT	YES
dm	imsi_dispatch_details	0	imsi	STRING	YES
dm	imsi_dispatch_details	1	sn	STRING	YES
dm	imsi_dispatch_details	2	mcc	STRING	YES
dm	imsi_dispatch_details	3	product_category	STRING	YES
dm	imsi_dispatch_details	4	account_id	LONG	YES
ods	change_card_reason_relation	0	reason_int	INT	YES
ods	change_card_reason_relation	1	reason_string	STRING	YES
ods	core_dse_applylog	0	applyStauts	STRING	YES
ods	core_dse_applylog	1	applyTime	STRING	YES
ods	core_dse_applylog	2	vsimCarrierId	STRING	YES
ods	core_dse_applylog	3	vsimDseProductId	STRING	YES
ods	core_dse_applylog	4	vsimImsi	STRING	YES
ods	core_dse_applylog	5	countryCode	STRING	YES
ods	core_dse_applylog	6	longitude	STRING	YES
ods	core_dse_applylog	7	mtkPlmnList	STRING	YES
ods	core_dse_applylog	8	networkType	STRING	YES
ods	core_dse_applylog	9	rsimCellId	STRING	YES
ods	core_dse_applylog	10	rsimLac	STRING	YES
ods	core_dse_applylog	11	rsimPlmn	STRING	YES
ods	core_dse_applylog	12	skyroamId	STRING	YES
ods	core_dse_applylog	13	sn	STRING	YES
ods	core_dse_applylog	14	switchReason	STRING	YES
