table_schema	table_name	table_type
dm	card_dispatch_history_country	MANAGED
dm	card_dispatch_history_country_with_carrier	MANAGED
dm	card_replacement_details	MANAGED
dm	cdr_hourly_aggration_for_core	MANAGED
dm	change_card_data	MANAGED
dm	change_card_data_details	MANAGED
dm	change_card_data_details01	MANAGED
dm	change_card_data_details02	MANAGED
dm	change_card_data_details03	MANAGED
dm	change_card_response_data	MANAGED
dm	change_card_traffic_data_result	VIEW
dm	change_card_traffic_data_result_add_to_hbase_v2	MANAGED
dm	change_card_traffic_data_result_bak	MANAGED
dm	change_card_traffic_data_result_bak_bak	MANAGED
dm	change_card_traffic_data_result_bak_bak1	MANAGED
dm	change_card_traffic_data_result_ck	MANAGED
dm	change_card_traffic_data_result_ck_v2	MANAGED
dm	change_card_traffic_data_result_daily_his	MANAGED
dm	change_card_traffic_data_result_daily_his_cdr	MANAGED
dm	change_card_traffic_data_result_daily_his_cdr_tmp_v2	MANAGED
dm	change_card_traffic_data_result_need_delet	MANAGED
dm	change_card_traffic_data_result_realtime_tmp_v2	MANAGED
dm	change_card_traffic_data_result_repair	MANAGED
dm	change_card_traffic_data_result_repair_all	MANAGED
dm	change_card_traffic_data_result_repair_result	MANAGED
dm	change_card_traffic_data_result_repair_result_all	MANAGED
dm	change_card_traffic_data_result_tmp	MANAGED
dm	change_card_traffic_data_result_tmp2	MANAGED
dm	change_card_traffic_data_result_to_kafka	MANAGED
dm	change_card_traffic_watermark_v2	MANAGED
dm	imsi_dispatch_details	MANAGED
dm	vsim_availability_plmn_score_cellid	MANAGED
dm	vsim_availability_plmn_score_country	MANAGED
dm	vsim_availability_plmn_score_region	MANAGED
ods	change_card_reason_relation	MANAGED
ods	core_ac_terminal	MANAGED
ods	core_co_user	MANAGED
ods	core_co_user_activity	MANAGED
ods	core_co_user_activity_view	MANAGED
ods	core_co_user_tmp	MANAGED
ods	core_co_user_view	MANAGED
ods	core_dse_applylog	MANAGED
ods	resource_res_vsim_status_log	MANAGED
ods	resource_res_vsim_status_log_tmp	MANAGED
ods	simo_device_t_dispatch_rule	MANAGED
tc_cdr	sim_status_for_sftp	MANAGED
tc_cdr	sim_status_for_sftp_bak	MANAGED
tc_cdr	sim_status_for_sftp_daily	MANAGED
tc_cdr	sim_status_for_sftp_daily_bak	MANAGED
tc_cdr	sim_status_for_sftp_monthly	MANAGED
