source_table	source_file	sheet_name	row_count	imsi_count	min_cycle_start_raw	max_cycle_end_raw	min_final_start_raw	max_final_end_raw	charge_type_count	charge_types_seen
mysql_cdc_sync.wa_invoice_credit	01-2-Credit _FROM_ WA_ USD_585.45 wing response New_Query_2025-12-10_5_49pm_2025_12_16.xlsx		393	393	2025-11-01 00:00:00	2025-12-26 00:00:00	11/1	2025-11-18 00:00:00	1	CREDIT
mysql_cdc_sync.wa_invoice_detail	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	Invoice Details - SEP 2025	25237	14793	2025-08-02 00:00:00	2025-10-29 23:59:59	2025-09-01 00:00:00	2025-10-29 00:00:00	4	Full Rate || Partial Charge (Activated AUG) || Prorated-in Charge (Activated SEPT) || Prorated-out Charge (Activated SEPT)
mysql_cdc_sync.wa_invoice_detail	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Detail Charges	12663	12641	2025-10-10 00:00:00	2025-12-29 00:00:00	2025-11-01 00:00:00	2025-12-29 00:00:00	2	Full Cycle Charge || New Activation: Prorated-in Charge
mysql_cdc_sync.wa_invoice_detail	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Detail Charges	12714	12712	2025-09-10 00:00:00	2025-11-29 00:00:00	2025-10-01 00:00:00	2025-11-29 00:00:00	4	Credit for Offstocked Card || Full Cycle Charge || New Activation: Prorated-in Charge || Prorated-out Charge (Activated OCT)
mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	Detail Charges	7780	7317	2026-03-19 00:00:00	2026-05-30 00:00:00	2026-04-01 00:00:00	2026-05-30 00:00:00	3	Full Cycle Charge || New Activation: Prorated-in Charge || Partial Charge - Card Replaced Mid Cycle
mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	Detail Charges	12572	12309	2026-01-07 00:00:00	2026-03-29 00:00:00	2026-02-01 00:00:00	2026-03-29 00:00:00	4	Full Cycle Charge || New Activation: Prorated-in Charge || Offstocked before cycle start || Partial Charge - Card Replaced Mid Cycle
mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	Detail Charges	13661	13253	2025-12-02 00:00:00	2026-02-27 00:00:00	2026-01-01 00:00:00	2026-02-27 00:00:00	5	Full Cycle Charge || New Activation: Prorated-in Charge || Offstocked before cycle start || Partial Charge - Product Transfer Mid Cycle || Prorated-Out Credit (Offstocked for Replacement)
mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	Detail Charges	7537	7472	2026-06-09 00:00:00	2026-08-30 00:00:00	2026-07-01 00:00:00	2026-08-30 00:00:00	3	Full Cycle Charge || Partial Charge - Card Replaced Mid Cycle || Partial Charge - New Card Used as Replacement Mid Cycle
mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - JUNE 2026.xlsx	Detail Charges	7598	7469	2026-05-07 00:00:00	2026-07-29 00:00:00	2026-06-01 00:00:00	2026-07-29 00:00:00	3	Full Cycle Charge || Partial Charge - Card Replaced Mid Cycle || Partial Charge - New Card Used as Replacement Mid Cycle
mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	Detail Charges	13082	12763	2026-02-18 00:00:00	2026-04-27 00:00:00	2026-02-24 00:00:00	2026-04-27 00:00:00	8	Credit for Offstocked Card || Full Cycle Charge || Full Cycle Charge - Backbilled for FEB Invoice || New Activation: Prorated-in Charge || Offstocked before cycle start || Partial Charge - Card Replaced Mid Cycle || Prorated Out - Transferred to Wing's Simbank || Prorated-out Charge - Offstocked Card
mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	Detail Charges	7887	7494	2026-04-19 00:00:00	2026-06-29 00:00:00	2026-04-24 00:00:00	2026-06-29 00:00:00	6	Credit for Offstocked Card || Full Cycle Charge || New Activation: Prorated-in Charge || Partial Charge - Card Replaced Mid Cycle || Partial Charge - New Card Used as Replacement Mid Cycle || Prorated-out Charge - Offstocked Card
mysql_cdc_sync.wa_invoice_detail	SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	Detail Charges	7536	7508	2026-07-27 00:00:00	2026-09-29 00:00:00	2026-08-01 00:00:00	2026-09-29 00:00:00	4	Full Cycle Charge || New Activation: Prorated-in Charge || Partial Charge - Card Replaced Mid Cycle || Partial Charge - New Card Used as Replacement Mid Cycle
mysql_cdc_sync.wa_invoice_detail	SIMO Data Purchase Invoice Details - DEC 2025.xlsx	Detail Charges	12185	12110	2025-11-24 00:00:00	2026-01-29 00:00:00	2025-12-01 00:00:00	2026-01-29 00:00:00	2	Full Cycle Charge || New Activation: Prorated-in Charge
mysql_cdc_sync.wa_invoice_prorated	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Prorated-In OCT - Pending Charg	5	5	2025-10-16 00:00:00	2025-11-15 00:00:00	2025-10-24 00:00:00	2025-11-15 00:00:00	1	PRORATED
mysql_cdc_sync.wa_invoice_prorated	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Prorated-In SEP - Pending Charg	36	36	2025-09-03 19:00:00	2025-10-03 18:59:59	2025-09-20 00:00:00	2025-10-03 00:00:00	1	PRORATED
mysql_cdc_sync.wa_invoice_prorated	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	Prorated-In MAR - Pending Charg	284	284	2026-03-02 00:00:00	2026-04-25 00:00:00	2026-03-23 00:00:00	2026-04-25 00:00:00	1	PRORATED
mysql_cdc_sync.wa_invoice_prorated	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	Prorated-In JAN - Pending Charg	359	359	2026-01-04 00:00:00	2026-02-24 00:00:00	2026-01-23 00:00:00	2026-02-24 00:00:00	1	PRORATED
