billing_month	source_table	source_file	sheet_name	charge_type	row_count	imsi_count	iccid_count	price_text_count	price_numeric_count	price_values_seen	final_days_text_count	final_days_values_seen	amount_sum	price_sum_not_used_as_rule	simbank_flag_rows	replacement_flag_rows
2026-03	mysql_cdc_sync.wa_invoice_credit	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx		CREDIT_TABLE_ROW	0	0	0	0	0	<NULL>	0	<NULL>				0
2026-03	mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	Detail Charges	Credit for Offstocked Card	8	8	0	1	1	62.0	2	17.0 || 28.0	-170.5	496.0	0	0
2026-03	mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	Detail Charges	Full Cycle Charge	6164	6164	0	4	4	21.0 || 32.0 || 43.0 || 62.0	1	31.0	324001.0	324001.0	0	0
2026-03	mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	Detail Charges	Full Cycle Charge - Backbilled for FEB Invoice	269	269	0	3	3	21.0 || 43.0 || 62.0	1	28.0	12371.0	12371.0	0	0
2026-03	mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	Detail Charges	New Activation: Prorated-in Charge	1229	1229	0	2	2	43.0 || 62.0	31	1.0 || 10.0 || 11.0 || 12.0 || 13.0 || 14.0 || 15.0 || 16.0 || 17.0 || 18.0 || 19.0 || 2.0 || 20.0 || 21.0 || 22.0 || 23.0 || 24.0 || 25.0 || 26.0 || 27.0 || 28.0 || 29.0 || 3.0 || 30.0 || 31.0 || 4.0 || 5.0 || 6.0 || 7.0 || 8.0 || 9.0	33640.677419	66280.0	0	0
2026-03	mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	Detail Charges	Offstocked before cycle start	1	1	0	1	1	62.0	1	-		62.0	0	0
2026-03	mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	Detail Charges	Partial Charge - Card Replaced Mid Cycle	496	496	0	2	2	43.0 || 62.0	26	10.0 || 11.0 || 12.0 || 13.0 || 14.0 || 15.0 || 16.0 || 17.0 || 18.0 || 19.0 || 2.0 || 20.0 || 21.0 || 22.0 || 23.0 || 24.0 || 26.0 || 27.0 || 3.0 || 31.0 || 4.0 || 5.0 || 6.0 || 7.0 || 8.0 || 9.0	7327.741935	23703.0	0	0
2026-03	mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	Detail Charges	Prorated Out - Transferred to Wing's Simbank	4901	4901	0	2	2	43.0 || 62.0	28	10.0 || 11.0 || 12.0 || 13.0 || 14.0 || 15.0 || 16.0 || 17.0 || 18.0 || 19.0 || 20.0 || 21.0 || 22.0 || 23.0 || 24.0 || 25.0 || 26.0 || 27.0 || 28.0 || 29.0 || 30.0 || 31.0 || 4.0 || 5.0 || 6.0 || 7.0 || 8.0 || 9.0	200751.290323	296262.0	4881	0
2026-03	mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	Detail Charges	Prorated-out Charge - Offstocked Card	14	14	0	2	2	43.0 || 62.0	3	19.0 || 8.0 || 9.0	485.096774	849.0	0	0
2026-03	mysql_cdc_sync.wa_invoice_prorated	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	Prorated-In FEB - Pending Charg	PRORATED_PENDING	127	127	0	2	2	43.0 || 62.0	0	<NULL>	3686.928571	5651.0	0	0
2026-04	mysql_cdc_sync.wa_invoice_credit	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx		CREDIT_TABLE_ROW	0	0	0	0	0	<NULL>	0	<NULL>				0
2026-04	mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	Detail Charges	Full Cycle Charge	7025	7025	0	4	4	21.0 || 32.0 || 43.0 || 62.0	2	30.0 || 31.0	355210.0	355210.0	0	0
2026-04	mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	Detail Charges	New Activation: Prorated-in Charge	706	706	0	2	2	43.0 || 62.0	31	1.0 || 10.0 || 11.0 || 12.0 || 13.0 || 14.0 || 15.0 || 16.0 || 17.0 || 18.0 || 19.0 || 2.0 || 20.0 || 21.0 || 22.0 || 23.0 || 24.0 || 25.0 || 26.0 || 27.0 || 28.0 || 29.0 || 3.0 || 30.0 || 31.0 || 4.0 || 5.0 || 6.0 || 7.0 || 8.0 || 9.0	16597.54086	40105.0	0	0
2026-04	mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	Detail Charges	Partial Charge - Card Replaced Mid Cycle	49	49	0	2	2	43.0 || 62.0	8	12.0 || 13.0 || 14.0 || 2.0 || 4.0 || 7.0 || 8.0 || 9.0	481.766667	2696.0	0	0
2026-04	mysql_cdc_sync.wa_invoice_prorated	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	Prorated-In MAR - Pending Charg	PRORATED_PENDING	284	284	0	2	2	43.0 || 62.0	0	<NULL>	9827.387097	15442.0	0	0
2026-05	mysql_cdc_sync.wa_invoice_credit	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx		CREDIT_TABLE_ROW	0	0	0	0	0	<NULL>	0	<NULL>				0
2026-05	mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	Detail Charges	Credit for Offstocked Card	2	2	0	1	1	43.0	2	16.0 || 8.0	-51.6	86.0	0	0
2026-05	mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	Detail Charges	Full Cycle Charge	7251	7251	0	4	4	21.0 || 32.0 || 43.0 || 62.0	1	31.0	371255.0	371255.0	0	194
2026-05	mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	Detail Charges	New Activation: Prorated-in Charge	200	200	0	1	1	62.0	2	18.0 || 3.0	4340.0	12400.0	0	0
2026-05	mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	Detail Charges	Partial Charge - Card Replaced Mid Cycle	30	30	0	1	1	43.0	1	16.0	665.806452	1290.0	0	30
