billing_month	imsi	charge_type	candidate_rule	wa_final_days	candidate_days	day_error	wa_price	wa_price_values	platform_package_price_count	platform_package_prices	package_price_exact_match	platform_product_name_count	platform_product_names	wa_amount	calculated_amount	amount_diff	exception_reason	cycle_row_count	next_cycle_date_count	next_cycle_dates	cycle_next_first_utc	activation_first_utc	void_first_utc	platform_cycle_to_month_end_days	platform_activation_to_month_end_days	platform_final_start_to_void_minus1_days	wa_source_files	wa_sheet_names
2026-03	083901821007389716	Credit for Offstocked Card	WA_FINAL_DATE_SPAN	28.0	17.0	11.0	62.0	62.0	1	62.0	1	1	ATT 300GB Plan DF (PI)	0.0			DAY_MISMATCH	2	2	2026-02-24 || 2026-03-24	2026-02-24		2026-03-12T17:08:26.000Z	36		16	01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	Detail Charges
2026-03	083901143008436704	Full Cycle Charge	WA_FULL_MONTH_DAYS	31.0	31.0	0.0	62.0	62.0	1	43.0	0	1	AT&T 150GB Plan SP RA (WA)	62.0	62.0	0.0	MISSING_MAPPING	4	4	2026-02-25 || 2026-03-25 || 2026-04-25 || 2026-05-25	2026-02-25			35			01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	Detail Charges
2026-03	083901143008436714	Full Cycle Charge	WA_FULL_MONTH_DAYS	31.0	31.0	0.0	62.0	62.0	1	43.0	0	1	AT&T 150GB Plan SP RA (WA)	62.0	62.0	0.0	MISSING_MAPPING	4	4	2026-02-25 || 2026-03-25 || 2026-04-25 || 2026-05-25	2026-02-25			35			01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	Detail Charges
2026-03	083901143008436724	Full Cycle Charge	WA_FULL_MONTH_DAYS	31.0	31.0	0.0	62.0	62.0	1	43.0	0	1	AT&T 150GB Plan SP RA (WA)	62.0	62.0	0.0	MISSING_MAPPING	4	4	2026-02-25 || 2026-03-25 || 2026-04-25 || 2026-05-25	2026-02-25			35			01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	Detail Charges
2026-03	083901143008436758	Full Cycle Charge	WA_FULL_MONTH_DAYS	31.0	31.0	0.0	62.0	62.0	1	43.0	0	1	AT&T 150GB Plan SP RA (WA)	62.0	62.0	0.0	MISSING_MAPPING	4	4	2026-02-25 || 2026-03-25 || 2026-04-25 || 2026-05-25	2026-02-25			35			01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	Detail Charges
2026-03	083901143008436767	Full Cycle Charge	WA_FULL_MONTH_DAYS	31.0	31.0	0.0	62.0	62.0	1	43.0	0	1	AT&T 150GB Plan SP RA (WA)	62.0	62.0	0.0	MISSING_MAPPING	4	4	2026-02-25 || 2026-03-25 || 2026-04-25 || 2026-05-25	2026-02-25			35			01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	Detail Charges
2026-03	083901143008436768	Full Cycle Charge	WA_FULL_MONTH_DAYS	31.0	31.0	0.0	62.0	62.0	1	43.0	0	1	AT&T 150GB Plan SP RA (WA)	62.0	62.0	0.0	MISSING_MAPPING	4	4	2026-02-25 || 2026-03-25 || 2026-04-25 || 2026-05-25	2026-02-25			35			01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	Detail Charges
2026-03	083901143008436777	Full Cycle Charge	WA_FULL_MONTH_DAYS	31.0	31.0	0.0	62.0	62.0	1	43.0	0	1	AT&T 150GB Plan SP RA (WA)	62.0	62.0	0.0	MISSING_MAPPING	4	4	2026-02-25 || 2026-03-25 || 2026-04-25 || 2026-05-25	2026-02-25			35			01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	Detail Charges
2026-03	083901143008436778	Full Cycle Charge	WA_FULL_MONTH_DAYS	31.0	31.0	0.0	62.0	62.0	1	43.0	0	1	AT&T 150GB Plan SP RA (WA)	62.0	62.0	0.0	MISSING_MAPPING	4	4	2026-02-25 || 2026-03-25 || 2026-04-25 || 2026-05-25	2026-02-25			35			01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	Detail Charges
2026-03	083901143008436787	Full Cycle Charge	WA_FULL_MONTH_DAYS	31.0	31.0	0.0	62.0	62.0	1	43.0	0	1	AT&T 150GB Plan SP RA (WA)	62.0	62.0	0.0	MISSING_MAPPING	4	4	2026-02-25 || 2026-03-25 || 2026-04-25 || 2026-05-25	2026-02-25			35			01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	Detail Charges
2026-03	083901143008436788	Full Cycle Charge	WA_FULL_MONTH_DAYS	31.0	31.0	0.0	62.0	62.0	1	43.0	0	1	AT&T 150GB Plan SP RA (WA)	62.0	62.0	0.0	MISSING_MAPPING	4	4	2026-02-25 || 2026-03-25 || 2026-04-25 || 2026-05-25	2026-02-25			35			01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	Detail Charges
2026-03	083901143008437616	Full Cycle Charge	WA_FULL_MONTH_DAYS	31.0	31.0	0.0	62.0	62.0	1	43.0	0	1	AT&T 150GB Plan SP RA (WA)	62.0	62.0	0.0	MISSING_MAPPING	4	4	2026-02-25 || 2026-03-25 || 2026-04-25 || 2026-05-25	2026-02-25			35			01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	Detail Charges
