billing_month	charge_type	source_layer	candidate_rule	candidate_status	row_count	imsi_count	raw_wa_amount_sum	candidate_amount_sum	candidate_amount_rows
2026-03	Credit for Offstocked Card	WA_DETAIL	WA_FINAL_DATE_SPAN	CREDIT_SIGN_PRESERVED	8	8	-170.5	-170.5	8
2026-03	Full Cycle Charge	WA_DETAIL	WA_FULL_MONTH_DAYS	CANDIDATE_FULL_MONTH_PRICE_SUPPORTED	4690	4690	234513.0	234513.0	4690
2026-03	Full Cycle Charge	WA_DETAIL	WA_FULL_MONTH_DAYS	MISSING_MAPPING	1254	1254	77748.0	0.0	0
2026-03	Full Cycle Charge	WA_DETAIL	WA_FULL_MONTH_DAYS	UNRESOLVED_MULTIPLE_PLATFORM_PRICES	220	220	11740.0	0.0	0
2026-03	Full Cycle Charge - Backbilled for FEB Invoice	WA_DETAIL	WA_FINAL_DATE_SPAN	CANDIDATE_BACKBILLED_MONTHLY_PRICE_SUPPORTED	265	265	12123.0	12123.0	265
2026-03	Full Cycle Charge - Backbilled for FEB Invoice	WA_DETAIL	WA_FINAL_DATE_SPAN	UNRESOLVED_MULTIPLE_PLATFORM_PRICES	4	4	248.0	0.0	0
2026-03	New Activation: Prorated-in Charge	WA_DETAIL	WA_FINAL_DATE_SPAN	CANDIDATE_WA_DATE_SPAN_ONLY	1092	1092	27582.677419	25528.774186	1092
2026-03	New Activation: Prorated-in Charge	WA_DETAIL	WA_FINAL_DATE_SPAN	UNRESOLVED_MULTIPLE_PLATFORM_PRICES	137	137	6058.0	0.0	0
2026-03	Offstocked before cycle start	WA_DETAIL	UNRESOLVED_NO_DATES	MISSING_DATA	1	1		0.0	0
2026-03	Partial Charge - Card Replaced Mid Cycle	WA_DETAIL	WA_FINAL_DATE_SPAN	CANDIDATE_WA_DATE_SPAN_ONLY	496	496	7327.741935	7276.129061	496
2026-03	Prorated Out - Transferred to Wing's Simbank	WA_DETAIL	WA_FINAL_DATE_SPAN	CANDIDATE_WA_DATE_SPAN_ONLY	4558	4558	188486.0	185560.322557	4558
2026-03	Prorated Out - Transferred to Wing's Simbank	WA_DETAIL	WA_FINAL_DATE_SPAN	MISSING_MAPPING	97	97	2145.032258	0.0	0
2026-03	Prorated Out - Transferred to Wing's Simbank	WA_DETAIL	WA_FINAL_DATE_SPAN	UNRESOLVED_MULTIPLE_PLATFORM_PRICES	246	246	10120.258065	0.0	0
2026-03	Prorated-out Charge - Offstocked Card	WA_DETAIL	WA_FINAL_DATE_SPAN	CANDIDATE_WA_DATE_SPAN_ONLY	14	14	485.096774	485.096774	14
2026-03	Pending Prorated-In	WA_PENDING_PRORATED	PENDING_NO_FINAL_DAYS	MISSING_DATA	127	127	3686.928576	0.0	0
2026-04	Full Cycle Charge	WA_DETAIL	WA_FULL_MONTH_DAYS	CANDIDATE_FULL_MONTH_PRICE_SUPPORTED	6056	6056	300205.0	300205.0	6056
2026-04	Full Cycle Charge	WA_DETAIL	WA_FULL_MONTH_DAYS	MISSING_MAPPING	700	700	43400.0	0.0	0
2026-04	Full Cycle Charge	WA_DETAIL	WA_FULL_MONTH_DAYS	UNRESOLVED_MULTIPLE_PLATFORM_PRICES	269	269	11605.0	0.0	0
2026-04	New Activation: Prorated-in Charge	WA_DETAIL	WA_FINAL_DATE_SPAN	CANDIDATE_WA_DATE_SPAN_ONLY	706	706	16597.54086	16693.266761	706
2026-04	Partial Charge - Card Replaced Mid Cycle	WA_DETAIL	WA_FINAL_DATE_SPAN	CANDIDATE_WA_DATE_SPAN_ONLY	43	43	326.766667	314.033327	43
2026-04	Partial Charge - Card Replaced Mid Cycle	WA_DETAIL	WA_FINAL_DATE_SPAN	MISSING_MAPPING	6	6	155.0	0.0	0
2026-04	Pending Prorated-In	WA_PENDING_PRORATED	PENDING_NO_FINAL_DAYS	MISSING_DATA	284	284	9827.387089	0.0	0
2026-05	Credit for Offstocked Card	WA_DETAIL	WA_FINAL_DATE_SPAN	CREDIT_SIGN_PRESERVED	2	2	-51.6	-51.6	2
2026-05	Full Cycle Charge	WA_DETAIL	WA_FULL_MONTH_DAYS	CANDIDATE_FULL_MONTH_PRICE_SUPPORTED	6351	6351	317830.0	317830.0	6351
2026-05	Full Cycle Charge	WA_DETAIL	WA_FULL_MONTH_DAYS	MISSING_MAPPING	700	700	43400.0	0.0	0
2026-05	Full Cycle Charge	WA_DETAIL	WA_FULL_MONTH_DAYS	UNRESOLVED_MULTIPLE_PLATFORM_PRICES	200	200	10025.0	0.0	0
2026-05	New Activation: Prorated-in Charge	WA_DETAIL	WA_FINAL_DATE_SPAN	CANDIDATE_WA_DATE_SPAN_ONLY	200	200	4340.0	4200.0	200
2026-05	Partial Charge - Card Replaced Mid Cycle	WA_DETAIL	WA_FINAL_DATE_SPAN	CANDIDATE_WA_DATE_SPAN_ONLY	30	30	665.806452	665.80644	30
2026-05	Partial Charge - New Card Used as Replacement Mid Cycle	WA_DETAIL	WA_FINAL_DATE_SPAN	CANDIDATE_WA_DATE_SPAN_ONLY	402	402	13479.746237	13267.419343	402
2026-05	Prorated-out Charge - Offstocked Card	WA_DETAIL	WA_FINAL_DATE_SPAN	CANDIDATE_WA_DATE_SPAN_ONLY	2	2	112.0	112.0	2
2026-05	Pending Prorated-In	WA_PENDING_PRORATED	PENDING_NO_FINAL_DAYS	MISSING_DATA	9	9	298.766665	0.0	0
