billing_month	reconciliation_status	mapping_status	platform_mapping_status	card_count	wa_amount_sum	wa_detail_cards	wa_pending_cards	platform_status_cards	platform_cycle_cards	platform_status_log_cards
2026-03	MATCHED	MISSING_MAPPING	PI_NAMED	4782	211964.246538	4782	5	4782	4782	3965
2026-03	MATCHED	PLATFORM_PRODUCT_PRESENT	MULTIPLE_PRODUCT_SCOPE	150	3900.0	150	0	150	150	149
2026-03	MATCHED	PLATFORM_PRODUCT_PRESENT	WA_NAMED	7831	366228.988503	7831	122	7831	7831	6987
2026-03	PLATFORM_ONLY	MISSING_MAPPING	MISSING_MAPPING	10416	0.0	0	0	9916	0	802
2026-03	PLATFORM_ONLY	MULTIPLE_PRODUCT_SCOPE	MULTIPLE_PRODUCT_SCOPE	64	0.0	0	0	0	64	0
2026-03	PLATFORM_ONLY	PI_NAMED	PI_NAMED	725	0.0	0	0	147	725	57
2026-03	PLATFORM_ONLY	UNCLASSIFIED	UNCLASSIFIED	31581	0.0	0	0	30298	31581	18355
2026-03	PLATFORM_ONLY	WA_NAMED	WA_NAMED	2237	0.0	0	0	1033	2237	1033
2026-04	MATCHED	PLATFORM_PRODUCT_PRESENT	MULTIPLE_PRODUCT_SCOPE	5	215.0	5	0	5	5	5
2026-04	MATCHED	PLATFORM_PRODUCT_PRESENT	WA_NAMED	7312	381901.694586	7312	284	7312	7312	5687
2026-04	PLATFORM_ONLY	MISSING_MAPPING	MISSING_MAPPING	11588	0.0	0	0	9949	0	1666
2026-04	PLATFORM_ONLY	MULTIPLE_PRODUCT_SCOPE	MULTIPLE_PRODUCT_SCOPE	534	0.0	0	0	534	534	534
2026-04	PLATFORM_ONLY	PI_NAMED	PI_NAMED	6024	0.0	0	0	5554	6024	4135
2026-04	PLATFORM_ONLY	UNCLASSIFIED	UNCLASSIFIED	32628	0.0	0	0	30502	32628	17343
2026-04	PLATFORM_ONLY	WA_NAMED	WA_NAMED	1545	0.0	0	0	976	1545	976
2026-05	MATCHED	PLATFORM_PRODUCT_PRESENT	MULTIPLE_PRODUCT_SCOPE	5	62.419355	5	0	5	5	5
2026-05	MATCHED	PLATFORM_PRODUCT_PRESENT	WA_NAMED	7489	390037.299972	7489	9	7489	7489	6226
2026-05	PLATFORM_ONLY	MISSING_MAPPING	MISSING_MAPPING	10049	0.0	0	0	9929	0	121
2026-05	PLATFORM_ONLY	MULTIPLE_PRODUCT_SCOPE	MULTIPLE_PRODUCT_SCOPE	66	0.0	0	0	66	66	64
2026-05	PLATFORM_ONLY	PI_NAMED	PI_NAMED	7066	0.0	0	0	6559	7066	5555
2026-05	PLATFORM_ONLY	UNCLASSIFIED	UNCLASSIFIED	31577	0.0	0	0	30754	31577	17239
2026-05	PLATFORM_ONLY	WA_NAMED	WA_NAMED	645	0.0	0	0	372	645	372
