billing_month	imsi	charge_type	final_start_d	final_end_d	excel_final_days	date_span_days	excel_monthly_rate	excel_final_charge	full_month_formula_amount	prorated_formula_amount	signed_prorated_formula_amount	type_formula_amount	excel_formula_residual_reason	excel_formula_amount_diff
2026-03	083901821007387442	Credit for Offstocked Card	2026-02-24	2026-03-12	17.0	17.0	62.0	-24.357142857142858	62.0	34.0	-34.0	-34.0	AMOUNT_FORMULA_RESIDUAL	9.642857
2026-03	083901821007481578	Credit for Offstocked Card	2026-02-24	2026-03-12	17.0	17.0	62.0	-24.357142857142858	62.0	34.0	-34.0	-34.0	AMOUNT_FORMULA_RESIDUAL	9.642857
2026-03	083901821007483553	Credit for Offstocked Card	2026-02-24	2026-03-12	17.0	17.0	62.0	-24.357142857142858	62.0	34.0	-34.0	-34.0	AMOUNT_FORMULA_RESIDUAL	9.642857
2026-03	083901821007484291	Credit for Offstocked Card	2026-02-24	2026-03-12	17.0	17.0	62.0	-24.357142857142858	62.0	34.0	-34.0	-34.0	AMOUNT_FORMULA_RESIDUAL	9.642857
2026-03	083901821007585928	Credit for Offstocked Card	2026-02-24	2026-03-12	17.0	17.0	62.0	-24.357142857142858	62.0	34.0	-34.0	-34.0	AMOUNT_FORMULA_RESIDUAL	9.642857
2026-03	083901821007682558	Credit for Offstocked Card	2026-02-24	2026-03-12	17.0	17.0	62.0	-24.357142857142858	62.0	34.0	-34.0	-34.0	AMOUNT_FORMULA_RESIDUAL	9.642857
2026-03	083901821007689651	Credit for Offstocked Card	2026-02-24	2026-03-12	17.0	17.0	62.0	-24.357142857142858	62.0	34.0	-34.0	-34.0	AMOUNT_FORMULA_RESIDUAL	9.642857
2026-03	083901821007389716	Credit for Offstocked Card	2026-02-24	2026-03-12	28.0	17.0	62.0	0.0	62.0	56.0	-56.0	-56.0	DATE_AND_AMOUNT_FORMULA_RESIDUAL	56.0
2026-03	083901144095000946	New Activation: Prorated-in Charge	2026-03-09	2026-03-24	16.0	16.0	43.0	24.57142857142857	43.0	22.193548	-22.193548	22.193548	AMOUNT_FORMULA_RESIDUAL	2.377881
2026-03	083901516061612107	New Activation: Prorated-in Charge	2026-03-20	2026-03-25	6.0	6.0	43.0	9.214285714285714	43.0	8.322581	-8.322581	8.322581	AMOUNT_FORMULA_RESIDUAL	0.891705
2026-03	083901516081045009	New Activation: Prorated-in Charge	2026-03-25	2026-03-26	2.0	2.0	43.0	3.071428571428571	43.0	2.774194	-2.774194	2.774194	AMOUNT_FORMULA_RESIDUAL	0.297235
2026-03	083901516081248384	New Activation: Prorated-in Charge	2026-03-26	2026-03-26	1.0	1.0	43.0	1.5357142857142856	43.0	1.387097	-1.387097	1.387097	AMOUNT_FORMULA_RESIDUAL	0.148617
2026-03	083901516081354436	New Activation: Prorated-in Charge	2026-03-15	2026-03-21	7.0	7.0	43.0	10.75	43.0	9.709677	-9.709677	9.709677	AMOUNT_FORMULA_RESIDUAL	1.040323
2026-03	083901516081354471	New Activation: Prorated-in Charge	2026-03-19	2026-03-21	3.0	3.0	43.0	4.607142857142857	43.0	4.16129	-4.16129	4.16129	AMOUNT_FORMULA_RESIDUAL	0.445853
2026-03	083901516081451532	New Activation: Prorated-in Charge	2026-03-26	2026-03-26	1.0	1.0	43.0	1.5357142857142856	43.0	1.387097	-1.387097	1.387097	AMOUNT_FORMULA_RESIDUAL	0.148617
2026-03	083901516081451912	New Activation: Prorated-in Charge	2026-03-08	2026-03-19	12.0	12.0	43.0	18.428571428571427	43.0	16.645161	-16.645161	16.645161	AMOUNT_FORMULA_RESIDUAL	1.78341
2026-03	083901516081453640	New Activation: Prorated-in Charge	2026-03-14	2026-03-17	4.0	4.0	43.0	6.142857142857142	43.0	5.548387	-5.548387	5.548387	AMOUNT_FORMULA_RESIDUAL	0.59447
2026-03	083901516081456979	New Activation: Prorated-in Charge	2026-03-14	2026-03-19	6.0	6.0	43.0	9.214285714285714	43.0	8.322581	-8.322581	8.322581	AMOUNT_FORMULA_RESIDUAL	0.891705
2026-03	083901516081550804	New Activation: Prorated-in Charge	2026-03-15	2026-03-21	7.0	7.0	43.0	10.75	43.0	9.709677	-9.709677	9.709677	AMOUNT_FORMULA_RESIDUAL	1.040323
2026-03	083901516081550856	New Activation: Prorated-in Charge	2026-03-14	2026-03-20	7.0	7.0	43.0	10.75	43.0	9.709677	-9.709677	9.709677	AMOUNT_FORMULA_RESIDUAL	1.040323
2026-03	083901516081552814	New Activation: Prorated-in Charge	2026-03-14	2026-03-19	6.0	6.0	43.0	9.214285714285714	43.0	8.322581	-8.322581	8.322581	AMOUNT_FORMULA_RESIDUAL	0.891705
2026-03	083901516081556486	New Activation: Prorated-in Charge	2026-03-20	2026-03-25	6.0	6.0	43.0	9.214285714285714	43.0	8.322581	-8.322581	8.322581	AMOUNT_FORMULA_RESIDUAL	0.891705
2026-03	083901516081558018	New Activation: Prorated-in Charge	2026-03-14	2026-03-20	7.0	7.0	43.0	10.75	43.0	9.709677	-9.709677	9.709677	AMOUNT_FORMULA_RESIDUAL	1.040323
2026-03	083901516081559472	New Activation: Prorated-in Charge	2026-03-14	2026-03-17	4.0	4.0	43.0	6.142857142857142	43.0	5.548387	-5.548387	5.548387	AMOUNT_FORMULA_RESIDUAL	0.59447
2026-03	083901516081653178	New Activation: Prorated-in Charge	2026-03-20	2026-03-25	6.0	6.0	43.0	9.214285714285714	43.0	8.322581	-8.322581	8.322581	AMOUNT_FORMULA_RESIDUAL	0.891705
2026-03	083901516081653369	New Activation: Prorated-in Charge	2026-03-19	2026-03-25	7.0	7.0	43.0	10.75	43.0	9.709677	-9.709677	9.709677	AMOUNT_FORMULA_RESIDUAL	1.040323
2026-03	083901516081656263	New Activation: Prorated-in Charge	2026-03-08	2026-03-19	12.0	12.0	43.0	18.428571428571427	43.0	16.645161	-16.645161	16.645161	AMOUNT_FORMULA_RESIDUAL	1.78341
2026-03	083901516081656297	New Activation: Prorated-in Charge	2026-03-08	2026-03-19	12.0	12.0	43.0	18.428571428571427	43.0	16.645161	-16.645161	16.645161	AMOUNT_FORMULA_RESIDUAL	1.78341
2026-03	083901516081656565	New Activation: Prorated-in Charge	2026-03-14	2026-03-20	7.0	7.0	43.0	10.75	43.0	9.709677	-9.709677	9.709677	AMOUNT_FORMULA_RESIDUAL	1.040323
2026-03	083901516081657084	New Activation: Prorated-in Charge	2026-03-15	2026-03-20	6.0	6.0	43.0	9.214285714285714	43.0	8.322581	-8.322581	8.322581	AMOUNT_FORMULA_RESIDUAL	0.891705
2026-03	083901516081659280	New Activation: Prorated-in Charge	2026-03-19	2026-03-25	7.0	7.0	43.0	10.75	43.0	9.709677	-9.709677	9.709677	AMOUNT_FORMULA_RESIDUAL	1.040323
