billing_month	charge_type	excel_amount	platform_calculated_amount	amount_diff	days_evaluable	days_exact	days_exact_rate	price_evaluable	price_exact	price_exact_rate	amount_evaluable	amount_exact	amount_exact_rate	unresolved_card_count	unresolved_excel_amount	residual_card_count	residual_amount_diff
2026-03	Credit for Offstocked Card	-170.5	0.0	0.0	0	0		8	8	1.0	0	0		0	0.0	0	0.0
2026-03	Full Cycle Charge	324001.0	292299.0	23826.0	6164	6164	1.0	6010	4756	0.7913477537437604	6010	4756	0.7913477537437604	154	7876.0	1254	23826.0
2026-03	Full Cycle Charge - Backbilled for FEB Invoice	12371.0	12295.0	76.0	269	269	1.0	269	265	0.9851301115241635	269	265	0.9851301115241635	0	0.0	4	76.0
2026-03	New Activation: Prorated-in Charge	33640.677419	10467.999916	9000.677503	1229	11	0.008950366151342554	637	637	1.0	637	10	0.015698587127158554	592	14172.0	627	9000.6775
2026-03	Offstocked before cycle start	0.0	0.0	0.0	0	0		1	1	1.0	0	0		1	0.0	0	0.0
2026-03	Partial Charge - Card Replaced Mid Cycle	7327.741935	6644.516125	683.22581	496	91	0.18346774193548387	496	496	1.0	496	91	0.18346774193548387	0	0.0	405	683.225812
2026-03	Pending Prorated-In	0.0	0.0	0.0	0	0		0	0		0	0		127	3686.928576	0	0.0
2026-03	Prorated Out - Transferred to Wing's Simbank	200751.290323	194936.483845	3112.032284	4765	4284	0.8990556138509969	4797	4720	0.9839483010214718	4765	4265	0.8950682056663168	136	2702.774194	500	3112.03226
2026-03	Prorated-out Charge - Offstocked Card	485.096774	702.645161	-217.548387	14	0	0.0	14	14	1.0	14	0	0.0	0	0.0	14	-217.548387
2026-04	Full Cycle Charge	355210.0	334686.0	13300.0	7025	7011	0.9980071174377224	6857	6157	0.8979145398862476	6857	6157	0.8979145398862476	168	7224.0	700	13300.0
2026-04	New Activation: Prorated-in Charge	16597.54086	37217.200026	-20722.992499	706	8	0.0113314447592068	702	702	1.0	702	10	0.014245014245014245	4	103.333333	692	-20722.9925
2026-04	Partial Charge - Card Replaced Mid Cycle	481.766667	387.133325	94.633342	49	24	0.4897959183673469	49	43	0.8775510204081632	49	24	0.4897959183673469	0	0.0	25	94.633334
2026-04	Pending Prorated-In	0.0	0.0	0.0	0	0		0	0		0	0		284	9827.387089	0	0.0
2026-05	Credit for Offstocked Card	-51.6	0.0	0.0	0	0		2	2	1.0	0	0		0	0.0	0	0.0
2026-05	Full Cycle Charge	371255.0	357955.0	13300.0	7251	7251	1.0	7251	6551	0.90346159150462	7251	6551	0.90346159150462	0	0.0	700	13300.0
2026-05	New Activation: Prorated-in Charge	4340.0	9400.0	-5060.0	200	0	0.0	200	200	1.0	200	0	0.0	0	0.0	200	-5060.0
2026-05	Partial Charge - Card Replaced Mid Cycle	665.806452	665.80644	1.2E-5	30	30	1.0	30	30	1.0	30	30	1.0	0	0.0	0	0.0
2026-05	Partial Charge - New Card Used as Replacement Mid Cycle	13479.746237	-287.129029	327.262362	10	0	0.0	402	402	1.0	10	0	0.0	392	13439.612903	10	327.262362
2026-05	Pending Prorated-In	0.0	0.0	0.0	0	0		0	0		0	0		9	298.766665	0	0.0
2026-05	Prorated-out Charge - Offstocked Card	112.0	112.0	0.0	2	2	1.0	2	2	1.0	2	2	1.0	0	0.0	0	0.0
