billing_month	charge_type	candidate_status	card_count	platform_days_evaluable	platform_days_exact	platform_day_error_plus1	platform_day_error_ge2	price_evaluable	price_exact	amount_evaluable	amount_exact	amount_diff_sum	excel_amount_sum	multiple_history_price_cards	multiple_dimension_price_cards	missing_dimension_price_cards
2026-03	Credit for Offstocked Card	EXCEL_CREDIT_RAW_NEGATIVE_PRESERVED	8	0	0	0	0	8	8	0	0	0.0	-170.5	0	0	0
2026-03	Full Cycle Charge	MISSING_PLATFORM_PRICE	154	154	154	0	0	0	0	0	0	0.0	7876.0	0	154	0
2026-03	Full Cycle Charge	PLATFORM_CANDIDATE_AMOUNT_RESIDUAL	1254	1254	1254	0	0	1254	0	1254	0	23826.0	77748.0	0	0	0
2026-03	Full Cycle Charge	PLATFORM_CANDIDATE_EXACT_AMOUNT	4756	4756	4756	0	0	4756	4756	4756	4756	0.0	238377.0	0	0	0
2026-03	Full Cycle Charge - Backbilled for FEB Invoice	PLATFORM_CANDIDATE_AMOUNT_RESIDUAL	4	4	4	0	0	4	0	4	0	76.0	248.0	0	0	0
2026-03	Full Cycle Charge - Backbilled for FEB Invoice	PLATFORM_CANDIDATE_EXACT_AMOUNT	265	265	265	0	0	265	265	265	265	0.0	12123.0	0	0	0
2026-03	New Activation: Prorated-in Charge	MISSING_PLATFORM_PRICE	592	592	1	1	521	0	0	0	0	0.0	14172.0	0	0	592
2026-03	New Activation: Prorated-in Charge	PLATFORM_CANDIDATE_AMOUNT_RESIDUAL	627	627	0	16	611	627	627	627	0	9000.6775	19368.806452	0	0	0
2026-03	New Activation: Prorated-in Charge	PLATFORM_CANDIDATE_EXACT_AMOUNT	10	10	10	0	0	10	10	10	10	4.0E-6	99.870968	0	0	0
2026-03	Offstocked before cycle start	MISSING_PLATFORM_DAY_EVENT	1	0	0	0	0	1	1	0	0	0.0		0	0	0
2026-03	Partial Charge - Card Replaced Mid Cycle	PLATFORM_CANDIDATE_AMOUNT_RESIDUAL	405	405	0	399	6	405	405	405	0	683.225812	6520.903226	0	0	0
2026-03	Partial Charge - Card Replaced Mid Cycle	PLATFORM_CANDIDATE_EXACT_AMOUNT	91	91	91	0	0	91	91	91	91	-1.0E-6	806.83871	0	0	0
2026-03	Pending Prorated-In	PENDING_MISSING_FINAL_DAYS	127	0	0	0	0	0	0	0	0	0.0	3686.928576	0	0	127
2026-03	Prorated Out - Transferred to Wing's Simbank	MISSING_PLATFORM_DAY_EVENT	136	0	0	0	0	32	10	0	0	0.0	2702.774194	0	0	104
2026-03	Prorated Out - Transferred to Wing's Simbank	PLATFORM_CANDIDATE_AMOUNT_RESIDUAL	500	500	19	167	314	500	445	500	0	3112.03226	13384.0	0	0	0
2026-03	Prorated Out - Transferred to Wing's Simbank	PLATFORM_CANDIDATE_EXACT_AMOUNT	4265	4265	4265	0	0	4265	4265	4265	4265	2.4E-5	184664.516129	0	0	0
2026-03	Prorated-out Charge - Offstocked Card	PLATFORM_CANDIDATE_AMOUNT_RESIDUAL	14	14	0	0	14	14	14	14	0	-217.548387	485.096774	0	0	0
2026-04	Full Cycle Charge	MISSING_PLATFORM_PRICE	168	168	168	0	0	0	0	0	0	0.0	7224.0	0	168	0
2026-04	Full Cycle Charge	PLATFORM_CANDIDATE_AMOUNT_RESIDUAL	700	700	700	0	0	700	0	700	0	13300.0	43400.0	0	0	0
2026-04	Full Cycle Charge	PLATFORM_CANDIDATE_EXACT_AMOUNT	6157	6157	6143	14	0	6157	6157	6157	6157	0.0	304586.0	0	0	0
2026-04	New Activation: Prorated-in Charge	MISSING_PLATFORM_PRICE	4	4	0	0	4	0	0	0	0	0.0	103.333333	0	0	4
2026-04	New Activation: Prorated-in Charge	PLATFORM_CANDIDATE_AMOUNT_RESIDUAL	692	692	0	13	670	692	692	692	0	-20722.9925	16270.607527	0	0	0
2026-04	New Activation: Prorated-in Charge	PLATFORM_CANDIDATE_EXACT_AMOUNT	10	10	8	2	0	10	10	10	10	1.0E-6	223.6	0	0	0
2026-04	Partial Charge - Card Replaced Mid Cycle	PLATFORM_CANDIDATE_AMOUNT_RESIDUAL	25	25	0	22	3	25	19	25	0	94.633334	382.566667	0	0	0
2026-04	Partial Charge - Card Replaced Mid Cycle	PLATFORM_CANDIDATE_EXACT_AMOUNT	24	24	24	0	0	24	24	24	24	8.0E-6	99.2	0	0	0
2026-04	Pending Prorated-In	PENDING_MISSING_FINAL_DAYS	284	0	0	0	0	0	0	0	0	0.0	9827.387089	0	0	284
2026-05	Credit for Offstocked Card	EXCEL_CREDIT_RAW_NEGATIVE_PRESERVED	2	0	0	0	0	2	2	0	0	0.0	-51.6	0	0	0
2026-05	Full Cycle Charge	PLATFORM_CANDIDATE_AMOUNT_RESIDUAL	700	700	700	0	0	700	0	700	0	13300.0	43400.0	0	0	0
2026-05	Full Cycle Charge	PLATFORM_CANDIDATE_EXACT_AMOUNT	6551	6551	6551	0	0	6551	6551	6551	6551	0.0	327855.0	0	0	0
2026-05	New Activation: Prorated-in Charge	PLATFORM_CANDIDATE_AMOUNT_RESIDUAL	200	200	0	0	200	200	200	200	0	-5060.0	4340.0	0	0	0
2026-05	Partial Charge - Card Replaced Mid Cycle	PLATFORM_CANDIDATE_EXACT_AMOUNT	30	30	30	0	0	30	30	30	30	1.2E-5	665.806452	0	0	0
2026-05	Partial Charge - New Card Used as Replacement Mid Cycle	MISSING_PLATFORM_DAY_EVENT	392	0	0	0	0	392	392	0	0	0.0	13439.612903	0	0	0
2026-05	Partial Charge - New Card Used as Replacement Mid Cycle	PLATFORM_CANDIDATE_AMOUNT_RESIDUAL	10	10	0	0	10	10	10	10	0	327.262362	40.133333	0	0	0
2026-05	Pending Prorated-In	PENDING_MISSING_FINAL_DAYS	9	0	0	0	0	0	0	0	0	0.0	298.766665	0	0	9
2026-05	Prorated-out Charge - Offstocked Card	PLATFORM_CANDIDATE_EXACT_AMOUNT	2	2	2	0	0	2	2	2	2	0.0	112.0	0	0	0
