billing_month	reconciliation_status	platform_source_status	row_count
2026-03	MATCHED	STATUS_SNAPSHOT_AND_CYCLE	12067
2026-03	MATCHED	STATUS_SNAPSHOT_ONLY	696
2026-03	PLATFORM_ONLY	CYCLE_HISTORY_ONLY	261
2026-03	PLATFORM_ONLY	STATUS_SNAPSHOT_AND_CYCLE	1180
2026-03	PLATFORM_ONLY	STATUS_SNAPSHOT_ONLY	1594
2026-04	MATCHED	STATUS_SNAPSHOT_AND_CYCLE	7313
2026-04	MATCHED	STATUS_SNAPSHOT_ONLY	4
2026-04	PLATFORM_ONLY	CYCLE_HISTORY_ONLY	689
2026-04	PLATFORM_ONLY	STATUS_SNAPSHOT_AND_CYCLE	6977
2026-04	PLATFORM_ONLY	STATUS_SNAPSHOT_ONLY	1708
2026-05	MATCHED	STATUS_SNAPSHOT_AND_CYCLE	7494
2026-05	PLATFORM_ONLY	CYCLE_HISTORY_ONLY	574
2026-05	PLATFORM_ONLY	STATUS_SNAPSHOT_AND_CYCLE	6531
2026-05	PLATFORM_ONLY	STATUS_SNAPSHOT_ONLY	2061
