billing_month	imsi	charge_type	excel_product_id	excel_product_names	excel_final_start_date	excel_final_end_date	excel_final_days	excel_final_days_values	excel_monthly_rate	excel_monthly_rate_values	excel_final_charge	platform_product_ids	platform_product_names	history_package_prices	history_price_count	dim_package_prices	dim_price_count	platform_calculated_days_rule	platform_calculated_days	platform_day_diff	platform_calculated_price	platform_price_diff	platform_calculated_amount	platform_amount_diff	cycle_boundary_utc	cycle_boundary_minus5	activation_utc	void_utc	status_snapshot_rows	cycle_rows	status_log_rows	residual_reason
2026-03	083901144085860408	New Activation: Prorated-in Charge		AT&T 300GB Plan ATM RA (WA)	2026-03-24	2026-04-03	12.0	12.0	62.0	62.0	24.0							PLATFORM_ACTIVATION_UTC_TO_MONTH_END	12.0	0.0							2026-03-20T21:53:56.000Z		744	0	8	MISSING_PLATFORM_PRICE
2026-03	083901144064110889	New Activation: Prorated-in Charge		AT&T 300GB Plan ATM RA (WA)	2026-03-24	2026-04-03	11.0	11.0	62.0	62.0	22.0							PLATFORM_ACTIVATION_UTC_TO_MONTH_END	8.0	3.0							2026-03-24T01:01:50.000Z		744	0	6	PLATFORM_DAY_RESIDUAL
2026-03	083901144064112729	New Activation: Prorated-in Charge		AT&T 300GB Plan ATM RA (WA)	2026-03-24	2026-04-03	11.0	11.0	62.0	62.0	22.0							PLATFORM_ACTIVATION_UTC_TO_MONTH_END	8.0	3.0							2026-03-24T01:01:50.000Z		744	0	5	PLATFORM_DAY_RESIDUAL
2026-03	083901144064113415	New Activation: Prorated-in Charge		AT&T 300GB Plan ATM RA (WA)	2026-03-24	2026-04-03	11.0	11.0	62.0	62.0	22.0							PLATFORM_ACTIVATION_UTC_TO_MONTH_END	8.0	3.0							2026-03-24T01:01:50.000Z		744	0	5	PLATFORM_DAY_RESIDUAL
2026-03	083901144064113615	New Activation: Prorated-in Charge		AT&T 300GB Plan ATM RA (WA)	2026-03-24	2026-04-03	11.0	11.0	62.0	62.0	22.0							PLATFORM_ACTIVATION_UTC_TO_MONTH_END	8.0	3.0							2026-03-24T01:01:50.000Z		744	0	6	PLATFORM_DAY_RESIDUAL
2026-03	083901144064113841	New Activation: Prorated-in Charge		AT&T 300GB Plan ATM RA (WA)	2026-03-24	2026-04-03	11.0	11.0	62.0	62.0	22.0							PLATFORM_ACTIVATION_UTC_TO_MONTH_END	8.0	3.0							2026-03-24T01:01:50.000Z		744	0	11	PLATFORM_DAY_RESIDUAL
2026-03	083901144064116392	New Activation: Prorated-in Charge		AT&T 300GB Plan ATM RA (WA)	2026-03-24	2026-04-03	11.0	11.0	62.0	62.0	22.0							PLATFORM_ACTIVATION_UTC_TO_MONTH_END	8.0	3.0							2026-03-24T01:01:50.000Z		744	0	4	PLATFORM_DAY_RESIDUAL
2026-03	083901144064117354	New Activation: Prorated-in Charge		AT&T 300GB Plan ATM RA (WA)	2026-03-24	2026-04-03	11.0	11.0	62.0	62.0	22.0							PLATFORM_ACTIVATION_UTC_TO_MONTH_END	8.0	3.0							2026-03-24T01:01:50.000Z		744	0	4	PLATFORM_DAY_RESIDUAL
2026-03	083901144064117611	New Activation: Prorated-in Charge		AT&T 300GB Plan ATM RA (WA)	2026-03-24	2026-04-03	11.0	11.0	62.0	62.0	22.0							PLATFORM_ACTIVATION_UTC_TO_MONTH_END	8.0	3.0							2026-03-24T01:01:50.000Z		744	0	5	PLATFORM_DAY_RESIDUAL
2026-03	083901144064117874	New Activation: Prorated-in Charge		AT&T 300GB Plan ATM RA (WA)	2026-03-24	2026-04-03	11.0	11.0	62.0	62.0	22.0							PLATFORM_ACTIVATION_UTC_TO_MONTH_END	8.0	3.0							2026-03-24T01:01:50.000Z		744	0	5	PLATFORM_DAY_RESIDUAL
2026-03	083901144064118300	New Activation: Prorated-in Charge		AT&T 300GB Plan ATM RA (WA)	2026-03-24	2026-04-03	11.0	11.0	62.0	62.0	22.0							PLATFORM_ACTIVATION_UTC_TO_MONTH_END	8.0	3.0							2026-03-24T01:01:50.000Z		744	0	4	PLATFORM_DAY_RESIDUAL
2026-03	083901144064119717	New Activation: Prorated-in Charge		AT&T 300GB Plan ATM RA (WA)	2026-03-24	2026-04-03	11.0	11.0	62.0	62.0	22.0							PLATFORM_ACTIVATION_UTC_TO_MONTH_END	8.0	3.0							2026-03-24T01:01:50.000Z		744	0	5	PLATFORM_DAY_RESIDUAL
2026-03	083901144064119730	New Activation: Prorated-in Charge		AT&T 300GB Plan ATM RA (WA)	2026-03-24	2026-04-03	28.0	28.0	62.0	62.0	56.0							PLATFORM_ACTIVATION_UTC_TO_MONTH_END	8.0	20.0							2026-03-24T01:01:50.000Z		744	0	5	PLATFORM_DAY_RESIDUAL
2026-03	083901144064210529	New Activation: Prorated-in Charge		AT&T 300GB Plan ATM RA (WA)	2026-03-24	2026-04-03	11.0	11.0	62.0	62.0	22.0							PLATFORM_ACTIVATION_UTC_TO_MONTH_END	8.0	3.0							2026-03-24T01:01:50.000Z		744	0	6	PLATFORM_DAY_RESIDUAL
2026-03	083901144064210995	New Activation: Prorated-in Charge		AT&T 300GB Plan ATM RA (WA)	2026-03-24	2026-04-03	11.0	11.0	62.0	62.0	22.0							PLATFORM_ACTIVATION_UTC_TO_MONTH_END	8.0	3.0							2026-03-24T01:01:50.000Z		744	0	6	PLATFORM_DAY_RESIDUAL
