billing_month	imsi	charge_type	excel_product_id	excel_product_names	excel_final_start_date	excel_final_end_date	excel_final_days	excel_final_days_values	excel_monthly_rate	excel_monthly_rate_values	excel_final_charge	platform_product_ids	platform_product_names	history_package_prices	history_price_count	dim_package_prices	dim_price_count	platform_calculated_days_rule	platform_calculated_days	platform_day_diff	platform_calculated_price	platform_price_diff	platform_calculated_amount	platform_amount_diff	cycle_boundary_utc	cycle_boundary_minus5	activation_utc	void_utc	status_snapshot_rows	cycle_rows	status_log_rows	residual_reason
2026-03	083901516001072589	Full Cycle Charge		ATT 125GB Plan DF ET (WA)	2026-03-21	2026-04-20	31.0	31.0	43.0	43.0	43.0	60011783 || 60011838	ATT 125GB Plan DF ET (WA) || ATT 300GB Plan DF ET (WA)	0.0	1	43.0 || 62.0	2	PLATFORM_MONTH_PARTITION_DAYS	31.0	0.0					2026-03-21T05:00:00.000Z	2026-03-21T00:00:00.000Z	2026-03-26T06:05:53.000Z		744	2	12	MISSING_PLATFORM_PRICE
2026-03	083901516001074956	Full Cycle Charge		ATT 125GB Plan DF ET (WA)	2026-03-25	2026-04-24	31.0	31.0	43.0	43.0	43.0	60011783 || 60011838	ATT 125GB Plan DF ET (WA) || ATT 300GB Plan DF ET (WA)	0.0	1	43.0 || 62.0	2	PLATFORM_MONTH_PARTITION_DAYS	31.0	0.0					2026-03-25T05:00:00.000Z	2026-03-25T00:00:00.000Z	2026-03-26T06:05:53.000Z		744	2	5	MISSING_PLATFORM_PRICE
2026-03	083901516001076115	Full Cycle Charge		ATT 125GB Plan DF ET (WA)	2026-03-22	2026-04-21	31.0	31.0	43.0	43.0	43.0	60011783 || 60011838	ATT 125GB Plan DF ET (WA) || ATT 300GB Plan DF ET (WA)	0.0	1	43.0 || 62.0	2	PLATFORM_MONTH_PARTITION_DAYS	31.0	0.0					2026-03-22T05:00:00.000Z	2026-03-22T00:00:00.000Z	2026-03-26T06:05:53.000Z		744	2	7	MISSING_PLATFORM_PRICE
2026-03	083901516001076831	Full Cycle Charge		ATT 125GB Plan DF ET (WA)	2026-03-23	2026-04-22	31.0	31.0	43.0	43.0	43.0	60011783 || 60011838	ATT 125GB Plan DF ET (WA) || ATT 300GB Plan DF ET (WA)	0.0	1	43.0 || 62.0	2	PLATFORM_MONTH_PARTITION_DAYS	31.0	0.0					2026-03-23T05:00:00.000Z	2026-03-23T00:00:00.000Z	2026-03-26T06:05:53.000Z		744	2	11	MISSING_PLATFORM_PRICE
2026-03	083901516001077014	Full Cycle Charge		ATT 125GB Plan DF ET (WA)	2026-03-25	2026-04-24	31.0	31.0	43.0	43.0	43.0	60011783 || 60011838	ATT 125GB Plan DF ET (WA) || ATT 300GB Plan DF ET (WA)	0.0	1	43.0 || 62.0	2	PLATFORM_MONTH_PARTITION_DAYS	31.0	0.0					2026-03-25T05:00:00.000Z	2026-03-25T00:00:00.000Z	2026-03-26T06:05:53.000Z		744	2	6	MISSING_PLATFORM_PRICE
2026-03	083901516001077372	Full Cycle Charge		ATT 125GB Plan DF ET (WA)	2026-03-24	2026-04-23	31.0	31.0	43.0	43.0	43.0	60011783 || 60011838	ATT 125GB Plan DF ET (WA) || ATT 300GB Plan DF ET (WA)	0.0	1	43.0 || 62.0	2	PLATFORM_MONTH_PARTITION_DAYS	31.0	0.0					2026-03-24T05:00:00.000Z	2026-03-24T00:00:00.000Z	2026-03-26T06:05:53.000Z		744	2	25	MISSING_PLATFORM_PRICE
2026-03	083901516001078374	Full Cycle Charge		ATT 125GB Plan DF ET (WA)	2026-03-21	2026-04-20	31.0	31.0	43.0	43.0	43.0	60011783 || 60011838	ATT 125GB Plan DF ET (WA) || ATT 300GB Plan DF ET (WA)	0.0	1	43.0 || 62.0	2	PLATFORM_MONTH_PARTITION_DAYS	31.0	0.0					2026-03-21T05:00:00.000Z	2026-03-21T00:00:00.000Z	2026-03-26T06:05:53.000Z		744	2	14	MISSING_PLATFORM_PRICE
2026-03	083901516001078540	Full Cycle Charge		ATT 125GB Plan DF ET (WA)	2026-03-26	2026-04-25	31.0	31.0	43.0	43.0	43.0	60011783 || 60011838	ATT 125GB Plan DF ET (WA) || ATT 300GB Plan DF ET (WA)	0.0	1	43.0 || 62.0	2	PLATFORM_MONTH_PARTITION_DAYS	31.0	0.0					2026-03-26T05:00:00.000Z	2026-03-26T00:00:00.000Z	2026-03-26T06:05:53.000Z		744	3	4	MISSING_PLATFORM_PRICE
2026-03	083901516001079254	Full Cycle Charge		ATT 125GB Plan DF ET (WA)	2026-03-21	2026-04-20	31.0	31.0	43.0	43.0	43.0	60011783 || 60011838	ATT 125GB Plan DF ET (WA) || ATT 300GB Plan DF ET (WA)	0.0	1	43.0 || 62.0	2	PLATFORM_MONTH_PARTITION_DAYS	31.0	0.0					2026-03-21T05:00:00.000Z	2026-03-21T00:00:00.000Z	2026-03-26T06:05:53.000Z		744	2	10	MISSING_PLATFORM_PRICE
2026-03	083901516001170110	Full Cycle Charge		ATT 125GB Plan DF ET (WA)	2026-03-24	2026-04-23	31.0	31.0	43.0	43.0	43.0	60011783 || 60011838	ATT 125GB Plan DF ET (WA) || ATT 300GB Plan DF ET (WA)	0.0	1	43.0 || 62.0	2	PLATFORM_MONTH_PARTITION_DAYS	31.0	0.0					2026-03-24T05:00:00.000Z	2026-03-24T00:00:00.000Z	2026-03-26T06:05:53.000Z		744	2	6	MISSING_PLATFORM_PRICE
