billing_month	imsi	charge_type	excel_product_id	excel_product_names	excel_final_start_date	excel_final_end_date	excel_final_days	excel_final_days_values	excel_monthly_rate	excel_monthly_rate_values	excel_final_charge	platform_product_ids	platform_product_names	history_package_prices	history_price_count	dim_package_prices	dim_price_count	platform_calculated_days_rule	platform_calculated_days	platform_day_diff	platform_calculated_price	platform_price_diff	platform_calculated_amount	platform_amount_diff	cycle_boundary_utc	cycle_boundary_minus5	activation_utc	void_utc	status_snapshot_rows	cycle_rows	status_log_rows	residual_reason
2026-03	083901516001072351	Partial Charge - Card Replaced Mid Cycle		ATT 300GB Plan VS ET (WA)	2026-03-04	2026-03-24	21.0	21.0	62.0	62.0	42.0	60011858	ATT 300GB Plan VS ET  (WA)	0.0	1	62.0	1	PLATFORM_FINAL_START_TO_VOID_UTC_MINUS1	20.0	1.0	62.0	0.0	40.0	2.0	2026-03-04T05:00:00.000Z	2026-03-04T00:00:00.000Z		2026-03-24T18:22:34.000Z	570	2	7	PLATFORM_DAY_RESIDUAL
2026-03	083901516001073436	Partial Charge - Card Replaced Mid Cycle		ATT 100GB Plan PVP (33) (WA)	2026-03-15	2026-03-27	13.0	13.0	43.0	43.0	18.032258064516128	600111121	ATT 100GB Plan PVP (33) (WA)	0.0	1	43.0	1	PLATFORM_FINAL_START_TO_VOID_UTC_MINUS1	12.0	1.0	43.0	0.0	16.645161	1.3870970645161265	2026-03-15T05:00:00.000Z	2026-03-15T00:00:00.000Z		2026-03-27T17:49:35.000Z	744	2	7	PLATFORM_DAY_RESIDUAL
2026-03	083901516001079919	Partial Charge - Card Replaced Mid Cycle		ATT 300GB Plan VS ET (WA)	2026-03-21	2026-03-24	4.0	4.0	62.0	62.0	8.0	60011858	ATT 300GB Plan VS ET  (WA)	0.0	1	62.0	1	PLATFORM_FINAL_START_TO_VOID_UTC_MINUS1	3.0	1.0	62.0	0.0	6.0	2.0	2026-03-21T05:00:00.000Z	2026-03-21T00:00:00.000Z		2026-03-24T18:22:34.000Z	570	2	5	PLATFORM_DAY_RESIDUAL
2026-03	083901516001171164	Partial Charge - Card Replaced Mid Cycle		ATT 300GB Plan DF ET (WA)	2026-03-22	2026-03-23	2.0	2.0	62.0	62.0	4.0	60011783	ATT 300GB Plan DF ET (WA)	0.0	1	62.0	1	PLATFORM_FINAL_START_TO_VOID_UTC_MINUS1	1.0	1.0	62.0	0.0	2.0	2.0	2026-03-22T05:00:00.000Z	2026-03-22T00:00:00.000Z		2026-03-23T22:17:35.000Z	550	2	9	PLATFORM_DAY_RESIDUAL
2026-03	083901516001172161	Partial Charge - Card Replaced Mid Cycle		ATT 300GB Plan DF ET (WA)	2026-03-22	2026-03-23	2.0	2.0	62.0	62.0	4.0	60011783	ATT 300GB Plan DF ET (WA)	0.0	1	62.0	1	PLATFORM_FINAL_START_TO_VOID_UTC_MINUS1	1.0	1.0	62.0	0.0	2.0	2.0	2026-03-22T05:00:00.000Z	2026-03-22T00:00:00.000Z		2026-03-23T22:17:35.000Z	550	2	7	PLATFORM_DAY_RESIDUAL
2026-03	083901516001173466	Partial Charge - Card Replaced Mid Cycle		ATT 300GB Plan VS ET (WA)	2026-03-17	2026-03-24	8.0	8.0	62.0	62.0	16.0	60011858	ATT 300GB Plan VS ET  (WA)	0.0	1	62.0	1	PLATFORM_FINAL_START_TO_VOID_UTC_MINUS1	7.0	1.0	62.0	0.0	14.0	2.0	2026-03-17T05:00:00.000Z	2026-03-17T00:00:00.000Z		2026-03-24T18:22:34.000Z	570	2	9	PLATFORM_DAY_RESIDUAL
2026-03	083901516001174255	Partial Charge - Card Replaced Mid Cycle		ATT 300GB Plan VS ET (WA)	2026-03-17	2026-03-24	8.0	8.0	62.0	62.0	16.0	60011858	ATT 300GB Plan VS ET  (WA)	0.0	1	62.0	1	PLATFORM_FINAL_START_TO_VOID_UTC_MINUS1	7.0	1.0	62.0	0.0	14.0	2.0	2026-03-17T05:00:00.000Z	2026-03-17T00:00:00.000Z		2026-03-24T18:22:34.000Z	570	2	6	PLATFORM_DAY_RESIDUAL
2026-03	083901516001174610	Partial Charge - Card Replaced Mid Cycle		ATT 300GB Plan VS ET (WA)	2026-03-04	2026-03-24	21.0	21.0	62.0	62.0	42.0	60011858	ATT 300GB Plan VS ET  (WA)	0.0	1	62.0	1	PLATFORM_FINAL_START_TO_VOID_UTC_MINUS1	20.0	1.0	62.0	0.0	40.0	2.0	2026-03-04T05:00:00.000Z	2026-03-04T00:00:00.000Z		2026-03-24T18:22:34.000Z	570	2	4	PLATFORM_DAY_RESIDUAL
2026-03	083901516001176218	Partial Charge - Card Replaced Mid Cycle		ATT 300GB Plan VS ET (WA)	2026-03-04	2026-03-24	21.0	21.0	62.0	62.0	42.0	60011858	ATT 300GB Plan VS ET  (WA)	0.0	1	62.0	1	PLATFORM_FINAL_START_TO_VOID_UTC_MINUS1	20.0	1.0	62.0	0.0	40.0	2.0	2026-03-04T05:00:00.000Z	2026-03-04T00:00:00.000Z		2026-03-24T18:22:34.000Z	570	2	7	PLATFORM_DAY_RESIDUAL
2026-03	083901516001177672	Partial Charge - Card Replaced Mid Cycle		ATT 100GB Plan PVP (33) (WA)	2026-03-16	2026-03-27	12.0	12.0	43.0	43.0	16.64516129032258	600111121	ATT 100GB Plan PVP (33) (WA)	0.0	1	43.0	1	PLATFORM_FINAL_START_TO_VOID_UTC_MINUS1	11.0	1.0	43.0	0.0	15.258065	1.3870962903225799	2026-03-16T05:00:00.000Z	2026-03-16T00:00:00.000Z		2026-03-27T17:49:35.000Z	744	2	13	PLATFORM_DAY_RESIDUAL
