excel_source_file	official_excel_billing_month	record_count	imsi_count	total_final_charge	total_monthly_rate_sum	charge_type_count	product_count
006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09	25237	14793	1139393.524729	1544554.0	4	63
01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v2)	12663	12641	773737.83871	774276.0	2	61
01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v1)	12714	12712	772285.533333	778198.0	4	66
01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	7780	7317	372289.307527	398011.0	3	52
01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026-02	12572	12309	690572.723502	712418.0	4	82
01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2025-01	13661	13253	703606.290323	778622.0	5	87
01-SIMO Data Purchase Invoice Details - JULY 2026.xlsx	2026-07	7537	7472	373918.313978	375953.0	3	39
01-SIMO Data Purchase Invoice Details - JUNE 2026.xlsx	2026-06	7598	7469	382329.72043	388076.0	3	41
01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026-03	13082	12763	578406.306452	724024.0	8	85
01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	2026-05	7887	7494	389800.952688	407115.0	6	49
SIMO Data Purchase Invoice Details - AUGUST 2026.xlsx	2026-08	7536	7508	364846.612903	375967.0	4	40
SIMO Data Purchase Invoice Details - DEC 2025.xlsx	2025-12	12185	12110	704839.353763	723265.0	2	74
