billing_month	reconciliation_status	platform_scope_status	platform_price_status	product_effective_status	card_count	excel_total_amount_sum	detail_cards	pending_cards	status_snapshot_cards	cycle_cards	status_log_cards	product_id_price_present_cards	missing_product_id_price_cards
2026-03	MATCHED	WING_ALPHA_PRODUCT_ID_SCOPE	MISSING_PLATFORM_PRODUCT_ID	MISSING_PRODUCT_ID_PRICE	696	15378.774193	696	0	696	0	696	0	696
2026-03	MATCHED	WING_ALPHA_PRODUCT_ID_SCOPE	PRODUCT_ID_PRICE_MULTIPLE_OR_MISSING	PRODUCT_ID_MULTIPLE_CURRENT_PRICES	154	7876.0	154	0	154	154	146	0	0
2026-03	MATCHED	WING_ALPHA_PRODUCT_ID_SCOPE	PRODUCT_ID_PRICE_PRESENT_NO_VALID_TO_HISTORY	PRODUCT_ID_TARGET_MONTH_CURRENT_DIMENSION_NO_VALID_TO	11913	558838.460848	11913	127	11913	11913	10259	11913	0
2026-03	PLATFORM_ONLY	WING_ALPHA_PRODUCT_ID_SCOPE	MISSING_PLATFORM_PRODUCT_ID	MISSING_PRODUCT_ID_PRICE	1594	0.0	0	0	1594	0	0	0	1594
2026-03	PLATFORM_ONLY	WING_ALPHA_PRODUCT_ID_SCOPE	PRODUCT_ID_PRICE_PRESENT_NO_VALID_TO_HISTORY	PRODUCT_ID_TARGET_MONTH_CURRENT_DIMENSION_NO_VALID_TO	1180	0.0	0	0	1180	1180	1090	1180	0
2026-04	MATCHED	WING_ALPHA_PRODUCT_ID_SCOPE	MISSING_PLATFORM_PRODUCT_ID	MISSING_PRODUCT_ID_PRICE	4	103.333333	4	0	4	0	4	0	4
2026-04	MATCHED	WING_ALPHA_PRODUCT_ID_SCOPE	PRODUCT_ID_PRICE_MULTIPLE_OR_MISSING	PRODUCT_ID_MULTIPLE_CURRENT_PRICES	168	7960.0	168	13	168	168	168	0	0
2026-04	MATCHED	WING_ALPHA_PRODUCT_ID_SCOPE	PRODUCT_ID_PRICE_PRESENT_NO_VALID_TO_HISTORY	PRODUCT_ID_TARGET_MONTH_CURRENT_DIMENSION_NO_VALID_TO	7145	374053.361253	7145	271	7145	7145	5520	7145	0
2026-04	PLATFORM_ONLY	WING_ALPHA_PRODUCT_ID_SCOPE	MISSING_PLATFORM_PRODUCT_ID	MISSING_PRODUCT_ID_PRICE	1708	0.0	0	0	1708	0	114	0	1708
2026-04	PLATFORM_ONLY	WING_ALPHA_PRODUCT_ID_SCOPE	PRODUCT_ID_PRICE_MULTIPLE_OR_MISSING	PRODUCT_ID_MULTIPLE_CURRENT_PRICES	71	0.0	0	0	71	71	71	0	0
2026-04	PLATFORM_ONLY	WING_ALPHA_PRODUCT_ID_SCOPE	PRODUCT_ID_PRICE_PRESENT_NO_VALID_TO_HISTORY	PRODUCT_ID_TARGET_MONTH_CURRENT_DIMENSION_NO_VALID_TO	6906	0.0	0	0	6906	6906	5487	6906	0
2026-05	MATCHED	WING_ALPHA_PRODUCT_ID_SCOPE	PRODUCT_ID_PRICE_PRESENT_NO_VALID_TO_HISTORY	PRODUCT_ID_TARGET_MONTH_CURRENT_DIMENSION_NO_VALID_TO	7494	390099.719327	7494	9	7494	7494	6231	7494	0
2026-05	PLATFORM_ONLY	WING_ALPHA_PRODUCT_ID_SCOPE	MISSING_PLATFORM_PRODUCT_ID	MISSING_PRODUCT_ID_PRICE	2061	0.0	0	0	2061	0	467	0	2061
2026-05	PLATFORM_ONLY	WING_ALPHA_PRODUCT_ID_SCOPE	PRODUCT_ID_PRICE_MULTIPLE_OR_MISSING	PRODUCT_ID_MULTIPLE_CURRENT_PRICES	66	0.0	0	0	66	66	62	0	0
2026-05	PLATFORM_ONLY	WING_ALPHA_PRODUCT_ID_SCOPE	PRODUCT_ID_PRICE_PRESENT_NO_VALID_TO_HISTORY	PRODUCT_ID_TARGET_MONTH_CURRENT_DIMENSION_NO_VALID_TO	6465	0.0	0	0	6465	6465	5463	6465	0
