table_catalog	table_schema	table_name	ordinal_position	column_name	data_type	is_nullable
simo_prod	mysql_cdc_sync	wa_invoice_credit	0	imsi	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_credit	1	did_we_charge_for_this_imsi	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_credit	2	iccid	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_credit	3	prod	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_credit	4	cycle_start	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_credit	5	cycle_end	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_credit	6	price	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_credit	7	final_price	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_credit	8	was_this_line_replaced	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_credit	9	if_replaced_whats_new_imsi	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_credit	10	replacement_product	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_credit	11	did_we_charge_for_this_imsi_1	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_credit	12	date_line_went_down	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_credit	13	date_replacement_was_activated	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_credit	14	days_without_service	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_credit	15	correct_price	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_credit	16	new_purchase_due_to_max_optimization_request	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_credit	17	credit_owed	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_credit	18	source_file	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_detail	0	imsi	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_detail	1	iccid	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_detail	2	product_name	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_detail	3	cycle_start_date	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_detail	4	cycle_end_date	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_detail	5	cycle_usage_gb	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_detail	6	data_allowance_gb	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_detail	7	pct_used	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_detail	8	new_activation_date	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_detail	9	offstock_date	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_detail	10	charge_type	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_detail	11	status	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_detail	12	new_card_imsi_replacement	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_detail	13	old_card_imsi_replaced	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_detail	14	final_start_date	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_detail	15	final_end_date	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_detail	16	active_days	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_detail	17	usage_days	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_detail	18	usage_days_alt	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_detail	19	usage_days_gt_active	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_detail	20	final_days	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_detail	21	monthly_rate	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_detail	22	final_charge	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_detail	23	transferred_to_wing_simbank	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_detail	24	note	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_detail	25	source_file	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_detail	26	sheet_name	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_prorated	0	imsi	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_prorated	1	iccid	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_prorated	2	product_name	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_prorated	3	cycle_start_date	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_prorated	4	cycle_end_date	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_prorated	5	data_allowance_gb	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_prorated	6	new_activation_date	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_prorated	7	final_start_date	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_prorated	8	final_end_date	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_prorated	9	active_days	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_prorated	10	monthly_rate	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_prorated	11	original_charge	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_prorated	12	cycle_usage_gb	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_prorated	13	usage_days	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_prorated	14	final_charge_for_usage_days	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_prorated	15	pending_charge	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_prorated	16	source_file	STRING	YES
simo_prod	mysql_cdc_sync	wa_invoice_prorated	17	sheet_name	STRING	YES
