local_excel_file	platform_source_table	platform_source_file	invoice_batch_label	observed_start_month	filename_amount_token	table_amount_semantics	platform_table_amount	table_amount_minus_filename_amount	comparison_status	comparison_note
C:\Users\EDY\Desktop\WA账单20260914\2025年11月\WingAlpha-2025年11月付；USD1,139,393.53\006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	simo_prod.mysql_cdc_sync.wa_invoice_detail	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	2025-09	2025-09		detail.final_charge	1139393.52472910		NO_FILENAME_AMOUNT_TOKEN	NOT_APPLICABLE
C:\Users\EDY\Desktop\WA账单20260914\2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v2)	2025-11	773793.84	detail.final_charge	773737.83870966	-56.0012903400	CONFLICT_FILENAME_VS_TABLE	invoice total comparison
C:\Users\EDY\Desktop\WA账单20260914\2025年12月\WingAlpha-2025年12月付；USD773,380.39\01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	simo_prod.mysql_cdc_sync.wa_invoice_prorated	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v2)	2025-10	773793.84	prorated.final_charge_for_usage_days	294.00000000	-773499.8400000000	NOT_COMPARABLE_PRORATED_AUXILIARY	prorated amount is auxiliary, not invoice total
C:\Users\EDY\Desktop\WA账单20260914\2025年11月\WingAlpha-2025年11月付；USD772,765.00\01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v1)	2025-10	772765.00	detail.final_charge	772285.53333334	-479.4666666600	CONFLICT_FILENAME_VS_TABLE	invoice total comparison
C:\Users\EDY\Desktop\WA账单20260914\2025年11月\WingAlpha-2025年11月付；USD772,765.00\01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	simo_prod.mysql_cdc_sync.wa_invoice_prorated	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	2025-10 (v1)	2025-09	772765.00	prorated.final_charge_for_usage_days	1521.06666670	-771243.9333333001	NOT_COMPARABLE_PRORATED_AUXILIARY	prorated amount is auxiliary, not invoice total
C:\Users\EDY\Desktop\WA账单20260914\2026年5月\WingAlpha-2026年5月付；USD374,480.38\01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	2026-04		detail.final_charge	372289.30752659		NO_FILENAME_AMOUNT_TOKEN	NOT_APPLICABLE
C:\Users\EDY\Desktop\WA账单20260914\2026年5月\WingAlpha-2026年5月付；USD374,480.38\01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	simo_prod.mysql_cdc_sync.wa_invoice_prorated	01-SIMO Data Purchase Invoice Details - APR 2026.xlsx	2026-04	2026-03		prorated.final_charge_for_usage_days	9827.38709685		NO_FILENAME_AMOUNT_TOKEN	NOT_APPLICABLE
C:\Users\EDY\Desktop\WA账单20260914\2026年3月\WingAlpha-2026年3月付；USD693,915.21\01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026-02	2026-02		detail.final_charge	690572.72350272		NO_FILENAME_AMOUNT_TOKEN	NOT_APPLICABLE
C:\Users\EDY\Desktop\WA账单20260914\2026年3月\WingAlpha-2026年3月付；USD693,915.21\01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	simo_prod.mysql_cdc_sync.wa_invoice_prorated	01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026-02	2026-01		prorated.final_charge_for_usage_days	14688.09677421		NO_FILENAME_AMOUNT_TOKEN	NOT_APPLICABLE
C:\Users\EDY\Desktop\WA账单20260914\2026年2月\WingAlpha-2026年2月付；USD703,612.29\01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	simo_prod.mysql_cdc_sync.wa_invoice_detail	01-SIMO Data Purchase Invoice Details - JAN 2025.xlsx	2025-01	2026-01,2026-02		detail.final_charge	703606.29032165		NO_FILENAME_AMOUNT_TOKEN	NOT_APPLICABLE
